 	n	y	ω	m	b	ώ	y	e	e	d	z	é	b	í	s	í	l	a	p	ó	a	á	d	z	e	m	b	ó	m	b	a	</S>
le	0.0171611	0.0239702	0.0187188	0.0262116	0.032095	0.0307989	0.0332114	0.0406172	0.0401992	0.0390166	0.035671	0.0313073	0.0321963	0.0530856	0.0502645	0.0450926	0.041126	0.0323457	0.0303727	0.0303145	0.0340679	0.0338837	0.0193025	0.0181026	0.017919	0.0202336	0.0258174	0.0297726	0.0406498	0.0296911	0.0281223	0.0186611
protoptère	0.0268938	0.0305265	0.0287436	0.0220139	0.0307847	0.0254234	0.018682	0.0227375	0.0328084	0.0326495	0.0568645	0.0345895	0.0115861	0.0117087	0.0241902	0.0589583	0.0719885	0.0810058	0.0880013	0.0661516	0.045997	0.0396465	0.0434504	0.0245253	0.0189001	0.0207174	0.0113369	0.00537072	0.00477508	0.00332513	0.00396964	0.00167817
que	0.0822377	0.0390655	0.0191154	0.00763769	0.00677343	0.00556161	0.00628939	0.00576298	0.00483364	0.00558391	0.00508571	0.00873983	0.0105778	0.0127727	0.0159688	0.0270522	0.0456368	0.0482257	0.039406	0.0639185	0.0722613	0.0752109	0.0677488	0.0774087	0.0536353	0.0536869	0.0440367	0.0353933	0.027034	0.0135546	0.0121379	0.00764627
nous	0.0357923	0.0362415	0.032787	0.028257	0.0270997	0.0201889	0.0156948	0.0148019	0.0172881	0.0168407	0.0167588	0.0206363	0.0247423	0.0287812	0.0398489	0.0938425	0.102103	0.103602	0.0748155	0.0580132	0.0345142	0.0188624	0.0158925	0.0101937	0.0077123	0.0072474	0.00871371	0.00696804	0.0132349	0.013027	0.0161868	0.0393119
avons	0.0841258	0.0602261	0.0612544	0.0584662	0.059373	0.0401956	0.032369	0.0253133	0.02405	0.0205142	0.0155032	0.0126584	0.0074437	0.00492869	0.00592483	0.0112671	0.0212471	0.0317731	0.0490348	0.0732997	0.0429795	0.0381093	0.0284482	0.0149051	0.0123259	0.0108382	0.00952111	0.00964375	0.00898802	0.0128126	0.0182079	0.0942521
mangé	0.105091	0.0831966	0.060147	0.0465974	0.0419636	0.0299752	0.0248233	0.0209406	0.015839	0.0107117	0.00591694	0.00454209	0.00460442	0.00642537	0.00944501	0.0160853	0.0236521	0.0302554	0.0288941	0.0346422	0.0191505	0.0132554	0.0154581	0.0131961	0.0132343	0.0245803	0.0242084	0.032405	0.0285986	0.0366446	0.045996	0.129525
hier	0.0488052	0.0397853	0.0375225	0.038897	0.0351142	0.0349048	0.0388113	0.0343484	0.037836	0.0321462	0.0242661	0.0223263	0.0150265	0.00999174	0.00776855	0.00914422	0.0163109	0.0209882	0.0250203	0.0351462	0.0217851	0.0192067	0.0207011	0.0171844	0.0211489	0.0268644	0.0275006	0.0306874	0.029868	0.0444347	0.0596682	0.116791
avait	0.0383964	0.0306992	0.031014	0.0415924	0.0482923	0.0403237	0.0450307	0.0423868	0.0386003	0.0291191	0.0280735	0.0324342	0.0322918	0.0280652	0.0212499	0.0255642	0.0206939	0.0232224	0.0146027	0.0124925	0.00799775	0.00667473	0.00969295	0.012047	0.0138568	0.0196903	0.0202596	0.0225602	0.0252835	0.0334491	0.0570655	0.147277
la	0.121754	0.0528679	0.0412079	0.0365759	0.0339073	0.0160736	0.0122835	0.00681658	0.00514099	0.00528083	0.00572206	0.0054295	0.00877932	0.0137227	0.0215106	0.0251548	0.0322586	0.0425572	0.0287142	0.0308493	0.0207859	0.0164424	0.0202294	0.0267066	0.0233843	0.0352303	0.0383738	0.0442271	0.0451919	0.0409555	0.0471889	0.0946773
chair	0.0973528	0.056659	0.0504334	0.0326981	0.020512	0.00867749	0.00539212	0.00406749	0.00454175	0.00676551	0.0076279	0.00716143	0.0088002	0.0104057	0.0115451	0.0122134	0.0158425	0.0238846	0.0253192	0.0264919	0.0190678	0.0161115	0.0197048	0.0282234	0.0428792	0.0518625	0.0532523	0.0501097	0.0527679	0.0460717	0.0591434	0.124414
dure	0.0675683	0.0412963	0.0345587	0.0314671	0.0302726	0.0195764	0.0171049	0.0121718	0.00881884	0.0079394	0.00739473	0.00833119	0.00829718	0.00641534	0.00466597	0.00631991	0.00911803	0.0129795	0.00902149	0.0125181	0.0134947	0.013208	0.0236359	0.0496787	0.0587913	0.0569062	0.0647098	0.0499818	0.0497514	0.0277287	0.0560156	0.180262
</S>	0.0520266	0.049127	0.0570901	0.0411746	0.02659	0.0242813	0.0289265	0.0235687	0.0220881	0.0154046	0.0140076	0.0105739	0.00889434	0.00725638	0.00665783	0.00682361	0.00738113	0.00777098	0.00616758	0.00668785	0.011458	0.0154209	0.0235709	0.0316523	0.0322803	0.0374453	0.0419461	0.0454068	0.0478835	0.048624	0.0613846	0.180428
