 	m	w	á	n	a	n	d	z	é	s	i	á	p	ε	r	i	i	m	í	n	y	a	a	l	á	m	b	í	</S>
l'	0.00597424	0.0253417	0.018951	0.0126277	0.00982653	0.0058525	0.00936719	0.0139694	0.00939656	0.0164804	0.0473965	0.0722523	0.045034	0.0893903	0.138886	0.0662787	0.0401984	0.0367353	0.035345	0.0282483	0.0293179	0.0270393	0.0297725	0.0299686	0.0326132	0.0301824	0.034093	0.0292729	0.0301886
enfant	0.0590128	0.0294822	0.024007	0.0597222	0.208059	0.10779	0.124781	0.190424	0.0382734	0.0136013	0.00398294	0.0061907	0.00631834	0.00549721	0.00908363	0.00518709	0.00559094	0.00465129	0.0114952	0.0177309	0.01824	0.0172443	0.0077207	0.00952204	0.00511209	0.00553669	0.00234349	0.00174294	0.00165566
s'	0.036892	0.0397382	0.0324826	0.0171627	0.0181902	0.00901562	0.0109498	0.00871323	0.0129666	0.0235299	0.0305422	0.0335397	0.0255636	0.0200174	0.048804	0.0454645	0.0422357	0.0379604	0.0891762	0.0840328	0.0660515	0.0582371	0.0464183	0.0415393	0.0357557	0.0234538	0.0187522	0.0260373	0.0167775
est	0.0320467	0.018914	0.0144857	0.00839614	0.0287325	0.016573	0.0246385	0.0434674	0.0304087	0.0310979	0.041645	0.0302358	0.0262238	0.0241338	0.0433325	0.0552468	0.0522262	0.0765463	0.0845722	0.0563716	0.036385	0.031556	0.0346919	0.0266071	0.025525	0.0288589	0.0282297	0.0196061	0.0292456
accroupi	0.040732	0.0406053	0.0412552	0.0327082	0.0281563	0.0189384	0.0253832	0.0185492	0.0120032	0.00978684	0.0113821	0.0175186	0.00938203	0.00883425	0.0197698	0.018287	0.0342278	0.0406677	0.0681054	0.0763796	0.0682741	0.063603	0.0481262	0.0539916	0.0441023	0.044987	0.0286632	0.0255276	0.0500531
pour	0.0477544	0.0169823	0.0240904	0.0129636	0.0147575	0.0171811	0.0176965	0.0140413	0.0213704	0.0257988	0.0304059	0.0229838	0.017605	0.0144192	0.0193392	0.0249261	0.0455286	0.0649881	0.0332321	0.039806	0.0421799	0.066823	0.0543476	0.0588926	0.0536462	0.0449953	0.0356928	0.0472449	0.0703075
faire	0.0610102	0.033688	0.0381104	0.0403718	0.037297	0.0417907	0.0416124	0.0368107	0.0215844	0.016811	0.0233599	0.0275854	0.0193009	0.0177718	0.0319913	0.0316934	0.0557185	0.0471788	0.0234592	0.0227004	0.0206402	0.0322914	0.0281511	0.0412953	0.0366299	0.0320605	0.0314771	0.0305747	0.0770336
des	0.0812247	0.0265141	0.0272916	0.0272469	0.0310947	0.0226181	0.0217006	0.0214093	0.0198406	0.0183254	0.0232694	0.0266338	0.0276079	0.028703	0.0434124	0.0434721	0.0524239	0.0489736	0.0265105	0.0208347	0.0189833	0.019817	0.0182161	0.0271904	0.0266244	0.0331735	0.0455623	0.0490851	0.12224
selles	0.0759843	0.0500696	0.0499965	0.0359176	0.023323	0.0148284	0.018696	0.016821	0.0169329	0.0154658	0.0133815	0.0170229	0.0141109	0.0195058	0.0293845	0.0381521	0.0309417	0.0330012	0.0344671	0.0379931	0.0275027	0.0172794	0.031426	0.0340088	0.0210378	0.0529195	0.0542682	0.0618577	0.113704
</S>	0.108828	0.0347748	0.0345776	0.0426703	0.0325839	0.0322294	0.0342787	0.0338066	0.0281628	0.0253247	0.023023	0.0190477	0.0157264	0.0166988	0.0199765	0.0184605	0.0199956	0.0321184	0.013485	0.0158727	0.0121116	0.0178461	0.0210019	0.0270335	0.0261873	0.0387145	0.0422724	0.0438053	0.169386
