 	w	a	á	m	i	n	a	m	í	s	á	m	o	r	é	m	á	w	a	m	á	m	í	á	m	ó	i	t	u	m	b	a	l	á	k	ώ	</S>
il	0.0908158	0.195474	0.350823	0.270221	0.033581	0.00763735	0.00392036	0.00264563	0.00309818	0.00129716	0.000963152	0.00165895	0.00192013	0.00159396	0.00136034	0.00146335	0.00160994	0.00140182	0.000998892	0.00192152	0.00160109	0.00131581	0.000864997	0.000832147	0.000932646	0.000843008	0.00129123	0.00148438	0.00133492	0.00224279	0.00216359	0.00195391	0.00212339	0.00190376	0.00192704	0.00155825	0.00122179
a	0.0179687	0.00650087	0.00314369	0.0071598	0.0217399	0.0482702	0.0413832	0.0848516	0.0614151	0.0936404	0.0687832	0.0757602	0.0736579	0.0364198	0.0204721	0.0330865	0.0252156	0.0209244	0.00965105	0.0143339	0.0217794	0.00489386	0.0155386	0.0105949	0.00732868	0.010671	0.0100597	0.018424	0.0124766	0.0212918	0.0218086	0.0257787	0.0124791	0.0116285	0.00796935	0.0067838	0.0161151
allumé	0.00721577	0.00884125	0.00721801	0.00762152	0.00821387	0.00993012	0.0098027	0.0132504	0.0165825	0.0158657	0.0279068	0.035019	0.0419274	0.0360596	0.0312693	0.0780027	0.056506	0.0493567	0.0375127	0.0611757	0.0532713	0.0627565	0.0306957	0.0365766	0.0365333	0.0250097	0.0299846	0.0223634	0.0129695	0.0173268	0.0123068	0.0142995	0.014881	0.0149412	0.0164815	0.018152	0.0221729
son	0.00454454	0.00396885	0.00442454	0.00932362	0.0100928	0.0103103	0.0102419	0.0120248	0.0152162	0.0223073	0.0344076	0.0379551	0.0276838	0.0190188	0.0202252	0.0262214	0.0318025	0.0381643	0.0367695	0.0460584	0.0361018	0.053512	0.0452712	0.0383172	0.0764998	0.0912042	0.0604738	0.0292221	0.0218094	0.0130141	0.0126176	0.0111793	0.0113876	0.0163364	0.0135279	0.0156231	0.0331411
briquet	0.00390541	0.0054478	0.00428431	0.00429559	0.00388647	0.0038308	0.00507886	0.00814383	0.00860108	0.00766858	0.0106328	0.0162256	0.0203591	0.0279442	0.0434044	0.06451	0.0501005	0.0389705	0.0653447	0.0804434	0.0505157	0.0576592	0.0937188	0.0497447	0.0442214	0.0251061	0.0239706	0.0154711	0.0193149	0.0159524	0.0165512	0.0162642	0.0165934	0.015156	0.0150864	0.0201449	0.0314513
pour	0.0167364	0.0220008	0.0232158	0.0189163	0.012586	0.00546845	0.00799222	0.0147663	0.0152467	0.0153039	0.0173261	0.0184241	0.0195077	0.02294	0.0213118	0.0305222	0.028529	0.0210943	0.0223684	0.0235941	0.0326382	0.0377379	0.0576735	0.0632075	0.0405722	0.0407063	0.0536975	0.0289233	0.0343976	0.0242265	0.01776	0.0160281	0.0228509	0.0211956	0.0261961	0.0445925	0.0597455
mettre	0.00847876	0.00607536	0.00518789	0.00617043	0.00662863	0.0105264	0.0112049	0.0208639	0.0181325	0.0194583	0.0256957	0.0267331	0.0242439	0.0266824	0.0284224	0.0360034	0.0262343	0.029422	0.0420821	0.0381531	0.0392031	0.0481829	0.0536215	0.057277	0.0257282	0.0327907	0.0252688	0.0203741	0.0202954	0.0236438	0.0199104	0.0278247	0.0276493	0.0297173	0.0402335	0.0382781	0.053602
feu	0.00509361	0.00484218	0.00612203	0.0083587	0.0113664	0.00834623	0.0192217	0.0134175	0.0208464	0.0158287	0.0185411	0.0322264	0.032288	0.0316292	0.0337116	0.0495992	0.0317867	0.0292488	0.0488179	0.049736	0.04763	0.065155	0.0519677	0.0431703	0.0289103	0.0307857	0.0226694	0.0144063	0.0168899	0.0156344	0.0110003	0.0126067	0.0159127	0.0170042	0.0247422	0.0360206	0.074466
à	0.00971696	0.010801	0.0151918	0.0185094	0.0211024	0.0167829	0.0186662	0.0185808	0.0194519	0.0168883	0.0170532	0.0171686	0.0169206	0.0152925	0.0165563	0.0243671	0.0167728	0.0189626	0.0296084	0.0254852	0.0307007	0.0414477	0.0515715	0.0494297	0.0315691	0.0326148	0.0342595	0.0194701	0.0252245	0.0272418	0.026866	0.0327347	0.0340225	0.0346866	0.0497742	0.0440085	0.070499
la	0.0136862	0.0155385	0.0224855	0.0293654	0.0305593	0.028436	0.0272827	0.0151199	0.0188196	0.0121346	0.00949958	0.0094457	0.00610859	0.00678993	0.008146	0.0107387	0.00812271	0.0174214	0.0152101	0.0179426	0.0259581	0.0240352	0.020114	0.0223225	0.013012	0.0217843	0.0187809	0.0208314	0.0211749	0.0214426	0.0230238	0.0437179	0.0422104	0.0674862	0.0960207	0.0915629	0.103669
brousse	0.00727278	0.00734727	0.0126211	0.0190595	0.0199422	0.0189508	0.0207927	0.0107633	0.0134314	0.0163453	0.00742987	0.0117888	0.00850995	0.00798411	0.0114806	0.0164578	0.00755219	0.0195792	0.0148061	0.0178472	0.0254156	0.0203348	0.0227684	0.0241412	0.00880903	0.0157474	0.0114074	0.0232919	0.0212614	0.0212239	0.0283679	0.0531188	0.0483015	0.069628	0.0969829	0.104246	0.134991
</S>	0.00679834	0.00781955	0.0110678	0.014546	0.0150317	0.0151112	0.0193601	0.0128112	0.0168146	0.0290441	0.0132045	0.0207184	0.0140369	0.0115691	0.0153203	0.020334	0.0125418	0.0314266	0.0257596	0.0249166	0.0371881	0.0259142	0.0221269	0.0269091	0.0108925	0.0185984	0.0125563	0.0181135	0.0223084	0.0207245	0.0263546	0.0532854	0.0518358	0.0539036	0.0783451	0.0823725	0.100339
