 	n	g	á	l	í	i	s	ε	m	έ	n	z	a	m	b	é	b	a	á	w	a	l	á	a	b	í	í	s	á	o	l	í	m	i	m	á	n	g	á	</S>
je	0.199256	0.315856	0.13745	0.0891796	0.0487405	0.0118894	0.00813243	0.0116441	0.00709089	0.00395396	0.00373227	0.00247727	0.00302519	0.00312981	0.00435683	0.00431123	0.00368748	0.00248279	0.00357499	0.00861487	0.017224	0.0190677	0.0148108	0.00743983	0.00213322	0.00435684	0.00197971	0.00406959	0.00341714	0.00436091	0.00463558	0.00578775	0.00294672	0.00434893	0.00514674	0.0049924	0.00522377	0.00510398	0.00513649	0.00523193
prie	0.0431063	0.0211102	0.0269781	0.0271214	0.0171708	0.0314698	0.0306539	0.0292256	0.0387039	0.0377773	0.0354853	0.0378518	0.0446344	0.0339685	0.0320096	0.0329866	0.0418621	0.0223222	0.0342503	0.0709766	0.0464637	0.0491121	0.010877	0.00719737	0.00393865	0.00713574	0.00245039	0.0101743	0.00820333	0.00722901	0.00998497	0.0133221	0.00634825	0.0187832	0.0107774	0.0213046	0.00587743	0.0257413	0.0158064	0.0296081
dieu	0.00953981	0.00663156	0.0109905	0.0114025	0.0134419	0.0180315	0.0268398	0.0288447	0.0359729	0.0360297	0.0327799	0.0262516	0.0257464	0.023429	0.0376593	0.0430951	0.0515494	0.0868771	0.0376441	0.0140701	0.0194256	0.018886	0.0162987	0.0130095	0.0180383	0.0126446	0.0145986	0.0102798	0.0134403	0.0129818	0.0278914	0.0272964	0.0161353	0.0227111	0.0296124	0.0307337	0.0437573	0.0244157	0.0308453	0.0201713
pour	0.0241535	0.0162772	0.0176739	0.0165031	0.0134732	0.0079349	0.0122245	0.0106662	0.0139985	0.0122943	0.0109151	0.0098624	0.00876182	0.0112976	0.0142269	0.018323	0.0242828	0.0340179	0.0513574	0.056295	0.0378651	0.0493788	0.024904	0.0242199	0.0262071	0.0295304	0.0171738	0.0324303	0.0290559	0.0316607	0.0379877	0.0369872	0.0193477	0.0199136	0.0276243	0.0192549	0.0276463	0.032612	0.0424348	0.0492262
qu'	0.0166158	0.0115903	0.00985247	0.0104203	0.0150953	0.00775129	0.0114637	0.0133632	0.0148992	0.014835	0.0175928	0.016325	0.0196451	0.0241358	0.0334507	0.0361824	0.0516294	0.077174	0.0499904	0.0367927	0.0470164	0.0736031	0.014929	0.0354941	0.0120194	0.0178102	0.0109119	0.0133748	0.0126651	0.0141623	0.0197527	0.0239338	0.0149493	0.0148419	0.023094	0.0190365	0.0321725	0.0307696	0.0392014	0.0414571
il	0.0497605	0.0150361	0.0117359	0.0183033	0.0414869	0.0238342	0.0166773	0.0191488	0.0233609	0.0210936	0.0216755	0.01759	0.0247609	0.0193954	0.0239305	0.029195	0.0431221	0.0895668	0.0751829	0.0758384	0.0359278	0.0432658	0.00760397	0.0177111	0.00350955	0.00790919	0.00237183	0.00590807	0.00560399	0.00497986	0.00771037	0.00844645	0.00845231	0.0118371	0.0138345	0.0168991	0.0254781	0.0175185	0.0362693	0.058068
sauve	0.0761966	0.0198729	0.0242398	0.014827	0.0267355	0.026199	0.0192322	0.0228964	0.0213671	0.0186103	0.0206513	0.0224026	0.0211157	0.0196697	0.0225837	0.0243961	0.0345389	0.0731707	0.0415003	0.0327561	0.0244072	0.0242515	0.00754502	0.0206791	0.00587988	0.0112475	0.00557048	0.00937765	0.0099617	0.0107179	0.00963448	0.0173729	0.00938636	0.00898123	0.0240507	0.0131182	0.0330885	0.0413621	0.0567014	0.0737041
mon	0.0402884	0.0261617	0.0442798	0.041187	0.035515	0.0219932	0.0202402	0.0236803	0.027752	0.020802	0.0248102	0.0255595	0.0213486	0.0295286	0.0304539	0.0347859	0.0361494	0.0486884	0.0279593	0.0252297	0.0161366	0.0143661	0.0093033	0.019212	0.0133877	0.0110565	0.0137773	0.0163025	0.0193783	0.0171827	0.0115371	0.0169922	0.0219236	0.0146807	0.0214977	0.013565	0.0223761	0.0318513	0.0350103	0.0540498
âme	0.0122864	0.0109812	0.0143219	0.0150345	0.011461	0.00744114	0.00658937	0.00640479	0.00766791	0.00652871	0.00751521	0.00769573	0.0066384	0.00886647	0.0121922	0.016154	0.0144005	0.0201348	0.0150309	0.0163915	0.0165989	0.0324148	0.0238345	0.0331523	0.0313605	0.0184462	0.020487	0.02576	0.0266192	0.0212278	0.0153578	0.0302055	0.0358543	0.0369168	0.0408125	0.0567087	0.047085	0.100634	0.0535196	0.109268
</S>	0.0140253	0.00928388	0.00988512	0.0129282	0.0185696	0.0196386	0.019975	0.0189088	0.022724	0.020697	0.0129915	0.0127259	0.0160506	0.010953	0.0271781	0.0200441	0.0277893	0.0497508	0.0252573	0.00494068	0.00205129	0.00369546	0.0028853	0.0256036	0.0256714	0.00867998	0.0234024	0.0243068	0.0277978	0.0193361	0.0308836	0.0460426	0.0677771	0.0660193	0.0372682	0.0458532	0.0309718	0.0451968	0.0293348	0.0629057
