 	o	y	u	r	u	y	o	k	w	é	é	l	é	a	d	i	m	í	p	é	b	h	é	</S>
la	0.0251545	0.0253256	0.0230454	0.0130825	0.00815485	0.00622684	0.0068504	0.010022	0.0289924	0.0187166	0.0290778	0.0402069	0.0481197	0.0546796	0.0414283	0.0435118	0.0343153	0.0656255	0.0603783	0.0702522	0.0790624	0.11075	0.0801291	0.0768918
veuve	0.00782019	0.115407	0.204494	0.177297	0.0971659	0.0851228	0.0736965	0.0431952	0.0277578	0.0535064	0.0225358	0.0232629	0.0126866	0.0159902	0.0179883	0.00600166	0.00575729	0.00240528	0.00307853	0.00276661	0.00102814	0.000321848	0.000438467	0.000275881
est	0.268294	0.167427	0.177071	0.0724691	0.0491367	0.0323247	0.026378	0.0140194	0.024598	0.0149886	0.00888133	0.0154447	0.0121622	0.0145944	0.0119884	0.00381176	0.00767068	0.0121309	0.0152489	0.0121462	0.00724429	0.0100601	0.011916	0.00999255
vêtue	0.26845	0.160771	0.125274	0.0916779	0.0483453	0.040302	0.0323883	0.0362528	0.0287956	0.0229241	0.021089	0.0210902	0.0136346	0.0102601	0.0122913	0.00424454	0.00652842	0.00563252	0.0050594	0.00448824	0.00392959	0.00660503	0.0103323	0.0196329
d'	0.310325	0.119326	0.0681508	0.0484711	0.0373736	0.0334687	0.032682	0.0258964	0.0130455	0.0109467	0.00949332	0.0158529	0.0180451	0.0190636	0.0256371	0.021984	0.0220712	0.0174058	0.0148006	0.0142296	0.0172996	0.0246218	0.0237852	0.0560245
un	0.0201624	0.02345	0.0164073	0.0213813	0.0118804	0.0146779	0.0142995	0.0169958	0.0121381	0.0158906	0.0178745	0.0288373	0.0441301	0.0438535	0.0738957	0.08424	0.126175	0.0749399	0.0676788	0.0656688	0.0652066	0.0492213	0.0358794	0.0551161
morceau	0.025304	0.036316	0.0269049	0.0291862	0.0209861	0.0229392	0.01607	0.0235629	0.014458	0.0163395	0.0222215	0.0398262	0.0513738	0.0403071	0.0260414	0.030097	0.0341701	0.0435075	0.0625075	0.0803381	0.0868686	0.0752531	0.0629362	0.112485
de	0.183264	0.0737903	0.0474322	0.033618	0.0196881	0.0230483	0.0141477	0.01636	0.00921798	0.00383775	0.0053427	0.00934871	0.0138664	0.00934815	0.0342329	0.0242942	0.0317612	0.0368952	0.0465873	0.0569813	0.0434296	0.0730262	0.046607	0.143874
pagne	0.260967	0.143165	0.0723992	0.0297655	0.0160945	0.0122906	0.0107962	0.010227	0.00831438	0.00678871	0.00715554	0.00649679	0.00641465	0.00603204	0.0118546	0.0123781	0.0136201	0.014562	0.0229383	0.0227085	0.0472974	0.0862638	0.0519623	0.119508
</S>	0.142922	0.163824	0.123395	0.0645379	0.027469	0.0138075	0.0116452	0.0112701	0.00861608	0.00626888	0.00643093	0.00643356	0.00407367	0.00359194	0.00935261	0.00772558	0.0129699	0.0164373	0.0273767	0.030799	0.0516112	0.074813	0.0635825	0.111046
