 	á	p	έ	ε	b	á	a	a	k	a	b	h	e	i	m	b	v	a	e	k	i	n	í	l	í	y	é	é	k	i	n	í	w	á	i	b	h	ώ	ω	í	d	i	</S>
on	0.169587	0.0829593	0.0448605	0.0481169	0.0261549	0.0391001	0.0395294	0.0335741	0.0352863	0.0424549	0.0381254	0.0423058	0.0377825	0.0320598	0.0243954	0.025491	0.0170493	0.0174403	0.0130545	0.0123375	0.0113724	0.00864884	0.00741617	0.00667094	0.0102421	0.00751594	0.00699312	0.00638762	0.00518876	0.00376114	0.00361063	0.00664665	0.00529702	0.0104169	0.00707126	0.00770542	0.00695876	0.00780418	0.00831813	0.0073503	0.0135503	0.0112252	0.00818355
leur	0.0148878	0.0487995	0.040449	0.0418136	0.0585157	0.0673641	0.103587	0.0558075	0.0636105	0.0447578	0.0454555	0.0626931	0.051749	0.0368976	0.0313279	0.0211041	0.0222416	0.0166377	0.00924425	0.00703981	0.0156015	0.00766586	0.00426753	0.00600164	0.00431681	0.00954213	0.00728864	0.00842749	0.00712075	0.00801364	0.00514237	0.00806797	0.00550445	0.00731591	0.00451677	0.00565937	0.00295841	0.0029569	0.0045352	0.00572027	0.00477502	0.0116745	0.00894375
a	0.0307417	0.0323235	0.032678	0.0511087	0.0592875	0.0197477	0.0192908	0.0351837	0.0267619	0.036039	0.0422275	0.0345506	0.0401153	0.0411508	0.0444762	0.041652	0.0353716	0.0460661	0.0160494	0.0185363	0.0249734	0.0179558	0.0112118	0.012664	0.0102449	0.0153395	0.0115037	0.0114943	0.0103099	0.0247212	0.0116896	0.0116287	0.0152968	0.0107629	0.0141805	0.0117739	0.0112335	0.00970658	0.00937544	0.00917347	0.0105632	0.0116345	0.00920401
donné	0.013961	0.021827	0.0192134	0.0249732	0.0214365	0.0173758	0.0159383	0.016445	0.0189534	0.0400129	0.0524133	0.0357203	0.025869	0.0270141	0.0303387	0.0299774	0.0277742	0.035809	0.0329502	0.0248052	0.0223567	0.022856	0.0232763	0.0253542	0.0209075	0.0225605	0.0298526	0.0267619	0.0280353	0.0293805	0.0238106	0.0187463	0.0195297	0.0210096	0.0105338	0.0140447	0.012875	0.0104513	0.0125679	0.0106964	0.01149	0.0143898	0.0357055
des	0.0120593	0.0120449	0.011672	0.0093436	0.0113617	0.0120249	0.0117511	0.0127424	0.0127597	0.0151404	0.0154602	0.0161475	0.0164076	0.025442	0.0253119	0.0260599	0.0239449	0.0323843	0.0249677	0.0204658	0.0144082	0.0113035	0.0126708	0.0129467	0.0144131	0.0187526	0.02643	0.0196864	0.0385607	0.0583565	0.0439308	0.0291417	0.0252771	0.0246229	0.0517985	0.0306736	0.0270842	0.035907	0.0376366	0.034346	0.03425	0.029884	0.0204272
parts	0.00512608	0.00458746	0.00374447	0.00597447	0.00680654	0.00692285	0.00846018	0.0118103	0.0127316	0.0100334	0.0132908	0.0136293	0.0255794	0.0371623	0.0483846	0.0577677	0.0596546	0.0674857	0.0653806	0.0501063	0.0353061	0.030594	0.0357894	0.0260666	0.0228438	0.0291222	0.045286	0.018359	0.0232366	0.0235276	0.021639	0.0141075	0.0130855	0.0145085	0.0119263	0.0107783	0.0110226	0.0129823	0.0130811	0.0168252	0.0236596	0.0180175	0.0135966
égales	0.00716638	0.00780549	0.00652006	0.00875577	0.00932894	0.0110438	0.0135213	0.0167397	0.0151704	0.0124902	0.0133681	0.014419	0.0205821	0.0249986	0.0308394	0.0306475	0.0314145	0.0487618	0.0415755	0.0355045	0.0301847	0.0290991	0.0255394	0.0331374	0.0278686	0.0333548	0.0311621	0.0380431	0.034275	0.0525368	0.0251156	0.0271413	0.0182325	0.0124857	0.0173936	0.0177952	0.00899763	0.0106391	0.017823	0.0228515	0.0233319	0.0269076	0.0354315
la	0.0107238	0.00965355	0.00960806	0.0105125	0.00955869	0.0119138	0.00545396	0.00681706	0.00791429	0.00929928	0.011091	0.0133393	0.0151316	0.0160424	0.0185005	0.017938	0.0158823	0.0193875	0.015646	0.0159464	0.0171264	0.0201071	0.0167025	0.0175809	0.0170965	0.0183505	0.0166308	0.0171848	0.020656	0.0213389	0.0270468	0.0222319	0.0221603	0.0224684	0.0251293	0.0253456	0.030266	0.0355285	0.0540647	0.0796465	0.0619342	0.0707832	0.09026
manière	0.0123488	0.0135787	0.0113977	0.0127868	0.00708792	0.00413722	0.00318557	0.00389575	0.00515284	0.00522746	0.0069954	0.0102128	0.0157821	0.0183169	0.0197541	0.0208178	0.0217698	0.034039	0.0317604	0.0321499	0.037876	0.0383196	0.0313327	0.0378084	0.0316633	0.0393227	0.0293231	0.0298401	0.0277118	0.0240021	0.0226536	0.0184371	0.0142185	0.0206752	0.0110461	0.0138613	0.0102031	0.0145035	0.0259251	0.0592229	0.0367186	0.0540116	0.0809264
dont	0.00444791	0.00472133	0.0035841	0.00405329	0.00374224	0.00396086	0.00397847	0.00395192	0.00455992	0.00381668	0.00370948	0.00456634	0.00692512	0.0119217	0.0101678	0.0118408	0.0156987	0.021708	0.0303163	0.0391395	0.0332829	0.0522542	0.0484268	0.0612467	0.0422919	0.0498791	0.0343129	0.0344733	0.0396402	0.0407929	0.0490757	0.0277737	0.0327058	0.0239777	0.0539856	0.0394064	0.02349	0.0221876	0.0234723	0.0143105	0.00965948	0.0126552	0.0338889
il	0.00999533	0.00819916	0.00564031	0.00722185	0.00580743	0.00497591	0.00531725	0.00559079	0.00595929	0.00741845	0.00609465	0.00732751	0.00954723	0.0132177	0.00973386	0.0141381	0.0167901	0.0169595	0.0243871	0.0227456	0.025143	0.0372892	0.0288052	0.027448	0.0221863	0.0262866	0.0238291	0.0218231	0.0375976	0.0338549	0.0422404	0.0299562	0.045429	0.0319109	0.059505	0.0530097	0.0429577	0.0390773	0.0330741	0.0233861	0.0316654	0.0272675	0.0491904
a	0.0169899	0.0158014	0.014751	0.0151354	0.0123715	0.00740949	0.00556126	0.00466515	0.00718861	0.00603577	0.00685777	0.00741142	0.0107132	0.0131747	0.0107984	0.0144171	0.0176404	0.0201959	0.0229774	0.0254331	0.030203	0.0322903	0.0300647	0.0314262	0.0310174	0.0316065	0.0283513	0.0276549	0.0299928	0.0276011	0.0305851	0.0299751	0.0259034	0.0298747	0.0257434	0.0361015	0.0299239	0.0323268	0.0331402	0.0249939	0.0261397	0.0312861	0.0882689
boudé	0.0258069	0.025223	0.0196567	0.022364	0.0206713	0.00691079	0.00610037	0.0046168	0.00585208	0.00420943	0.0060628	0.00655802	0.0130995	0.0162266	0.014292	0.0168805	0.0225927	0.0189087	0.024216	0.0258725	0.0345862	0.0350609	0.027031	0.029274	0.0252772	0.0329148	0.0226957	0.0289975	0.0328993	0.0225068	0.0214325	0.0215559	0.0219272	0.0222199	0.0175837	0.0276105	0.0212659	0.0249458	0.0225765	0.0226868	0.0317683	0.0359176	0.111145
