 	s	á	p	o	o	y	é	á	b	h	i	i	k	á	m	b	í	m	ó	y	ú	r	u	w	ó	k	a	á	t	s	í	n	a	w	a	a	p	é	n	d	í	b	v	ú	n	d	u	</S>
dans	0.0129236	0.0184078	0.0140617	0.0173463	0.0123978	0.0147094	0.0204149	0.0364358	0.0401418	0.0408938	0.0478664	0.0540276	0.0612101	0.0608831	0.0603072	0.041309	0.0251233	0.0202407	0.0117794	0.0164374	0.0122002	0.0140537	0.0112664	0.00462235	0.00958385	0.00996157	0.00860132	0.00577812	0.00824423	0.00650342	0.00490503	0.00601624	0.00860594	0.0125397	0.00948479	0.00671493	0.00607954	0.00790293	0.0130462	0.00959501	0.0121155	0.0200582	0.0285027	0.0317028	0.033383	0.0286133	0.027066	0.0159358
ce	0.145541	0.0935111	0.0403758	0.0313316	0.034631	0.032472	0.0246555	0.029706	0.0162775	0.0216021	0.0336593	0.0306181	0.0426459	0.0364018	0.0288511	0.0116357	0.00849982	0.00751528	0.00954279	0.0199648	0.0217031	0.033428	0.0190824	0.0422955	0.0155675	0.0204094	0.0274969	0.0180258	0.0194629	0.00535407	0.00607574	0.00937425	0.00765005	0.00576068	0.0034334	0.00111234	0.00131836	0.00330031	0.00138239	0.00173053	0.00212175	0.00329929	0.00271749	0.00285904	0.00727285	0.00388964	0.00720233	0.00723554
village	0.0456951	0.053472	0.0685168	0.0503934	0.020543	0.0127842	0.0212644	0.0191172	0.0244261	0.0203113	0.0182823	0.0172864	0.017655	0.015901	0.0260099	0.0254857	0.0243273	0.0213976	0.0202313	0.0159255	0.0131152	0.00712871	0.00883477	0.0114593	0.00480956	0.00398602	0.00397643	0.00584634	0.00796124	0.00980599	0.0206534	0.0289469	0.0160231	0.0255733	0.0473126	0.015538	0.0108201	0.0160343	0.0119205	0.0255328	0.0145755	0.0297966	0.0209554	0.0118963	0.0257309	0.0208744	0.026468	0.0153989
on	0.0207082	0.0235114	0.0270725	0.0292959	0.0229944	0.0178601	0.0253841	0.0210375	0.0324819	0.0428418	0.0296549	0.0196485	0.0153891	0.0135894	0.0153691	0.0215401	0.025843	0.0332294	0.0307615	0.0464964	0.0461319	0.0333176	0.0411632	0.016684	0.01714	0.0207667	0.0136165	0.0167766	0.0145857	0.0208739	0.0141296	0.0152858	0.0154696	0.0107776	0.0192697	0.00635336	0.0110714	0.010892	0.00656665	0.0105234	0.014224	0.0136849	0.0147858	0.0138527	0.013132	0.0125557	0.0147217	0.0269389
ne	0.0244749	0.0253456	0.0232885	0.0250762	0.0247808	0.0331017	0.0295444	0.0154826	0.0153055	0.0143947	0.0131569	0.0130122	0.0156773	0.0133804	0.01666	0.0238136	0.0245824	0.0251319	0.0292456	0.0252705	0.0239436	0.0172881	0.019214	0.0112078	0.0112819	0.0074596	0.00685965	0.00941573	0.00855869	0.0108981	0.0154345	0.0158948	0.0175444	0.0140716	0.0190765	0.00958823	0.00878517	0.0132806	0.016617	0.0358828	0.0295219	0.0295201	0.025579	0.024476	0.0340062	0.0315618	0.0438317	0.0584748
veut	0.0524754	0.0300426	0.0230836	0.0233176	0.0271579	0.0287215	0.016538	0.0125244	0.0147103	0.0123293	0.0131761	0.012618	0.0142753	0.017327	0.0181784	0.0296029	0.0321696	0.0425117	0.0395293	0.0420492	0.0383098	0.0292968	0.0195219	0.0142674	0.0150169	0.0116494	0.0118518	0.00994479	0.0139779	0.00979871	0.0142396	0.012468	0.0123848	0.00694251	0.0136746	0.00790218	0.00516505	0.00948653	0.00829152	0.0207102	0.0180638	0.0176871	0.0149825	0.0148223	0.0216495	0.0235055	0.0352392	0.0668118
plus	0.00817196	0.00617841	0.00574437	0.00444655	0.00432247	0.00554636	0.00718932	0.0056247	0.00469584	0.004646	0.00469228	0.00445031	0.00562804	0.00620874	0.00663366	0.0108134	0.0205264	0.0359701	0.0669846	0.0844873	0.0801813	0.0869909	0.0567217	0.111199	0.0298049	0.0195116	0.0424197	0.0491149	0.061283	0.0147431	0.026543	0.00915991	0.00983064	0.00252745	0.00274433	0.00251875	0.00354656	0.00526711	0.00251571	0.00476303	0.00395483	0.00423789	0.0041986	0.00576421	0.00765199	0.00993034	0.0126716	0.0272432
de	0.0175617	0.014648	0.0161018	0.0168256	0.0163978	0.0137904	0.0105987	0.0107947	0.0105966	0.0108005	0.0133559	0.0127087	0.0158157	0.0215264	0.0214756	0.0354445	0.0404151	0.0475258	0.0505711	0.0535178	0.0595023	0.0528205	0.035106	0.0350419	0.0285422	0.0278009	0.0230477	0.0197693	0.0314007	0.0188665	0.0184989	0.0116265	0.0133732	0.004494	0.00486933	0.00367535	0.00390883	0.00549433	0.00301599	0.00664108	0.00564044	0.00716086	0.00711043	0.0114496	0.0162572	0.0205418	0.0249619	0.04891
cette	0.0295042	0.0183493	0.0204069	0.0218665	0.0229943	0.0142131	0.00689	0.00549054	0.00603445	0.00586493	0.00694557	0.00727758	0.00835884	0.010271	0.0109936	0.0161533	0.0219578	0.0326892	0.0475923	0.0579537	0.0805889	0.0444173	0.0288391	0.0438035	0.0201997	0.0144734	0.0182324	0.0153091	0.0203497	0.0116576	0.0139353	0.0144846	0.0108636	0.00589135	0.0101957	0.00442602	0.00720952	0.0103377	0.00812443	0.016428	0.0178148	0.0232422	0.0285701	0.028468	0.0273753	0.0308882	0.0256657	0.0464017
femme	0.0203363	0.0190847	0.01892	0.0148582	0.0108885	0.00947701	0.00704898	0.00440436	0.00575629	0.0051648	0.00657446	0.00862726	0.008695	0.0100795	0.0115188	0.0140949	0.0178591	0.0204952	0.0241949	0.0263405	0.0274353	0.0281693	0.0263686	0.0261253	0.0235143	0.0274148	0.0234664	0.0256659	0.0287222	0.0254786	0.025475	0.0243325	0.0236006	0.0123254	0.0143985	0.0102279	0.014877	0.0224654	0.0182064	0.0231876	0.0235167	0.028005	0.0269147	0.0280843	0.032825	0.0411629	0.0409972	0.0626188
parce	0.0317714	0.0210618	0.0203897	0.0205192	0.0208302	0.0139321	0.00790345	0.00661813	0.00743217	0.00657637	0.00658697	0.00625154	0.0060058	0.00588555	0.00779969	0.0102415	0.0153002	0.017544	0.0219099	0.0230124	0.0262668	0.0202788	0.0217976	0.022671	0.0184464	0.0147492	0.018287	0.0225585	0.0156443	0.019614	0.0206812	0.0179005	0.0189244	0.00517867	0.00978914	0.00510322	0.011666	0.0160226	0.010359	0.0242857	0.0311168	0.0434112	0.0369079	0.0418782	0.0525082	0.0547056	0.0587741	0.0629021
qu'	0.0474272	0.0209058	0.0300649	0.0369223	0.0403767	0.039578	0.0292195	0.0139574	0.0151995	0.0129822	0.00532121	0.00406116	0.00289641	0.00313949	0.00239144	0.00289707	0.0034325	0.00520961	0.00690729	0.0100867	0.0157492	0.0115801	0.0124292	0.0230391	0.013918	0.0116724	0.0188258	0.0236131	0.0183734	0.0202094	0.0337854	0.03138	0.0267564	0.035338	0.0312178	0.019355	0.0309527	0.0246491	0.0267133	0.0244342	0.0227928	0.0234381	0.0270615	0.0258061	0.0264587	0.027866	0.0225885	0.0370203
elle	0.058435	0.0310528	0.0310199	0.0327628	0.0351796	0.0282659	0.0170717	0.00761339	0.00751402	0.00640704	0.00466443	0.00331525	0.00241096	0.00189287	0.00247047	0.00277858	0.00494507	0.00647584	0.00905482	0.0117522	0.016174	0.00931192	0.0132338	0.0255525	0.0130274	0.0108897	0.0147459	0.0293584	0.015904	0.0186509	0.0374765	0.0410632	0.0244784	0.0176745	0.0293263	0.0129177	0.0216721	0.0224365	0.0194858	0.0222894	0.0209185	0.0307422	0.0282295	0.024129	0.0374466	0.0374492	0.0312123	0.0691213
est	0.0611722	0.0234246	0.0183387	0.0201641	0.0305896	0.0272963	0.0127623	0.00867601	0.0114344	0.0083517	0.00902753	0.00998579	0.00894228	0.00852714	0.00926641	0.0122812	0.015615	0.0195206	0.0191892	0.0230952	0.0228102	0.0157378	0.0214079	0.0294999	0.0278235	0.0193118	0.0287212	0.036967	0.0206344	0.0231616	0.0288951	0.0244318	0.0219747	0.00929813	0.0119919	0.00505464	0.0109796	0.016691	0.00695705	0.0174415	0.0202719	0.0231338	0.0222248	0.0194513	0.0317765	0.0351439	0.0392745	0.0512723
trop	0.0558802	0.0285489	0.0244261	0.0208534	0.0138671	0.00687568	0.00469542	0.00399353	0.00414735	0.00356633	0.00424163	0.00450398	0.00544413	0.00691509	0.0104367	0.0133749	0.0184193	0.0182061	0.0218536	0.0232864	0.0237349	0.0176827	0.02041	0.0281125	0.0217637	0.0306922	0.0320676	0.0345206	0.0297475	0.0230199	0.0176165	0.0238385	0.0164295	0.00562149	0.0091527	0.00643074	0.0066018	0.0143871	0.0053258	0.00755091	0.013018	0.0189799	0.0190177	0.0211387	0.0410332	0.0607051	0.0613205	0.0965443
arrogante	0.0316223	0.0228698	0.0250547	0.0254402	0.0212213	0.0146751	0.0106129	0.00624399	0.00527662	0.00509638	0.00568291	0.00489896	0.00463699	0.00299515	0.00510594	0.00586448	0.0115844	0.00994516	0.0138259	0.0192707	0.0199574	0.0126403	0.013245	0.01932	0.00769342	0.0147	0.0139905	0.0223837	0.0181787	0.0160386	0.0088735	0.0161283	0.0101331	0.00339461	0.00442462	0.00090789	0.00182634	0.00891169	0.00167661	0.00416786	0.00880307	0.0204382	0.020423	0.0301077	0.0682254	0.0856474	0.0826439	0.213195
</S>	0.0587457	0.0506283	0.0364559	0.0351307	0.0338671	0.0276967	0.0192057	0.0101486	0.00833014	0.00734044	0.00632308	0.00425781	0.00326292	0.00252054	0.00391441	0.00519081	0.0095755	0.0104276	0.0107463	0.0143418	0.0154634	0.00942706	0.0114438	0.0145125	0.00572282	0.00866668	0.0066895	0.0172064	0.0117056	0.0160239	0.016639	0.0234681	0.0174262	0.00469774	0.007595	0.00182159	0.00571385	0.0123938	0.00241003	0.00383099	0.00985608	0.0202503	0.0206555	0.032311	0.0485852	0.0699256	0.0750743	0.152374
