 	w	a	á	p	f	e	o	d	u	n	ú	i	k	ω	n	í	k	a	á	</S>
il	0.0981791	0.146265	0.257112	0.34323	0.116326	0.0128217	0.00354008	0.00140304	0.00112726	0.000555601	0.00108788	0.00130505	0.0017178	0.00220372	0.00227067	0.00218291	0.00261205	0.00210706	0.00221786	0.00173561
a	0.118202	0.064441	0.0596156	0.0775225	0.0598379	0.122909	0.233375	0.0982918	0.0347298	0.0397899	0.00799159	0.0071487	0.00648951	0.007898	0.0067399	0.00341924	0.00363017	0.00587544	0.0149985	0.0270951
atteint	0.0224138	0.028993	0.0183587	0.0319729	0.0338854	0.0366312	0.0351497	0.0590294	0.107129	0.137273	0.0582711	0.0681969	0.0636124	0.0496936	0.0548646	0.0363762	0.0341471	0.0340138	0.0422207	0.0477673
la	0.00786422	0.00833771	0.00708972	0.010639	0.00738855	0.0112989	0.0226634	0.0297785	0.0297454	0.0705486	0.0780581	0.146509	0.113579	0.0995692	0.0797693	0.0519337	0.0456313	0.0502088	0.0589873	0.0703999
vieillesse	0.0247904	0.0230712	0.0211965	0.0250437	0.0133511	0.014771	0.0336641	0.0361051	0.0405113	0.0688098	0.0623175	0.058607	0.0927383	0.0758006	0.0882359	0.0726171	0.0485112	0.0539303	0.0511369	0.0947909
sans	0.0218417	0.0276886	0.0249322	0.0267531	0.0454679	0.0446864	0.0364398	0.0243015	0.025008	0.0401097	0.0470003	0.0624505	0.0392888	0.0450599	0.0524428	0.0455991	0.0627072	0.0646553	0.10034	0.163227
jamais	0.0243796	0.0231794	0.0216146	0.01928	0.0192279	0.0201905	0.0253793	0.0255009	0.0181849	0.0476148	0.0421326	0.0576617	0.0460564	0.0380153	0.0406822	0.0472666	0.0526275	0.0831557	0.143472	0.204378
être	0.0355875	0.0367733	0.0372967	0.0352579	0.0608936	0.0602047	0.0392331	0.0203862	0.0124837	0.0123576	0.0144578	0.018092	0.0172869	0.0274093	0.0298399	0.0635631	0.0843174	0.102695	0.121238	0.170627
malade	0.0297075	0.029133	0.0295536	0.02964	0.0294204	0.0314596	0.0424012	0.0322585	0.0275619	0.026501	0.0270771	0.0321652	0.0327688	0.0494892	0.0531897	0.0644154	0.0872447	0.103542	0.110416	0.132056
</S>	0.0319914	0.0232676	0.0264561	0.0309496	0.0274015	0.0337008	0.0346927	0.0315574	0.0259417	0.0173365	0.0152562	0.0196224	0.0254019	0.0538552	0.0632839	0.0870633	0.115154	0.112927	0.107227	0.116914
