 	o	b	h	í	i	a	m	b	é	b	h	á	w	ó	l	á	a	k	i	r	á	n	g	á	m	b	é	b	h	á	l	a	t	á	l	e	</S>
ce	0.00772528	0.00983974	0.00842592	0.0108402	0.0187352	0.0169849	0.0262873	0.030819	0.0344222	0.0319533	0.041961	0.042514	0.0389411	0.0314384	0.0366338	0.0245248	0.0209261	0.0177977	0.0248841	0.0410248	0.0246873	0.0366871	0.023009	0.0430295	0.0242182	0.0246129	0.0247303	0.0270841	0.0341717	0.0312195	0.0315864	0.0282037	0.0374885	0.0339263	0.0329703	0.0169709	0.00872545
piégeur	0.0107187	0.0209366	0.0319237	0.0264084	0.057019	0.033205	0.0431705	0.0298295	0.0190717	0.0115501	0.06219	0.0285624	0.023288	0.0383177	0.0926982	0.0604604	0.0510206	0.0821046	0.0687176	0.0445703	0.0322694	0.0447397	0.00829884	0.021194	0.0136113	0.00748792	0.00306324	0.00295381	0.00600712	0.0065063	0.00285728	0.00462621	0.0040679	0.00379558	0.00114642	0.000655417	0.000956513
de	0.0863576	0.0485947	0.0345	0.0319239	0.0185807	0.0228934	0.0163608	0.0174869	0.0225522	0.0158418	0.0129762	0.0107778	0.0100754	0.0184256	0.00954137	0.015191	0.0153055	0.0167642	0.0146436	0.018685	0.0365511	0.0287485	0.0490952	0.0226057	0.0347587	0.0414599	0.0372427	0.0572823	0.0459593	0.039213	0.0194403	0.0284112	0.0162592	0.0151905	0.0176935	0.0250438	0.0275678
hérissons	0.0258538	0.0324671	0.0493724	0.0437407	0.0433245	0.0668778	0.0362541	0.0286927	0.0362886	0.0317634	0.0203167	0.061931	0.0259075	0.0275951	0.0347107	0.0228904	0.0185268	0.0192154	0.033156	0.0300063	0.0208738	0.0236637	0.0275279	0.0118955	0.0199482	0.0201525	0.0143	0.00946214	0.00635639	0.00361303	0.00510747	0.00343635	0.00430681	0.00675503	0.0154225	0.0249782	0.0933095
me	0.0236444	0.0267461	0.0290945	0.0327517	0.0307969	0.0303977	0.022129	0.017499	0.0193423	0.0135075	0.018271	0.0218047	0.0218685	0.0179419	0.0253468	0.0175971	0.0169526	0.0228251	0.0216389	0.023322	0.0185746	0.0266127	0.0237154	0.0191778	0.0254108	0.0307939	0.0304338	0.0235543	0.01878	0.0145737	0.0177576	0.024892	0.0262134	0.0367246	0.0546965	0.0532978	0.101313
les	0.0164543	0.0197108	0.0169072	0.0240906	0.0232849	0.0301712	0.0263708	0.0205577	0.0229669	0.0170977	0.0180746	0.020497	0.015766	0.0193734	0.0266016	0.0221366	0.0313481	0.0406825	0.036593	0.0396034	0.0311821	0.0450345	0.02854	0.0288501	0.0295118	0.0346699	0.0275373	0.0244671	0.017993	0.0185126	0.0125156	0.0157422	0.0157929	0.0301929	0.0380398	0.0382366	0.0748936
vend	0.0318473	0.0356563	0.0257326	0.0282259	0.0243794	0.0280857	0.024523	0.0184337	0.0215353	0.0156487	0.0222628	0.0142268	0.0147677	0.018912	0.0249701	0.0188307	0.0296319	0.0504497	0.0312591	0.0440413	0.0264596	0.0463256	0.0236477	0.0333687	0.0319938	0.0389115	0.0208472	0.0226959	0.0153325	0.0162019	0.0116915	0.0123912	0.0158296	0.0202477	0.0237044	0.0242419	0.0926891
si	0.0288889	0.0398673	0.0344332	0.0482321	0.0468035	0.0471448	0.0414794	0.0274065	0.0260166	0.0193831	0.0205326	0.0183831	0.015241	0.0186371	0.0185471	0.0132949	0.02401	0.0248279	0.0297794	0.0375107	0.0158555	0.0347131	0.0163083	0.0119275	0.0187011	0.0205457	0.0116061	0.0100453	0.0120066	0.00751892	0.00593091	0.0168533	0.0193026	0.0302246	0.0362734	0.0411803	0.110588
chers	0.0490072	0.0581313	0.0466507	0.0441654	0.0379194	0.0338811	0.0216313	0.0132335	0.0108898	0.00759255	0.00676534	0.0093521	0.00475651	0.0101627	0.00965969	0.00701566	0.0115727	0.0113062	0.0112913	0.0129415	0.0156069	0.0173788	0.0268707	0.0250753	0.032041	0.0509829	0.0288203	0.0271553	0.0175016	0.0177459	0.0115016	0.0224787	0.015137	0.0292215	0.0521689	0.05231	0.140078
</S>	0.100366	0.0593271	0.0345907	0.0215438	0.0138936	0.00926873	0.00951079	0.00890676	0.00745734	0.00717087	0.00967793	0.00733343	0.00682719	0.0108749	0.0136101	0.0107734	0.0215242	0.0239177	0.018458	0.0191505	0.0125133	0.0185218	0.0152111	0.0237343	0.0362665	0.046887	0.0416155	0.0388665	0.0357696	0.0249102	0.0216619	0.0262954	0.0365637	0.0392757	0.04376	0.0385024	0.085462
