 	m	w	ε	n	έ	p	á	b	h	a	á	l	á	r	i	l	e	s	w	a	</S>
aujourd'	0.00559277	0.0127698	0.0109231	0.00860319	0.0104433	0.0155116	0.0543316	0.100439	0.0961507	0.0929573	0.0957132	0.0952442	0.0549612	0.109241	0.0708239	0.0500014	0.0416264	0.0341032	0.0132534	0.012617	0.0146919
hui	0.0866481	0.037828	0.0888001	0.145193	0.175866	0.104142	0.0848805	0.0566826	0.0409055	0.0235803	0.01245	0.0131216	0.0199691	0.0180731	0.0174284	0.0130543	0.0205637	0.00838448	0.00888316	0.0120171	0.0115291
le	0.0246965	0.0269498	0.0467987	0.0602982	0.0653459	0.0521833	0.0685862	0.0853617	0.0758343	0.0561991	0.0925961	0.0607902	0.0373867	0.0187268	0.0254712	0.0348058	0.0541986	0.0410047	0.0289373	0.0305902	0.0132385
notable	0.0228525	0.0241968	0.0427432	0.0512781	0.0612574	0.0759934	0.0710406	0.0849436	0.0806317	0.0810266	0.0728812	0.0457905	0.0337403	0.0288251	0.0272408	0.0387042	0.0380953	0.0187885	0.0219837	0.0347626	0.043224
a	0.0303426	0.0173752	0.0261958	0.0285643	0.0361116	0.0483235	0.0575863	0.0724425	0.0767534	0.0845705	0.0710558	0.0526039	0.0447415	0.0582738	0.050909	0.056114	0.0454614	0.0279364	0.0184728	0.0353402	0.0608255
porté	0.0345572	0.0172947	0.0212176	0.0221235	0.0265081	0.0375694	0.0424828	0.0529989	0.0585717	0.0792928	0.0578847	0.0498716	0.0424591	0.0406284	0.0452731	0.0736966	0.0668274	0.0533443	0.0409528	0.0613231	0.075122
le	0.0272956	0.0201189	0.0206315	0.0208262	0.0265424	0.0453218	0.0391416	0.0389888	0.0501678	0.0675349	0.0552545	0.0488226	0.0580245	0.0505703	0.041259	0.0534233	0.0553043	0.0664516	0.066394	0.0697775	0.0781489
gros	0.0354971	0.0309255	0.0303224	0.0324999	0.0388693	0.0416597	0.0378821	0.0275543	0.0283665	0.03143	0.0240691	0.0166567	0.0174674	0.0276456	0.0393054	0.0560058	0.0690591	0.0912749	0.067622	0.0971617	0.158726
pagne	0.209688	0.0761964	0.0325385	0.028095	0.0321452	0.0251066	0.0184241	0.025038	0.0227445	0.0159067	0.00930818	0.00722654	0.00527471	0.0095017	0.0128589	0.0237789	0.0303428	0.122433	0.0430327	0.0821446	0.168216
aux	0.158508	0.0862658	0.0665082	0.0505488	0.0397952	0.0225311	0.0178803	0.0122445	0.0113903	0.011927	0.00911531	0.00706902	0.00567909	0.00513626	0.0059413	0.0151923	0.0347654	0.0970479	0.0399246	0.126947	0.175583
bordures	0.0885487	0.110114	0.0827261	0.0802774	0.0564824	0.0225356	0.0177533	0.0121683	0.0122322	0.0143987	0.0108959	0.0124198	0.0119371	0.0162102	0.0228066	0.040597	0.0423037	0.0642536	0.0429858	0.0899318	0.148422
rouges	0.231221	0.224999	0.0891926	0.055356	0.0180721	0.008165	0.00820594	0.00634707	0.00607526	0.00904851	0.005792	0.00316345	0.0020956	0.00254014	0.00483139	0.00893255	0.0157332	0.072174	0.046881	0.0897584	0.0914151
</S>	0.0574956	0.051557	0.0470456	0.0449699	0.0424644	0.0356667	0.0284217	0.0247065	0.0201709	0.0149616	0.00890202	0.0074237	0.00516658	0.00704784	0.00940818	0.0234579	0.0592486	0.118169	0.0913815	0.140785	0.16155
