 	w	a	l	á	a	d	i	n	g	á	l	ώ	s	ω	w	a	a	d	i	b	e	a	i	s	ú	s	u	ω	d	z	á	a	k	a	á	</S>
elle	0.0431094	0.215428	0.379614	0.19927	0.0726101	0.0234514	0.00895684	0.00788505	0.00842719	0.00784989	0.00519357	0.00301144	0.00120272	0.000741623	0.000380206	0.000231513	0.000727494	0.000577441	0.000621107	0.000631255	0.00051378	0.00063881	0.00178059	0.00290065	0.00174906	0.0019492	0.00123426	0.000667077	0.000863905	0.00120012	0.00120573	0.00120979	0.00123301	0.00119941	0.0011421	0.000591992
aime	0.0222763	0.0319914	0.0225601	0.0279328	0.0354871	0.0717066	0.0993096	0.0958337	0.019318	0.0654173	0.0503457	0.0669398	0.0686931	0.0406821	0.0912719	0.0570959	0.0193472	0.00801076	0.00503714	0.00371976	0.00348069	0.00864357	0.00807246	0.010822	0.0153486	0.00731486	0.00665626	0.00800445	0.00443503	0.00379135	0.00443511	0.00409397	0.00214315	0.00161715	0.00250376	0.00566145
le	0.0105404	0.0396428	0.0494374	0.0499352	0.0185581	0.0233534	0.0143515	0.011287	0.00828361	0.00834135	0.00958468	0.0101036	0.0120658	0.0182111	0.0248244	0.0146965	0.0248963	0.0524717	0.0675173	0.0359419	0.0391784	0.0603534	0.0666999	0.0326772	0.0591316	0.0370952	0.0390888	0.0261258	0.0124688	0.0217954	0.0214432	0.0152391	0.0188256	0.0192042	0.0133005	0.013329
riz	0.00253076	0.00280993	0.00436502	0.0042052	0.00277941	0.00257767	0.00301368	0.00295115	0.0050939	0.00679358	0.00736793	0.00960265	0.0141862	0.0143565	0.0330193	0.0442019	0.0452556	0.0457936	0.0243422	0.032518	0.0337375	0.0267246	0.0277193	0.0541973	0.0508191	0.0614092	0.0612736	0.0558452	0.0569482	0.0352302	0.0501435	0.0319787	0.0527453	0.0271295	0.0308223	0.0355125
elle	0.00390503	0.0039137	0.0086655	0.00874348	0.00590079	0.00824029	0.00836341	0.00791284	0.00686898	0.00780941	0.00801739	0.00918212	0.0174721	0.00964666	0.0127218	0.022241	0.0343388	0.0379661	0.0364495	0.0383122	0.0468114	0.0431154	0.045915	0.0441974	0.0385824	0.0430344	0.0589211	0.060616	0.0508671	0.0375693	0.0370484	0.0331972	0.0392403	0.031972	0.0402835	0.051958
ne	0.0246697	0.0342897	0.0184533	0.0128469	0.0126729	0.0152829	0.0126386	0.0132807	0.00790056	0.00964935	0.0109138	0.019494	0.0226248	0.0228151	0.0247403	0.0263262	0.0347783	0.0216352	0.0344395	0.0330956	0.0311215	0.0301367	0.0335192	0.0309207	0.0354963	0.0275302	0.034024	0.0358413	0.0417979	0.0301362	0.0367495	0.0406406	0.0571674	0.0406317	0.037424	0.0443155
mange	0.0066698	0.0063146	0.00893154	0.00699681	0.00633184	0.00639833	0.00660288	0.00644692	0.00639568	0.00657377	0.00698387	0.0108717	0.0246603	0.0165797	0.0245611	0.0183175	0.023523	0.0210182	0.014927	0.0162766	0.0160565	0.0211327	0.0261047	0.0326547	0.0349214	0.0487072	0.0545877	0.0575706	0.0639281	0.0543469	0.0549946	0.0541823	0.0564976	0.0545911	0.0587464	0.065596
rien	0.0115755	0.0201427	0.0261044	0.0150274	0.0116952	0.0205665	0.0196378	0.0239547	0.0220464	0.0213569	0.0191683	0.0218998	0.0336356	0.0260216	0.0340559	0.0134717	0.0176139	0.00884036	0.00927223	0.00885194	0.0119995	0.00960566	0.0123087	0.0158722	0.0137324	0.0218913	0.023911	0.028653	0.0387222	0.0353693	0.0390616	0.0419698	0.0544347	0.0615261	0.0783612	0.127642
d'	0.0135313	0.0191337	0.0339989	0.0242945	0.0145074	0.0164291	0.0273301	0.0243452	0.020877	0.0161626	0.0168425	0.0197089	0.020591	0.0197289	0.0184957	0.0108788	0.0146168	0.0173903	0.0264504	0.0262709	0.0352548	0.0267072	0.034133	0.0385609	0.0361037	0.0246412	0.0254295	0.0169481	0.018367	0.0166941	0.0150546	0.0156824	0.0377535	0.0324028	0.0640625	0.160621
autre	0.00366812	0.00556287	0.0117152	0.012834	0.00966558	0.0066211	0.0139316	0.0126488	0.0150663	0.0132215	0.0254058	0.0299757	0.0191798	0.0152502	0.0185136	0.0153706	0.0193959	0.0114347	0.0136366	0.0175328	0.0231997	0.0217822	0.0212622	0.0441849	0.0478756	0.0312077	0.0366198	0.0190954	0.0202918	0.0225053	0.0261539	0.0198663	0.0590812	0.0581327	0.0862264	0.171884
</S>	0.00508074	0.00610605	0.00479761	0.00886133	0.0117805	0.0111677	0.0162348	0.0159575	0.0209833	0.0210837	0.0238515	0.0250313	0.0186104	0.0160577	0.0178278	0.0123025	0.0161714	0.0109273	0.0137365	0.0152989	0.017639	0.0131023	0.0134975	0.0233763	0.0265789	0.0167815	0.0212199	0.0136433	0.0148631	0.0295266	0.0562309	0.0412812	0.0749581	0.0880916	0.107823	0.149518
