 	n	g	á	í	b	ω	ω	r	i	e	m	b	ώ	t	ώ	s	á	s	a	á	n	i	</S>
j'	0.163073	0.127861	0.134783	0.102728	0.0500415	0.0224569	0.0166154	0.016678	0.0138914	0.0316101	0.0434433	0.0349633	0.0493754	0.0278128	0.0215896	0.0174359	0.0148178	0.0161109	0.0167629	0.0199	0.0208697	0.0171753	0.0200054
ai	0.16684	0.122256	0.0756315	0.115022	0.0432167	0.0431132	0.0395166	0.0828418	0.0492332	0.0560723	0.0349861	0.0231886	0.0134168	0.00945425	0.00945124	0.011209	0.00947667	0.0120605	0.011337	0.00793983	0.0117896	0.0150173	0.0369292
enlevé	0.0457199	0.0783402	0.0626906	0.0503812	0.0534163	0.0491825	0.0400661	0.0465069	0.041718	0.0590419	0.0722756	0.0932104	0.0822155	0.054544	0.0180825	0.0150137	0.0143069	0.0212855	0.0195091	0.0164325	0.0178369	0.0237791	0.0244448
un	0.0539903	0.0755459	0.0740872	0.141217	0.109183	0.0968732	0.0312432	0.0180414	0.0184477	0.0150994	0.00813268	0.0117723	0.0182845	0.0180719	0.0285915	0.0241023	0.0301628	0.0263577	0.0306834	0.037826	0.0405149	0.0408896	0.0508822
peu	0.0266855	0.0316455	0.0434606	0.190948	0.14442	0.103979	0.0602621	0.0285898	0.0192665	0.0194611	0.0191487	0.0155072	0.0207952	0.0263762	0.0288622	0.0281093	0.031969	0.0195035	0.0113065	0.0260799	0.0244987	0.0276798	0.0514457
de	0.0758443	0.0581191	0.0326396	0.0284802	0.0525088	0.0560047	0.0427211	0.0380741	0.0439922	0.0416319	0.0321981	0.0222735	0.0310377	0.0287334	0.030582	0.0428611	0.0467227	0.0426103	0.0430016	0.0347686	0.0463319	0.0391245	0.0897387
la	0.109864	0.0782374	0.0388088	0.0237175	0.0186679	0.0247531	0.0202855	0.0130065	0.0126009	0.0102597	0.0129943	0.0161607	0.0350555	0.0441641	0.0574226	0.0534992	0.0521722	0.049005	0.0557182	0.060752	0.0644519	0.0601658	0.0882375
pâte	0.0186165	0.0178201	0.0174368	0.020461	0.0216486	0.0186318	0.0211923	0.0266878	0.0226194	0.0345339	0.0390373	0.0536972	0.0594954	0.0671547	0.0737091	0.0736999	0.0813332	0.0543608	0.0260426	0.0339207	0.0633206	0.0696791	0.0849013
d'	0.0271701	0.023147	0.0218383	0.0217459	0.0133698	0.0128162	0.0201264	0.0235378	0.0332975	0.0220242	0.0195668	0.0201489	0.0394051	0.037073	0.030761	0.0412539	0.0396831	0.041408	0.0371117	0.0420556	0.0742432	0.0569893	0.301227
arachide	0.0602305	0.0237827	0.0178952	0.0203268	0.0223212	0.0203868	0.0136603	0.0140854	0.0148354	0.0154775	0.0167156	0.0280751	0.0490516	0.0562617	0.0536127	0.0355411	0.0326523	0.0361001	0.0487947	0.0738986	0.108906	0.0888523	0.148537
de	0.0828956	0.0648621	0.049908	0.0225134	0.0241736	0.0209311	0.020674	0.015661	0.0258104	0.0139615	0.00873271	0.0086182	0.0144091	0.0171284	0.0255409	0.0384953	0.0349188	0.0495775	0.0546922	0.0808628	0.0989355	0.0995603	0.127138
l'	0.198057	0.0764586	0.0209251	0.0125917	0.0137988	0.0136752	0.0151827	0.0102973	0.0111449	0.0108011	0.0199031	0.0255926	0.0538392	0.0567688	0.0511665	0.0370114	0.0325541	0.0362849	0.0394627	0.0351948	0.0618837	0.0567553	0.110651
assiette	0.0429259	0.0182917	0.0114512	0.00955693	0.0107525	0.0159668	0.00789554	0.00788154	0.00833267	0.0118014	0.0172609	0.0284871	0.0436946	0.0354974	0.0291665	0.0290493	0.034168	0.0456104	0.0452359	0.077563	0.147273	0.122703	0.199435
</S>	0.0573867	0.0223907	0.012193	0.0102623	0.0116184	0.0172166	0.0215501	0.0137716	0.0147586	0.0125449	0.0163674	0.0189796	0.038974	0.0406268	0.044348	0.040713	0.0437507	0.0430814	0.0551786	0.0600069	0.0969908	0.0800232	0.227267
