 	k	a	n	g	á	e	k	u	u	p	e	n	á	a	n	g	u	n	g	u	á	k	ó	í	s	á	n	d	é	e	</S>
ferme	0.0115253	0.0151652	0.0470047	0.0262528	0.0203414	0.0168837	0.0121492	0.0269151	0.0208274	0.0194403	0.0374373	0.0380587	0.0392539	0.0466804	0.0454589	0.0417544	0.0493002	0.0346898	0.0466512	0.0430832	0.0529512	0.0449079	0.0541823	0.0412885	0.0220825	0.0269954	0.0169206	0.0301656	0.0194679	0.0285287	0.0236366
la	0.0904253	0.0827889	0.0528585	0.0343678	0.0372878	0.031271	0.020262	0.0213098	0.0461675	0.0298669	0.0297792	0.0650164	0.0347727	0.0485638	0.0199162	0.0327121	0.0529522	0.0167132	0.0182791	0.0125457	0.0190785	0.029567	0.0494744	0.0257711	0.0205149	0.0199489	0.0147196	0.0138782	0.00902012	0.0114199	0.00875127
porte	0.0498501	0.0226827	0.0242238	0.0542719	0.0555985	0.0304628	0.0502567	0.0469009	0.0606325	0.0443725	0.0378334	0.0538245	0.026822	0.0190047	0.0237577	0.016338	0.0271837	0.0469917	0.0256933	0.0487008	0.0324699	0.0290943	0.0368058	0.0205957	0.0179923	0.0161698	0.0163181	0.0181293	0.0139496	0.0153042	0.0177689
de	0.0463258	0.0313363	0.0348112	0.0287399	0.0176015	0.0275608	0.0300541	0.0331575	0.0409775	0.0306286	0.0267179	0.027687	0.0238281	0.0253024	0.0336005	0.0247608	0.0314952	0.0383802	0.0391041	0.0491739	0.0268864	0.0475956	0.0466492	0.0337929	0.0327954	0.030972	0.0222034	0.0193682	0.0212264	0.0263575	0.0509097
peur	0.0528705	0.0264534	0.0232214	0.022781	0.0196137	0.0201149	0.0254662	0.0165822	0.016543	0.0199011	0.0145607	0.0161173	0.00809796	0.00934525	0.0251692	0.00967579	0.0227258	0.0479067	0.0317143	0.0585987	0.0437641	0.0506728	0.0631007	0.0314536	0.0223958	0.0274104	0.029722	0.0340136	0.0388484	0.0691964	0.101963
que	0.0449728	0.0213702	0.0164964	0.0174762	0.0159375	0.016587	0.0206283	0.0158409	0.017253	0.0190761	0.0181058	0.017948	0.0179126	0.0209561	0.047955	0.0211694	0.0334669	0.0411979	0.029892	0.0491786	0.042422	0.0433277	0.0451421	0.0340436	0.0307917	0.0389718	0.0380974	0.0407475	0.0456081	0.0545376	0.0828899
les	0.0330189	0.0220439	0.0199484	0.0193466	0.0195892	0.0192636	0.0193771	0.0186171	0.0154931	0.0175858	0.0169736	0.0174385	0.0115055	0.0116498	0.0244602	0.0122364	0.0227464	0.0386565	0.0267892	0.0533685	0.0424155	0.0471613	0.0527721	0.0417291	0.032675	0.0450561	0.0481603	0.0485906	0.0594808	0.0675264	0.0743243
moustiques	0.0379437	0.0210413	0.0182758	0.0149052	0.0158572	0.0152478	0.015957	0.0160118	0.0167428	0.0163733	0.0169139	0.0178213	0.0159947	0.0220109	0.0404159	0.0179942	0.0263198	0.0290612	0.0206009	0.0388777	0.0311273	0.0301874	0.0329029	0.0284506	0.0344677	0.0531387	0.0648929	0.0552094	0.0573384	0.0707787	0.107139
n'	0.0533407	0.0287512	0.0231778	0.025879	0.0135324	0.00785243	0.00735444	0.0071896	0.00621358	0.00643239	0.00803279	0.00642352	0.0162077	0.017823	0.0451813	0.0224529	0.0228284	0.0262359	0.0250518	0.0420357	0.0352332	0.0379085	0.0455835	0.0302047	0.0316024	0.0484635	0.0436673	0.0354045	0.0514811	0.0764897	0.151965
entrent	0.0778131	0.0567866	0.0365984	0.0471336	0.031916	0.0179027	0.0133036	0.00656382	0.00903207	0.00722945	0.00616712	0.00529259	0.00980506	0.0136195	0.0136971	0.0102078	0.0139005	0.0102721	0.00701577	0.0200752	0.0120689	0.0236326	0.0383843	0.021324	0.034391	0.0637429	0.0655026	0.0546282	0.0780909	0.0891898	0.104713
dans	0.101161	0.0696952	0.0511057	0.0432473	0.0292722	0.0239994	0.0130078	0.00697425	0.00897658	0.00959003	0.00633008	0.00457403	0.00649927	0.0130263	0.0198812	0.0137228	0.015757	0.0130405	0.0160625	0.0185218	0.0292933	0.0387437	0.047477	0.0433648	0.0390503	0.065531	0.0630102	0.0466995	0.0532408	0.0421432	0.0470015
la	0.079406	0.0370055	0.0227179	0.0247489	0.0160009	0.0193694	0.0135536	0.00817203	0.0116515	0.0113061	0.00940523	0.00793642	0.00670506	0.01018	0.0178902	0.0137647	0.0160161	0.0215868	0.0186431	0.032599	0.0379392	0.0451432	0.054652	0.0556638	0.0479383	0.0478949	0.0431697	0.0412208	0.0703243	0.0715038	0.0858915
maison	0.0431865	0.0283178	0.0182752	0.0166544	0.00909109	0.0188671	0.00515784	0.00782677	0.00247341	0.00306001	0.00396878	0.00310757	0.00261985	0.00417652	0.00705637	0.00459098	0.00601358	0.010148	0.0078326	0.025249	0.021251	0.0493706	0.0392546	0.0441871	0.0528309	0.07433	0.0755406	0.0732829	0.108367	0.111921	0.12199
</S>	0.0428416	0.0235464	0.0184197	0.0171613	0.0131068	0.0148589	0.0116472	0.00690593	0.00946795	0.0114049	0.0097165	0.00666617	0.00677386	0.0110948	0.0211431	0.0162512	0.0152295	0.0194468	0.0209555	0.0398214	0.0415252	0.0564679	0.0599467	0.0583978	0.0544332	0.0502823	0.0528206	0.0580829	0.0826123	0.0737217	0.0752497
