 	b	á	n	a	b	á	á	b	é	n	y	í	i	d	z	w	a	l	á	b	i	r	á	á	d	i	i	b	h	o	n	g	ó	</S>
les	0.0152362	0.0834023	0.0411571	0.0260076	0.0143317	0.0138409	0.0128252	0.0120237	0.00882344	0.00924911	0.00942431	0.0117526	0.0156653	0.0755221	0.0915931	0.107949	0.0792826	0.0742144	0.0525667	0.0474945	0.0169437	0.0167351	0.0116526	0.0127785	0.0125744	0.0201936	0.0192108	0.0117206	0.0136005	0.0122856	0.0113071	0.0130996	0.0142992	0.0112367
enfants	0.0401225	0.0535805	0.0500412	0.0689307	0.0478394	0.0745937	0.0617702	0.0466481	0.052954	0.0280776	0.0249311	0.0313971	0.0245389	0.0266131	0.0102265	0.0137532	0.00735353	0.00924781	0.00809271	0.00841413	0.0111313	0.0155412	0.0212964	0.0298758	0.0324808	0.0323855	0.0368282	0.0183839	0.0267331	0.017887	0.0161733	0.0198142	0.0109322	0.021411
qui	0.051473	0.0323701	0.0375419	0.0304689	0.0241821	0.024577	0.0155134	0.0178659	0.020515	0.0274443	0.0494254	0.055222	0.0622803	0.0249231	0.0238886	0.0269995	0.0182828	0.0338172	0.019916	0.0286455	0.0205987	0.0175753	0.025649	0.0376018	0.0400998	0.0374602	0.0381875	0.0354918	0.0383393	0.0231372	0.0190055	0.020404	0.012424	0.0086741
ont	0.0177491	0.0199704	0.0250189	0.0256081	0.0291942	0.0189142	0.0181639	0.0156064	0.0154923	0.0176922	0.0223627	0.031306	0.0286458	0.0232331	0.0238943	0.0146076	0.0222235	0.0224921	0.024304	0.0192682	0.0253009	0.0307374	0.0505152	0.0509103	0.055752	0.0374224	0.039097	0.0365668	0.0508968	0.0434822	0.0431667	0.0396838	0.0272487	0.0334729
accepté	0.0225751	0.0162737	0.0203348	0.0202246	0.0311184	0.0346523	0.0285181	0.0323514	0.0297565	0.0463807	0.0309051	0.0456533	0.021671	0.0206954	0.0285715	0.0352354	0.0340007	0.0265376	0.0416167	0.0333183	0.0295524	0.0269755	0.024451	0.0251299	0.0216882	0.023372	0.0179731	0.0206043	0.0215778	0.0238986	0.0277801	0.0281449	0.034526	0.0739357
d'	0.0518665	0.0265949	0.0259329	0.0276168	0.0392153	0.0321068	0.0402383	0.0533267	0.0358414	0.0455533	0.053381	0.0427996	0.0243664	0.0219357	0.0197876	0.0122403	0.00899415	0.00901734	0.0168516	0.0166057	0.0186449	0.0191575	0.0281718	0.0271555	0.0212776	0.0151866	0.0163927	0.0163604	0.0227837	0.0204025	0.0359566	0.0401491	0.0391198	0.0749689
aller	0.0728342	0.0192448	0.02393	0.0209527	0.0303826	0.0330994	0.0474343	0.0656853	0.0501417	0.0417137	0.0484899	0.0504132	0.0248124	0.0198177	0.0233774	0.0324675	0.015152	0.0129527	0.0271237	0.0288706	0.0291739	0.0271058	0.0164106	0.0119218	0.00970915	0.0107182	0.0111166	0.012484	0.0133812	0.0150252	0.0179599	0.0217057	0.028847	0.0855453
au	0.038342	0.0221348	0.0194712	0.0227108	0.0340775	0.0264848	0.0338146	0.0495668	0.0372291	0.0367017	0.0434119	0.0440212	0.014807	0.00900712	0.0136316	0.0126376	0.0145001	0.0121355	0.02062	0.0204566	0.0298647	0.0319495	0.0277465	0.0159645	0.0221632	0.0253342	0.0172958	0.0169154	0.0292375	0.0389178	0.0460267	0.048444	0.0531525	0.071226
front	0.0375052	0.0261182	0.0249367	0.0253883	0.037324	0.036663	0.0250127	0.0260929	0.024313	0.0227103	0.0188611	0.0277345	0.0205174	0.0116548	0.0223269	0.0169471	0.0188639	0.0181472	0.0189303	0.0199813	0.0179186	0.0177347	0.0118145	0.00370577	0.00728254	0.00914065	0.0104157	0.0100517	0.0179296	0.02272	0.0513927	0.0691866	0.0575266	0.213152
sont	0.0641977	0.0292133	0.0469209	0.0364574	0.0560311	0.0667649	0.0606022	0.0453496	0.0285728	0.0187101	0.021917	0.0143097	0.00586296	0.00443057	0.00669395	0.0060234	0.00650949	0.00845682	0.0137657	0.0171306	0.0240507	0.0270639	0.0291586	0.0412686	0.0221176	0.0179677	0.0102209	0.00811643	0.0100271	0.0277078	0.0346737	0.0360224	0.0493564	0.104328
des	0.191649	0.0501506	0.059665	0.0412381	0.0343963	0.0296551	0.0285798	0.0292448	0.019936	0.0179351	0.0142193	0.0151058	0.0160125	0.0143404	0.0264156	0.015527	0.0109116	0.0063599	0.0130045	0.012576	0.0141342	0.0137954	0.0176694	0.0135454	0.010538	0.00943389	0.00739049	0.00781446	0.0129695	0.0192288	0.03703	0.0281732	0.0487798	0.112575
kamikazes	0.0410338	0.0235433	0.0293454	0.0202169	0.0170318	0.0258718	0.0188812	0.015648	0.0208563	0.0161907	0.0111136	0.0128816	0.0132643	0.0115914	0.0163825	0.00971247	0.0126249	0.00793627	0.013512	0.0160358	0.0138884	0.0191868	0.0196401	0.0185037	0.0221866	0.0269977	0.0164425	0.0152471	0.0336659	0.0548403	0.0757066	0.0632324	0.109232	0.157556
</S>	0.0369834	0.0191124	0.0264192	0.0215894	0.022994	0.0337128	0.0248279	0.0204357	0.0222638	0.0114477	0.0115855	0.0114936	0.00762628	0.00535311	0.00952278	0.00843724	0.00834148	0.00961043	0.00915577	0.0135007	0.013032	0.0190298	0.0191624	0.0234455	0.0224715	0.028973	0.0221997	0.017721	0.0275751	0.0661411	0.0599765	0.0581362	0.0813781	0.206345
