 	p	ε	n	g	ε	y	é	é	d	í	l	a	w	a	m	é	b	ω	ω	é	d	í	p	i	b	h	i	í	b	h	i	í	</S>
le	0.0181404	0.0199803	0.0307153	0.0542777	0.0544262	0.0439705	0.0278259	0.027179	0.0337168	0.04167	0.0331587	0.041241	0.0326684	0.0601242	0.0767672	0.0576919	0.0352277	0.0358237	0.0378807	0.0383308	0.0303049	0.0181815	0.0159635	0.0089352	0.0137706	0.012959	0.016591	0.0100572	0.00985698	0.0129638	0.0183388	0.0149577	0.0163037
sac	0.0319772	0.0261819	0.0304401	0.0793941	0.136308	0.120553	0.0234115	0.0534987	0.0237822	0.0163301	0.0220263	0.00683656	0.00261098	0.00478152	0.00514059	0.022416	0.00730668	0.0165707	0.0159162	0.0210019	0.0270756	0.0172098	0.0241793	0.0341745	0.0332493	0.0320867	0.0383768	0.034456	0.0330116	0.0220919	0.019399	0.00720421	0.0110009
qu'	0.134051	0.0841999	0.0386348	0.0232268	0.0116472	0.0198037	0.00866356	0.0139057	0.0107189	0.0142732	0.017551	0.0238218	0.00943254	0.0390215	0.0457104	0.0533817	0.0707526	0.0380727	0.0389201	0.0231026	0.0212221	0.0294414	0.0154647	0.0182522	0.0246529	0.0428188	0.0228928	0.0216736	0.0170791	0.0152878	0.0135384	0.0153426	0.0234425
il	0.0363442	0.0171522	0.0365021	0.138588	0.143289	0.0884373	0.085267	0.0665737	0.0493117	0.0509616	0.0303867	0.0192559	0.00741838	0.0162634	0.0158623	0.0183345	0.0120619	0.00490661	0.0073684	0.0119689	0.00647355	0.0102315	0.010757	0.00923603	0.00768554	0.0102503	0.00811398	0.00624176	0.00876348	0.00779692	0.00995193	0.0145116	0.0337327
a	0.121088	0.0679633	0.090192	0.146342	0.111511	0.0566845	0.0341789	0.0237506	0.0135781	0.0136825	0.00839876	0.0142643	0.0014028	0.0038642	0.00725858	0.0114036	0.0107716	0.0173236	0.026167	0.020322	0.0166201	0.0270741	0.020877	0.0165015	0.00462297	0.00872443	0.00808043	0.0111853	0.0119787	0.0134291	0.0105288	0.0140909	0.0361392
en	0.312904	0.161927	0.0766169	0.0694994	0.0563953	0.0423317	0.0257664	0.0228773	0.012356	0.0107959	0.00780107	0.0156512	0.00188323	0.00283146	0.00423423	0.00761132	0.00755378	0.00924797	0.0056507	0.00222559	0.0031338	0.00222248	0.0031458	0.00398198	0.00233641	0.001882	0.00519903	0.00675784	0.0110034	0.0144576	0.0176477	0.0181604	0.0539106
main	0.202072	0.0722982	0.03008	0.0256965	0.032176	0.0249947	0.015855	0.00905047	0.00571597	0.00386811	0.0058221	0.015285	0.00606925	0.0185615	0.0258738	0.0658385	0.0720006	0.0465782	0.022947	0.00925387	0.00993415	0.00970371	0.0082757	0.0106332	0.00609142	0.00782482	0.00898999	0.00935392	0.0136987	0.0232226	0.037366	0.0496933	0.0951754
est	0.197638	0.0835466	0.0477972	0.0975789	0.0814076	0.0778923	0.0498641	0.038845	0.0230979	0.0166968	0.0215316	0.049695	0.0104612	0.00949344	0.0122445	0.0190357	0.0158069	0.0078006	0.00406223	0.00139335	0.00162919	0.00151914	0.00117421	0.0012267	0.000690021	0.000809922	0.00176995	0.00158434	0.00335709	0.00568148	0.00782233	0.0122936	0.0945536
bleu	0.100221	0.0663823	0.0634776	0.0806471	0.0532375	0.0382504	0.0298179	0.0188622	0.0140599	0.0112374	0.0151202	0.0284199	0.00696431	0.0105458	0.0119301	0.019217	0.0142361	0.0142949	0.0145068	0.00919609	0.00928231	0.00512318	0.0036306	0.00482294	0.00189473	0.00325498	0.0062695	0.00510012	0.00962038	0.0202238	0.0450891	0.0425086	0.222555
foncé	0.183612	0.0760885	0.0426733	0.0309031	0.0364869	0.0438929	0.0386865	0.0315469	0.0201923	0.0151825	0.0205332	0.0190855	0.00844359	0.00800651	0.00922983	0.00969357	0.0102372	0.00960482	0.0103387	0.00492701	0.00845779	0.00730686	0.00476016	0.0108475	0.00376489	0.00824975	0.0153859	0.0186247	0.0268748	0.0359346	0.0456757	0.0685582	0.116194
</S>	0.10131	0.0716054	0.0420831	0.0360069	0.0286935	0.0265376	0.026272	0.0331954	0.022683	0.0183531	0.0179578	0.0213905	0.0190759	0.00846241	0.00534185	0.00510665	0.00615596	0.00967412	0.0113399	0.00568484	0.0100017	0.00660827	0.00790522	0.0162469	0.00602171	0.00680653	0.0293563	0.0190615	0.0379973	0.0554323	0.0660127	0.0700935	0.151526
