 	m	w	á	n	a	á	p	i	i	e	l	ώ	ώ	p	i	i	n	í	</S>
l'	0.0318421	0.0581522	0.0342431	0.020682	0.031176	0.0242946	0.0325996	0.0390116	0.0438673	0.0610925	0.0613629	0.0454822	0.0502618	0.0534267	0.0824794	0.0764975	0.0574729	0.0765516	0.119504
enfant	0.136642	0.15723	0.159873	0.15761	0.118416	0.12534	0.0822274	0.0256077	0.00731019	0.011231	0.00485237	0.00178348	0.0023382	0.00289109	0.00180073	0.0020093	0.00112213	0.00109507	0.000620128
a	0.0276688	0.063254	0.0335169	0.0301694	0.02494	0.0422192	0.0276891	0.0267862	0.0380353	0.0812077	0.0996708	0.0509996	0.0639447	0.0804152	0.058936	0.0610112	0.0881495	0.0675432	0.0338431
attrapé	0.0202462	0.0164668	0.00873312	0.00639779	0.00861942	0.0144722	0.0297074	0.0451398	0.0332255	0.0495011	0.0542654	0.073774	0.0960529	0.111891	0.122729	0.138995	0.0832724	0.0430262	0.0434843
le	0.0965548	0.041274	0.0292734	0.0169282	0.0144988	0.0159744	0.0175543	0.0153259	0.0108822	0.01676	0.0182627	0.0396375	0.043474	0.0766742	0.0579598	0.0894485	0.0930841	0.11225	0.194184
petit	0.0697778	0.0328895	0.021342	0.0105983	0.0111725	0.0140423	0.0147463	0.0138207	0.0242551	0.0698441	0.0660512	0.0598005	0.0609337	0.0679892	0.0724458	0.0752315	0.0673529	0.0934622	0.154244
oiseau	0.0528942	0.0489139	0.0589492	0.0415929	0.024406	0.0245021	0.028498	0.032755	0.031327	0.089348	0.05894	0.0717292	0.0735609	0.0835515	0.0708059	0.0426514	0.0214853	0.06414	0.0799496
de	0.0442427	0.0554462	0.058741	0.0283674	0.0212586	0.0182346	0.0247525	0.0192395	0.0172878	0.11694	0.13238	0.0535254	0.0418915	0.0254806	0.0495727	0.0445495	0.0199531	0.0993914	0.128745
la	0.110251	0.0558721	0.0518975	0.0545709	0.0578022	0.0391115	0.0204516	0.0134566	0.0125641	0.0131661	0.011662	0.0170596	0.0203025	0.0260713	0.0445406	0.106005	0.111682	0.141143	0.0923903
plaine	0.104082	0.0740998	0.0660148	0.0368173	0.0262729	0.0178056	0.0214288	0.0130809	0.011279	0.0287865	0.0549187	0.043306	0.030879	0.0250084	0.0440653	0.0619271	0.0648319	0.128167	0.14723
</S>	0.165142	0.114663	0.0838812	0.0483612	0.0334994	0.0310054	0.0181334	0.0118885	0.0188382	0.0214613	0.0146455	0.0124616	0.0147214	0.0289124	0.0397651	0.0762855	0.069597	0.0990279	0.0977095
