 	é	t	s	í	n	d	z	í	b	á	a	w	a	w	a	á	d	z	e	o	b	v	a	k	a	á	t	s	í	n	a	á	s	i	b	h	i	m	é	b	a	á	</S>
lorsqu'	0.00944913	0.0191202	0.0203947	0.0162005	0.0211517	0.0267598	0.042607	0.0343665	0.0319448	0.0316613	0.0383715	0.051024	0.049077	0.0434405	0.0418231	0.0318253	0.0212605	0.0229922	0.0242655	0.0292942	0.0204075	0.0254085	0.0220516	0.0182341	0.0202681	0.0309605	0.0151724	0.0263688	0.0128773	0.0108717	0.00995003	0.00756002	0.0120919	0.0146026	0.0136012	0.0151005	0.0128879	0.0148687	0.0237625	0.0231338	0.0164061	0.0149424	0.0114428
on	0.0928217	0.0258986	0.0244402	0.0221736	0.0156443	0.0162883	0.00852689	0.00871204	0.00702781	0.0113004	0.0178895	0.0238252	0.0264223	0.028193	0.0254983	0.0296047	0.0469405	0.039369	0.0536072	0.0397338	0.0199312	0.0393677	0.0159685	0.055476	0.0673382	0.0422441	0.0477175	0.0235789	0.0162749	0.0249959	0.00817415	0.00471331	0.00399976	0.00328962	0.00331955	0.00333795	0.00290667	0.00882228	0.0106207	0.0086675	0.00362002	0.0105861	0.0111321
l'	0.035452	0.0165769	0.0118853	0.00947478	0.00732305	0.00814712	0.00846811	0.0181065	0.0171117	0.0218071	0.0170104	0.0203858	0.0320433	0.0156014	0.0444517	0.0469095	0.0400384	0.0418206	0.0518797	0.041338	0.0346448	0.0395555	0.0345131	0.0402804	0.0354011	0.0213583	0.0189938	0.0231148	0.0194232	0.0266429	0.0195518	0.0181731	0.0163961	0.0169855	0.0184857	0.016496	0.014388	0.0124394	0.0182684	0.0120381	0.012972	0.0146783	0.00936837
a	0.0331475	0.0213368	0.01658	0.0170177	0.0190016	0.0196621	0.0174501	0.0157067	0.0223255	0.0184534	0.0230217	0.0334765	0.0303205	0.0214297	0.0107147	0.00515753	0.00844189	0.0175031	0.0371338	0.0237315	0.0369262	0.0266304	0.0373567	0.0465035	0.026934	0.0280544	0.0360083	0.0308829	0.0380236	0.0485559	0.038089	0.0261382	0.0202292	0.0339643	0.028678	0.0168357	0.00657465	0.00674639	0.00512	0.00760653	0.0050331	0.0104643	0.027032
poussé	0.0131101	0.0207646	0.0314262	0.0462996	0.0406384	0.0350536	0.0312678	0.0301797	0.0388456	0.0184189	0.0204604	0.0185362	0.0172822	0.00875215	0.00744044	0.00866394	0.0135954	0.0162062	0.0225602	0.0311126	0.0220267	0.0278681	0.021577	0.0297137	0.0357104	0.0212031	0.0317891	0.0220138	0.0147308	0.032489	0.0153147	0.0202958	0.0136235	0.0178965	0.0150909	0.0280443	0.0141313	0.025979	0.00896288	0.0121441	0.0132383	0.0270364	0.0585065
il	0.0203975	0.0171535	0.0184669	0.0343442	0.0426636	0.0387875	0.0416105	0.0495139	0.0520035	0.0300695	0.0338921	0.0243621	0.0166146	0.00891711	0.00494154	0.00786064	0.0106293	0.0114858	0.0142917	0.013552	0.0165493	0.0195211	0.021217	0.019311	0.028858	0.0192231	0.0203501	0.0218344	0.0173552	0.0218971	0.0250862	0.0280752	0.0212982	0.0273568	0.0127932	0.0215506	0.0174631	0.0198298	0.0126996	0.0183725	0.0151978	0.0257382	0.056865
n'	0.0341636	0.0189233	0.0165502	0.0183516	0.0214199	0.0222906	0.0223815	0.0230413	0.0240668	0.0133607	0.0167971	0.0140751	0.01131	0.00920821	0.00829345	0.0101124	0.0100003	0.0135069	0.0170983	0.0138007	0.0160598	0.0152227	0.0181393	0.022452	0.0261648	0.0205884	0.024166	0.0292808	0.0271683	0.0391875	0.037596	0.0373578	0.0377297	0.0384474	0.0208117	0.0277812	0.0262777	0.0274621	0.0269361	0.0329047	0.0315886	0.0364431	0.0414823
est	0.0467183	0.0230386	0.0191003	0.0255785	0.0333285	0.0329008	0.0288868	0.0298732	0.0655737	0.0252829	0.0742768	0.0323875	0.0230559	0.00895423	0.00736705	0.010619	0.0105867	0.0113526	0.0117426	0.0130355	0.0157195	0.0184596	0.0174389	0.0138289	0.0152907	0.0131321	0.0113272	0.0164625	0.0155661	0.0201799	0.0234397	0.0256007	0.0318936	0.0239112	0.0167681	0.0237069	0.0170569	0.0222625	0.0165217	0.0215567	0.0207195	0.0293255	0.0361719
pas	0.0680101	0.0563497	0.0278871	0.0231332	0.0181908	0.0172859	0.0132039	0.013009	0.0133556	0.00898421	0.024561	0.0253988	0.0243487	0.0133205	0.0148532	0.0258163	0.0251026	0.017492	0.02408	0.0145051	0.0131456	0.0130315	0.0150966	0.0247693	0.0365653	0.0289701	0.0367426	0.0271826	0.0247243	0.0248381	0.0270714	0.0287449	0.0275434	0.0206034	0.0165389	0.0168921	0.0131905	0.0180235	0.0178285	0.0270903	0.0145972	0.028703	0.0292191
tombé	0.0260991	0.0178744	0.0168097	0.017514	0.0115928	0.00643857	0.00442428	0.00384241	0.00331579	0.00267973	0.00330376	0.00325215	0.00328437	0.00270396	0.00363225	0.00457466	0.00624301	0.00898306	0.0119102	0.0412084	0.0249683	0.0424781	0.0187742	0.0571026	0.0612566	0.0521177	0.0634057	0.0394793	0.030682	0.0362874	0.0215293	0.023647	0.0167346	0.0144748	0.010292	0.0166671	0.0250188	0.0292745	0.0326766	0.0451855	0.0432692	0.0456803	0.0493117
parce	0.0341734	0.026579	0.0225018	0.0220472	0.0106397	0.00817532	0.00729113	0.00681412	0.00569458	0.00482047	0.00500454	0.00677257	0.00790203	0.00798891	0.00851281	0.013581	0.0172617	0.0211795	0.022574	0.0338971	0.0275527	0.0318031	0.0278699	0.0354124	0.0383557	0.0354432	0.0403032	0.0374412	0.0398948	0.0408422	0.0317877	0.0357378	0.0295786	0.0139919	0.00721606	0.0152883	0.006373	0.0166706	0.0100467	0.0328637	0.0129213	0.062229	0.0769662
qu'	0.0960051	0.0427692	0.0396437	0.0237608	0.0196981	0.0167352	0.0140331	0.0156795	0.012497	0.00717772	0.00702194	0.00399759	0.00270748	0.00190538	0.00172738	0.00192421	0.00223367	0.00258959	0.00355531	0.010531	0.00941977	0.0139111	0.00994199	0.0232451	0.0302212	0.0251575	0.0376895	0.0340979	0.0274884	0.0350646	0.0314123	0.0389757	0.0339528	0.037546	0.0485086	0.0375912	0.0226654	0.019368	0.0229388	0.0269662	0.0241605	0.0272599	0.0562243
il	0.12932	0.0526036	0.0434679	0.0313964	0.0254137	0.0172421	0.0146104	0.013316	0.0118701	0.00654351	0.00809719	0.00413954	0.00257864	0.00187425	0.00187294	0.00220465	0.00273173	0.00338414	0.00598089	0.00759343	0.0094671	0.00924856	0.0112862	0.0188702	0.020493	0.0168801	0.0245116	0.0197766	0.0178289	0.038479	0.0283386	0.0508082	0.0299486	0.0572347	0.0750486	0.0505468	0.0168271	0.0227617	0.00981954	0.0109239	0.0109373	0.0168988	0.0468238
s'	0.178165	0.0513066	0.0295353	0.0217905	0.0221243	0.0176605	0.0116381	0.0105844	0.011627	0.0103397	0.0113513	0.00520211	0.00503453	0.00494397	0.00279705	0.00352934	0.00538165	0.00762168	0.0118521	0.0112504	0.0173808	0.012414	0.0219033	0.0292419	0.0327992	0.0249415	0.0317869	0.0275642	0.025004	0.0422967	0.023236	0.0288033	0.0195179	0.0125548	0.0136082	0.0203247	0.0118321	0.0233712	0.0076592	0.0165147	0.0166696	0.0256347	0.0812056
est	0.239604	0.0501146	0.0222982	0.0117568	0.0097023	0.00879427	0.00827991	0.0096632	0.0108885	0.0112496	0.0245219	0.0136505	0.0108454	0.010105	0.00354785	0.00403239	0.00789022	0.00769544	0.0140705	0.0265606	0.0350621	0.0233274	0.0231405	0.0318563	0.0372698	0.021405	0.037055	0.0278412	0.0273067	0.0292509	0.014725	0.0133904	0.0142917	0.0118857	0.0117787	0.0105074	0.00501922	0.00849698	0.00412634	0.0153166	0.00736897	0.0269812	0.0573261
appuyé	0.152785	0.0493389	0.0303015	0.0130836	0.00783955	0.0052371	0.00423026	0.00453895	0.00602371	0.0054487	0.00973595	0.0109728	0.00858339	0.0104129	0.0038771	0.00496359	0.00721979	0.00727597	0.0115811	0.0205358	0.0216698	0.0179655	0.0160839	0.0304436	0.0385374	0.0202397	0.0369933	0.0381357	0.0294457	0.0521098	0.0151177	0.0219932	0.0109702	0.00758098	0.00471527	0.0108161	0.0064927	0.0114959	0.00530731	0.0184214	0.0114524	0.0477952	0.152231
contre	0.0526445	0.0332059	0.0273926	0.0145494	0.0153205	0.0206766	0.0183468	0.0230341	0.0245382	0.0203523	0.0167956	0.0147328	0.012021	0.00984979	0.00687059	0.00646142	0.0065511	0.00640929	0.0138936	0.0153032	0.0118754	0.016425	0.0118272	0.0275148	0.0306222	0.0233642	0.0372031	0.0321501	0.0295603	0.0426795	0.0357187	0.046247	0.0435357	0.025902	0.030559	0.0250091	0.0178619	0.0184642	0.0190426	0.015611	0.0180414	0.025543	0.0562934
le	0.131839	0.0395943	0.0322632	0.0284903	0.0259196	0.0192675	0.0167317	0.0151513	0.0118578	0.00756695	0.0152576	0.0139813	0.011015	0.0110315	0.00544258	0.00470605	0.00434986	0.00405895	0.00584934	0.0108735	0.0161996	0.0137866	0.0115832	0.0185149	0.0195162	0.0140213	0.0208619	0.02956	0.0247098	0.0413435	0.0310431	0.04781	0.0467928	0.0445554	0.0308105	0.0235098	0.0107723	0.0144656	0.00928483	0.0110649	0.0128223	0.0199241	0.0718003
mur	0.0334803	0.0226088	0.0137586	0.0109655	0.00490149	0.00343837	0.00318571	0.00322576	0.00388685	0.00387908	0.00711357	0.0155021	0.0144349	0.0154197	0.00983757	0.00873894	0.00954541	0.00533065	0.00692692	0.0116868	0.0142106	0.015728	0.0138211	0.021303	0.0284931	0.0200468	0.0385159	0.0631723	0.0628803	0.0551631	0.0366799	0.0455954	0.0364796	0.0218604	0.00763159	0.0106696	0.00636153	0.011263	0.0071953	0.0382005	0.0210091	0.0704035	0.145449
</S>	0.0558985	0.0435084	0.053491	0.055184	0.04388	0.0381018	0.0336001	0.0307754	0.0203486	0.0135295	0.00798518	0.00638305	0.00552689	0.00600422	0.00512778	0.00478993	0.00495915	0.00479359	0.00568435	0.00537534	0.00650008	0.00621605	0.00730398	0.00756845	0.00855611	0.00929726	0.0126823	0.0165236	0.0177076	0.020306	0.0199315	0.0314793	0.0332434	0.0338405	0.0369345	0.0260334	0.0147238	0.022045	0.0245744	0.033966	0.0288218	0.0469631	0.0898352
