 	b	á	a	á	b	o	m	i	o	p	é	p	e	n	g	á	m	b	í	m	w	á	n	a	y	a	n	d	z	á	a	</S>
ils	0.110993	0.210263	0.184737	0.12059	0.0457758	0.0388418	0.0102043	0.0118256	0.0112273	0.0145524	0.00726325	0.0130035	0.0117748	0.0115332	0.0148331	0.0145096	0.012953	0.00951363	0.0125414	0.00882533	0.00593734	0.00750487	0.0121167	0.00828985	0.015763	0.0138557	0.0128355	0.0124558	0.00954393	0.011749	0.00629023	0.00789635
ont	0.0907885	0.0903132	0.0622775	0.0777314	0.0500031	0.057554	0.111867	0.0567023	0.0459753	0.026261	0.0203561	0.0137304	0.0100089	0.007878	0.00606326	0.00670595	0.00792395	0.00911452	0.0137075	0.0120892	0.00743791	0.00805687	0.018549	0.0246192	0.0215928	0.0282228	0.0255296	0.0384658	0.0175944	0.00973385	0.0189399	0.00420727
tué	0.0284247	0.0158785	0.0174006	0.0232691	0.0414477	0.0258318	0.0271127	0.0203465	0.0155756	0.0138453	0.0159279	0.0193598	0.0259699	0.0642274	0.0810321	0.126348	0.0479276	0.0439336	0.0369353	0.0237958	0.0170786	0.0191053	0.0186266	0.0218704	0.029601	0.0348499	0.0309888	0.0379981	0.020424	0.0204332	0.0163003	0.0181341
opepenga	0.0303747	0.0392212	0.0188741	0.0148653	0.0181365	0.0176168	0.01842	0.0183724	0.0224674	0.0211849	0.0205484	0.0204287	0.0219925	0.0219288	0.0260253	0.0265409	0.0354692	0.0508723	0.0489216	0.072168	0.040447	0.0438446	0.0503326	0.0546791	0.0415706	0.0377466	0.0236981	0.0303239	0.0236328	0.0189511	0.0306525	0.0396922
c'	0.0365933	0.0164639	0.00889043	0.00806149	0.0117904	0.0174023	0.0271552	0.0297272	0.0303759	0.0299565	0.0306194	0.0298157	0.0312283	0.0318006	0.0350341	0.033265	0.0376505	0.0433012	0.0440531	0.0425847	0.0413533	0.0282923	0.0248136	0.0294765	0.0307079	0.0231993	0.0228511	0.0331129	0.0358412	0.0325259	0.0516649	0.0703917
est-à-dire	0.048279	0.0190395	0.00970104	0.00682211	0.0145333	0.01682	0.0331488	0.0425117	0.0476238	0.043885	0.0539126	0.0521767	0.0649309	0.0647941	0.0440463	0.059713	0.0266455	0.0454254	0.0145331	0.0120415	0.00827259	0.0108813	0.0154371	0.0157607	0.0174533	0.0258745	0.0214447	0.0218026	0.0299109	0.0314533	0.0252171	0.0559086
le	0.0383062	0.0201545	0.0113767	0.0105345	0.0127561	0.0202666	0.0229621	0.0238897	0.0249983	0.0242246	0.027013	0.0272955	0.0296591	0.0292806	0.026317	0.0341402	0.0278042	0.0430225	0.0333872	0.044032	0.0306687	0.0254505	0.0248825	0.0304357	0.0319967	0.0294389	0.0325551	0.038309	0.044229	0.0516599	0.0525025	0.0764505
petit	0.0224897	0.020041	0.0121953	0.0186251	0.0201466	0.0275431	0.0194161	0.030669	0.0326352	0.0249488	0.0199731	0.0163677	0.0176522	0.0211809	0.0194303	0.0251036	0.0240239	0.0268796	0.0284558	0.0537638	0.0325089	0.0259119	0.0296355	0.0265605	0.0304133	0.0241164	0.0272437	0.0434638	0.0673543	0.0222194	0.0685393	0.120492
du	0.0177909	0.0144235	0.0152565	0.0248454	0.0375039	0.0331681	0.0261243	0.0293218	0.0251533	0.0217024	0.0198107	0.0160567	0.0186213	0.0165651	0.0240747	0.01546	0.0174393	0.0215297	0.0226307	0.0342952	0.0208423	0.0276003	0.047144	0.0388267	0.0316805	0.0288359	0.0290387	0.0321277	0.0566568	0.0280317	0.047362	0.16008
buffle	0.0420109	0.0314928	0.0366112	0.0406504	0.0354643	0.0298046	0.0305771	0.0264545	0.0234564	0.020158	0.0203503	0.015739	0.0164872	0.0132981	0.0168272	0.0156731	0.0158179	0.0123005	0.00923108	0.0171469	0.0087787	0.010484	0.014252	0.0163959	0.0186035	0.0194042	0.024295	0.0458273	0.078595	0.0207082	0.0745778	0.198527
</S>	0.0185368	0.0228753	0.026629	0.0370732	0.0310187	0.0283073	0.0240273	0.0242022	0.0177513	0.0146392	0.00996093	0.00881222	0.00868119	0.00694624	0.00889171	0.0076937	0.0123064	0.0139744	0.0111766	0.0288997	0.027496	0.0243203	0.0493091	0.0590173	0.0469864	0.0463362	0.0502096	0.0478622	0.0684859	0.0344031	0.0787684	0.104402
