 	b	o	l	a	ó	p	έ	ε	n	g	á	y	a	á	s	w	é	</S>
ma	0.0301462	0.0105711	0.00949671	0.0137157	0.0317892	0.0888392	0.0550722	0.0795191	0.0754006	0.087312	0.0581277	0.0467747	0.0724078	0.0764928	0.0654937	0.0636353	0.0827339	0.0524723
soeur	0.0839253	0.187174	0.168725	0.153632	0.0759791	0.0682009	0.0539349	0.0605655	0.0335138	0.035048	0.0265205	0.0106204	0.0101745	0.0116114	0.00636317	0.0055905	0.00653701	0.00188374
m'	0.0539905	0.0367878	0.0512383	0.0448606	0.0360235	0.0325287	0.0504802	0.0899295	0.0717722	0.0712845	0.07058	0.0737758	0.0706151	0.0371341	0.0909541	0.0520007	0.0379628	0.0280815
a	0.0898557	0.0955391	0.103506	0.105881	0.0725821	0.030543	0.03513	0.0210631	0.0235381	0.0263495	0.0311968	0.0386749	0.0327268	0.086332	0.0329258	0.0419954	0.0681349	0.0640257
donné	0.0574305	0.0422179	0.0596418	0.077072	0.0681683	0.052388	0.0480205	0.0377071	0.038657	0.0356812	0.0259811	0.0367797	0.0467185	0.0534964	0.0580742	0.0768824	0.0793387	0.105745
un	0.127104	0.108541	0.1034	0.0872094	0.0498472	0.0386441	0.0305494	0.0202484	0.0212194	0.0213478	0.0194138	0.0232871	0.0142942	0.0244327	0.0255167	0.0335046	0.043972	0.207468
peu	0.0581964	0.0472588	0.0650493	0.0827551	0.0764822	0.0507479	0.0375959	0.0228786	0.0268228	0.0116265	0.0153745	0.0232668	0.0245302	0.0312455	0.0584838	0.0735679	0.122852	0.171266
de	0.0569434	0.0465341	0.0503509	0.048697	0.0402858	0.0365059	0.0233238	0.00946425	0.0113707	0.00820207	0.00967252	0.0223486	0.0223441	0.0475579	0.0831682	0.0888814	0.141625	0.252724
poisson	0.0748891	0.0702065	0.0671891	0.0651089	0.0586977	0.0331417	0.0235437	0.0150189	0.0215754	0.0116191	0.0148261	0.0163783	0.0184806	0.0332871	0.0328259	0.0443329	0.170583	0.228296
</S>	0.0955585	0.0776539	0.078097	0.0743345	0.06059	0.0362544	0.0286059	0.0193664	0.0213521	0.0167418	0.0131801	0.017053	0.0186081	0.0257478	0.0626009	0.0590807	0.0951789	0.199996
