 	w	a	a	d	í	m	o	r	o	y	o	b	v	έ	s	á	b	a	r	e	b	á	á	y	é	b	h	á	n	g	á	á	t	s	ω	</S>
c'	0.320058	0.184334	0.0629332	0.047678	0.0376725	0.0352713	0.0242494	0.0126793	0.011984	0.00835322	0.0397805	0.052302	0.0289056	0.00572059	0.00332218	0.00318643	0.00377741	0.00341179	0.0059038	0.00621911	0.00503106	0.00601345	0.00456736	0.00393997	0.00545406	0.00687782	0.00484997	0.00861	0.00766827	0.00405446	0.00625046	0.00774624	0.00721084	0.00776406	0.00890556	0.00731461
est	0.102023	0.0708358	0.0660095	0.0972884	0.338595	0.0955839	0.0772166	0.0196105	0.0204787	0.0199334	0.0187941	0.00805175	0.00620617	0.0075131	0.00443385	0.0062902	0.00653903	0.00463737	0.00231281	0.00204995	0.00222077	0.00333985	0.00255977	0.00217811	0.00271474	0.00127872	0.001458	0.00128786	0.0012441	0.000864867	0.000766445	0.000801133	0.000641555	0.00127819	0.00126456	0.00169877
un	0.0309391	0.0228837	0.0274539	0.0455001	0.0658905	0.0942646	0.0369733	0.0532943	0.0665213	0.0497006	0.043558	0.0304563	0.0350501	0.0484714	0.0367593	0.0205026	0.0171011	0.0211439	0.0146533	0.0152529	0.0148716	0.0123383	0.0123622	0.0088001	0.0135371	0.0107812	0.00834536	0.0090422	0.00890183	0.007714	0.0133251	0.010805	0.0197238	0.0233129	0.0277741	0.0219949
homme	0.0307794	0.0294203	0.035169	0.0498327	0.0625735	0.0611106	0.133501	0.136573	0.124382	0.0623008	0.0444539	0.0173861	0.0210974	0.0172439	0.0130036	0.00775389	0.00768053	0.00260766	0.00688073	0.00772307	0.0094026	0.0105828	0.00443169	0.00524147	0.00502387	0.00743892	0.00795466	0.00915872	0.00756215	0.00398111	0.00744681	0.00356429	0.00544582	0.00947816	0.0105486	0.021265
de	0.0433479	0.0382443	0.0251179	0.0132187	0.0244031	0.0157743	0.0177007	0.0335411	0.0291155	0.0284785	0.0201393	0.0188491	0.0142436	0.0184739	0.0207668	0.0237922	0.0358134	0.0278845	0.0511691	0.0444712	0.0708667	0.0555672	0.0442061	0.0255311	0.0224589	0.0120104	0.0288901	0.0179514	0.0110619	0.00960409	0.0119239	0.00622113	0.01133	0.022385	0.0393846	0.0660624
bonne	0.00599809	0.0058963	0.00648375	0.00843611	0.00941279	0.00747171	0.00894012	0.0146528	0.0123416	0.0140564	0.0134729	0.0169034	0.0333636	0.0351915	0.0469538	0.0321741	0.0550594	0.0270436	0.05153	0.0408661	0.0622036	0.0638815	0.0419007	0.0226372	0.0338207	0.0275819	0.035679	0.0239782	0.0173487	0.0142456	0.0178854	0.0124195	0.021134	0.0347622	0.0465781	0.077696
conduite	0.01277	0.0164981	0.022903	0.0243253	0.0310024	0.0113329	0.0194602	0.0226845	0.0211845	0.0263822	0.019114	0.02261	0.0297459	0.0347438	0.0394974	0.0287641	0.0364664	0.0261978	0.0290921	0.0208652	0.0308153	0.0312047	0.0294209	0.0200949	0.0259801	0.0258322	0.0325375	0.0234567	0.0196064	0.0173277	0.0233196	0.0227945	0.0299087	0.0412209	0.0450249	0.0858153
parmi	0.0247444	0.0204952	0.0173759	0.0137482	0.00922151	0.0110293	0.0160011	0.0209794	0.0111891	0.0117268	0.0185303	0.0188062	0.0203808	0.0243847	0.0302239	0.0279312	0.0499529	0.0422593	0.0271471	0.0214049	0.0327042	0.0260452	0.0458356	0.0240937	0.0256643	0.0279609	0.0337938	0.0273144	0.0260611	0.0262415	0.031955	0.0267257	0.0411295	0.0497218	0.0523307	0.0648905
tous	0.0166634	0.0100728	0.0173198	0.0223388	0.0164075	0.00370648	0.0034937	0.00552167	0.00690782	0.0124278	0.0150998	0.0173522	0.0179242	0.0248024	0.030426	0.0313562	0.0551837	0.0691385	0.0430459	0.0517813	0.0497848	0.0425009	0.0562125	0.0273365	0.0214178	0.0253282	0.0264866	0.0282257	0.0255078	0.023912	0.0235625	0.0270163	0.0337731	0.0348892	0.0376543	0.0454218
les	0.012429	0.0108855	0.0116378	0.0143069	0.0108823	0.0039337	0.0044235	0.0083779	0.0089314	0.0158081	0.0200903	0.0269351	0.0244527	0.0311005	0.0353391	0.0310744	0.0534388	0.0482889	0.0268016	0.0406019	0.0308601	0.0265183	0.0416759	0.0169297	0.0178721	0.0307978	0.032965	0.039178	0.0263431	0.0234897	0.0261	0.0258778	0.0383968	0.0522012	0.0567959	0.0742594
hommes	0.0225306	0.0163614	0.0196008	0.0168428	0.0104504	0.00393711	0.00744825	0.012734	0.0131079	0.0211119	0.026177	0.0324784	0.0189205	0.0269445	0.0340388	0.0323618	0.0341029	0.0265504	0.0262992	0.0316023	0.0197045	0.0176539	0.020037	0.00941246	0.0131893	0.0297893	0.0458241	0.0542509	0.0266213	0.0252324	0.0252787	0.0305663	0.0335427	0.0485167	0.0717437	0.0950357
que	0.0128846	0.0104964	0.00750776	0.0156477	0.00588036	0.00425228	0.00300612	0.00348963	0.0034144	0.00607457	0.00697215	0.00863111	0.011224	0.0283021	0.0321984	0.0308339	0.0292443	0.0364156	0.049957	0.0424541	0.0502817	0.0442345	0.0422392	0.0385106	0.0232202	0.0409028	0.0435196	0.0450352	0.0384942	0.047542	0.0496481	0.0346814	0.0432258	0.0365888	0.0367116	0.0362781
je	0.0160368	0.017078	0.0182756	0.0205634	0.0140296	0.0113135	0.00513334	0.00582208	0.0107009	0.0127065	0.0136569	0.0139804	0.0118393	0.0117786	0.0216594	0.0300563	0.0322836	0.0320332	0.0329732	0.0298136	0.0297046	0.0252703	0.0315187	0.0341344	0.030103	0.0371229	0.0391156	0.0352656	0.0418705	0.0446839	0.0391612	0.0555252	0.0489597	0.0398235	0.0517157	0.054291
connais	0.0116178	0.0130534	0.0120496	0.0110383	0.0107029	0.010718	0.00942489	0.0111215	0.0108402	0.0124768	0.0127404	0.0114517	0.0144535	0.0122953	0.0148389	0.0224244	0.0397059	0.0497118	0.0355201	0.0302786	0.0493803	0.038331	0.0572109	0.050463	0.0480408	0.0314077	0.0314731	0.0269439	0.0321224	0.0402836	0.0375596	0.04133	0.0394556	0.0391401	0.038835	0.0415587
</S>	0.0215435	0.0247642	0.0246177	0.0194932	0.0173738	0.011868	0.00725361	0.00937989	0.018398	0.0241563	0.0259944	0.0215367	0.0264329	0.0150168	0.0200332	0.0264029	0.0331975	0.0383355	0.0366244	0.0355777	0.0321942	0.0263765	0.0278859	0.0308451	0.0269435	0.0199116	0.0193118	0.0182925	0.0271231	0.0244638	0.0228837	0.0386681	0.0452852	0.0404582	0.0488195	0.0925371
