 	o	n	d	i	e	m	ó	ó	n	ω	í	m	b	v	ú	á	i	b	h	έ	b	h	ε	l	i	i	d	z	e	b	í	i	k	y	a	</S>
pendant	0.0109183	0.0141431	0.0127856	0.0118093	0.00963379	0.00982448	0.0139839	0.0155362	0.0167096	0.0519947	0.0517522	0.107681	0.0600674	0.0551783	0.0546494	0.0321648	0.0226076	0.0299191	0.0228142	0.0196994	0.0178341	0.0143512	0.0137806	0.0145317	0.0129731	0.0149209	0.0165399	0.0143586	0.012735	0.019326	0.0361171	0.0357759	0.0478518	0.0349921	0.0356554	0.0343846
la	0.0161508	0.0186173	0.0145271	0.0125488	0.0108388	0.00872251	0.0102626	0.00832996	0.0135713	0.0141484	0.0386007	0.0409957	0.0696273	0.0777364	0.0940681	0.100553	0.0314845	0.0528403	0.0377297	0.0475815	0.0442195	0.021812	0.0332847	0.0302947	0.0407018	0.0213313	0.0154818	0.0181589	0.015329	0.00394345	0.00486682	0.00412202	0.00661122	0.00318683	0.00511986	0.0126015
pluie	0.013109	0.0118361	0.016088	0.0139903	0.0144131	0.01623	0.0136767	0.0198871	0.0201232	0.016042	0.0243571	0.0217289	0.0197045	0.0140279	0.0129292	0.0193763	0.0128768	0.029804	0.0689467	0.0677346	0.0657421	0.0577412	0.047246	0.0427755	0.0215646	0.0317	0.0441781	0.0383738	0.023871	0.0260335	0.0237998	0.0272822	0.0263375	0.0236253	0.0210205	0.0318275
il	0.0343246	0.0405772	0.0408359	0.0341249	0.0313165	0.0466046	0.0330506	0.0664884	0.0672932	0.0480778	0.0605572	0.0606772	0.0627163	0.0418036	0.0323738	0.0376674	0.0288228	0.0182536	0.0136714	0.0115227	0.0120968	0.0129661	0.0125549	0.0124612	0.0117389	0.0114204	0.00997556	0.00757321	0.00585619	0.00490422	0.00638476	0.00677405	0.00806823	0.0146664	0.0179065	0.0338926
y	0.0157742	0.0212041	0.0289728	0.0243895	0.0346445	0.0385509	0.0302817	0.0347645	0.0369051	0.0168764	0.0151727	0.0181873	0.0132122	0.0172039	0.0159753	0.0250665	0.0357208	0.0249308	0.0212893	0.0225452	0.022668	0.0286707	0.0270807	0.0240463	0.0242709	0.0235828	0.0231434	0.02528	0.0207686	0.0242905	0.0390777	0.0320003	0.0338429	0.0399504	0.0523448	0.0673142
a	0.0335266	0.0358983	0.0333872	0.031039	0.0330126	0.0335972	0.0351305	0.0416711	0.04728	0.0289525	0.0226508	0.0267075	0.0251905	0.0256814	0.0218202	0.0286139	0.0408151	0.0382838	0.0313095	0.0299704	0.0265572	0.0265826	0.0244503	0.0271838	0.0232909	0.0201017	0.0174027	0.0184424	0.0161248	0.0130954	0.0167899	0.0151922	0.016036	0.0213451	0.0294819	0.0433848
eu	0.0410691	0.0321926	0.0278208	0.0266576	0.0239693	0.0230307	0.0168625	0.0180848	0.0153374	0.00869314	0.0106742	0.0145158	0.0147992	0.0169274	0.0176505	0.020733	0.0254074	0.0327392	0.0336495	0.0386824	0.032234	0.0295018	0.0289821	0.0289138	0.0264963	0.0225867	0.0228914	0.0267074	0.0238292	0.0220849	0.0314678	0.0285883	0.0383961	0.0459458	0.054603	0.0772747
des	0.0333629	0.0252642	0.0197907	0.0230959	0.0220765	0.0230833	0.0180011	0.0186034	0.0140879	0.0123205	0.01233	0.0173556	0.0116768	0.0133418	0.0152119	0.0183296	0.027982	0.0315807	0.0288117	0.0354329	0.0365118	0.0422416	0.0417547	0.0568554	0.0466956	0.0388955	0.038276	0.030184	0.0326182	0.0197109	0.0237144	0.0203895	0.027977	0.0304892	0.0395535	0.052393
éclairs	0.0614443	0.0314635	0.0184136	0.0147698	0.00894008	0.00579052	0.00431848	0.00666047	0.00592668	0.00510959	0.00478038	0.00830661	0.0128223	0.0106278	0.013253	0.015197	0.022565	0.0356374	0.0235203	0.0252899	0.0289501	0.0270352	0.0443753	0.0464419	0.0442953	0.0347126	0.0266982	0.0303536	0.0295506	0.023623	0.042796	0.0351506	0.045801	0.0504307	0.0620716	0.0928772
</S>	0.0285949	0.020022	0.0207761	0.0211794	0.0172011	0.0183328	0.02241	0.0327807	0.0309193	0.030979	0.0346144	0.0398045	0.0296942	0.0232682	0.0220548	0.0295731	0.0375757	0.0353219	0.0274213	0.0219355	0.0235113	0.0281401	0.0270199	0.0312354	0.0410209	0.0281059	0.03084	0.0139767	0.0154624	0.0163575	0.0196642	0.0206231	0.022612	0.0359479	0.03727	0.0637536
