 	w	a	l	á	a	s	i	á	t	s	a	n	g	í	s	á	k	ú	b	h	á	y	á	w	a	y	á	n	g	ω	n	g	ω	y	á	n	d	é	e	</S>
elle	0.0524677	0.11216	0.0922158	0.393551	0.243332	0.0498516	0.00483121	0.00251828	0.000894948	0.00046987	0.000971081	0.000722325	0.00104376	0.000928251	0.00139036	0.0016152	0.00176376	0.00204474	0.00227741	0.00275312	0.00208997	0.00252219	0.0020421	0.000875637	0.00122741	0.00165286	0.00181464	0.00154485	0.00164964	0.00169525	0.00171651	0.00202163	0.00163533	0.00182306	0.00163943	0.00152014	0.00144262	0.00138346	0.00111868	0.000781943
cultive	0.00686074	0.0040686	0.00675186	0.00365225	0.00488369	0.0173724	0.0224547	0.03651	0.0388586	0.060926	0.0780341	0.076799	0.0591703	0.0747123	0.0605963	0.053335	0.0459452	0.0371689	0.0404028	0.0364876	0.0184839	0.0318224	0.00857115	0.0052289	0.0250667	0.0170787	0.0146093	0.0142372	0.0101871	0.00651681	0.00981908	0.0168725	0.0106252	0.00672652	0.00428317	0.00445602	0.00675659	0.00768453	0.0072494	0.00873434
les	0.00802541	0.0115413	0.0115059	0.0193302	0.0249244	0.0142288	0.026941	0.034084	0.0330886	0.0184223	0.0307832	0.031966	0.0340623	0.0170915	0.0279538	0.0386504	0.0225959	0.0294628	0.0407752	0.0412924	0.0268102	0.0405662	0.0417342	0.0125044	0.0457516	0.0388087	0.030504	0.033907	0.0282442	0.00987288	0.028049	0.0213726	0.0141142	0.00977001	0.0150767	0.0128437	0.00980015	0.0142034	0.0290275	0.0203137
aubergine	0.00299711	0.00319266	0.00328094	0.00336699	0.00346168	0.00289776	0.0036718	0.0058077	0.00945199	0.0130444	0.00711545	0.00682816	0.0111421	0.0122733	0.0143143	0.0123254	0.0138588	0.0139435	0.0154634	0.0144262	0.0189067	0.0192603	0.0276198	0.0462336	0.0470622	0.0498585	0.0567206	0.0457046	0.0786742	0.0392768	0.0711305	0.0419133	0.0564029	0.0627427	0.0314041	0.0335726	0.024827	0.0252914	0.0245375	0.0259972
dans	0.00558241	0.0068196	0.00808986	0.00587719	0.0046849	0.00485439	0.00568821	0.0157818	0.019945	0.0287328	0.0295234	0.0258928	0.0331534	0.0438076	0.0485881	0.0440226	0.048121	0.0479408	0.043249	0.0439125	0.0455128	0.0328827	0.0251778	0.00795165	0.0120665	0.0134252	0.00820135	0.00977698	0.00708654	0.00397228	0.00866621	0.00868641	0.0165822	0.0071759	0.0133749	0.020728	0.0270539	0.0347113	0.0616345	0.121066
son	0.0293486	0.033339	0.0288393	0.0223256	0.0320129	0.0271096	0.0111475	0.0193748	0.0189953	0.0254663	0.0290245	0.0259202	0.0322427	0.0342341	0.0336889	0.0297652	0.0382755	0.0416068	0.0372265	0.0417529	0.0421054	0.0227624	0.0173085	0.00811371	0.0241571	0.0135054	0.0204064	0.018238	0.00987419	0.00574231	0.0095355	0.0189444	0.0135509	0.0080854	0.0136716	0.0174383	0.0237147	0.0233387	0.0353089	0.062502
jardin	0.0104335	0.0157672	0.0200055	0.0118764	0.00915406	0.00885413	0.00922175	0.00973835	0.00986981	0.0107694	0.0113336	0.0103711	0.0117374	0.0156613	0.0179066	0.0146118	0.0162898	0.0156659	0.0139499	0.0157375	0.0249581	0.013709	0.0138516	0.0194664	0.0198203	0.0235449	0.0230476	0.0269631	0.0252851	0.0317151	0.0201985	0.0402219	0.044573	0.0648891	0.0573725	0.0515117	0.0638169	0.0478042	0.0635385	0.0647577
de	0.00676573	0.00527706	0.00543989	0.0065399	0.00947383	0.00843833	0.00974054	0.0111664	0.0122326	0.0145835	0.0150707	0.0126303	0.0154524	0.0209413	0.0235822	0.0206388	0.0257016	0.0232011	0.0197929	0.0163499	0.019017	0.0212993	0.0160464	0.0171077	0.017677	0.0214064	0.0180484	0.0215807	0.017797	0.0201613	0.0184353	0.0146199	0.0188152	0.0179381	0.0269626	0.0578144	0.0548971	0.0742642	0.114504	0.128589
case	0.0102606	0.0106951	0.0101964	0.0105678	0.0105187	0.00958988	0.00710095	0.00535792	0.00413561	0.0048924	0.00435623	0.00463968	0.00512859	0.00732803	0.00644795	0.00741375	0.00939667	0.00715339	0.0103348	0.00652204	0.00895849	0.0082135	0.00932376	0.0246259	0.0224075	0.0301477	0.0308041	0.0396917	0.0313783	0.0467508	0.0394356	0.0502728	0.0445023	0.0437154	0.0442274	0.0714558	0.0676962	0.075627	0.0778807	0.0808487
</S>	0.00905177	0.008725	0.00908269	0.00891204	0.0165244	0.0217477	0.0205921	0.0174076	0.0122554	0.0148547	0.0166841	0.0170811	0.0196536	0.0202131	0.020564	0.0182041	0.0164105	0.0129059	0.0126116	0.0139889	0.0115585	0.0144214	0.0112846	0.0105186	0.0101776	0.0171567	0.0112465	0.018275	0.0149676	0.025285	0.0200427	0.0186924	0.0230587	0.0238138	0.0284168	0.0707451	0.0354857	0.0896564	0.0932183	0.144508
