 	m	w	á	s	í	á	p	i	i	o	l	ó	m	i	m	í	n	y	u	n	g	u	m	ó	d	i	n	g	i	</S>
la	0.00664809	0.0179814	0.0157358	0.0114778	0.0040231	0.00722992	0.0149442	0.0328762	0.0583217	0.091535	0.101855	0.0821847	0.0739401	0.0510657	0.0485195	0.0312829	0.027609	0.0217707	0.0166203	0.0202123	0.0221088	0.0205591	0.0232053	0.0247023	0.0249615	0.0294034	0.0334515	0.029808	0.0236421	0.032324
femme	0.0639185	0.125417	0.208867	0.173476	0.131997	0.0367119	0.039559	0.0061049	0.0116752	0.00548917	0.00643282	0.00755369	0.0136862	0.00863228	0.00829957	0.00623725	0.00615527	0.00951202	0.00821153	0.006128	0.0128447	0.0141622	0.0192482	0.0144766	0.0138679	0.020779	0.00857992	0.00701614	0.00390112	0.00105972
a	0.0124413	0.0289832	0.0198894	0.013655	0.0257156	0.0362685	0.0405141	0.0261044	0.0330217	0.0391331	0.0332078	0.0510166	0.0405588	0.0540147	0.0404421	0.0581177	0.0348766	0.0549094	0.0358628	0.0505536	0.035095	0.0598029	0.0378227	0.0253336	0.0291611	0.0220437	0.0126821	0.0194711	0.0211774	0.008124
tenu	0.0264102	0.0146495	0.0130383	0.0107758	0.00856174	0.00988487	0.0163585	0.0190153	0.0347637	0.0563971	0.0338382	0.0625746	0.0391646	0.0614252	0.0344408	0.0197643	0.035892	0.0383139	0.0365838	0.0335714	0.0341544	0.0453314	0.0417843	0.0410771	0.039327	0.0361404	0.0431097	0.0337325	0.0356614	0.044258
son	0.0686319	0.0333555	0.0290277	0.0285471	0.0225069	0.0187826	0.0171036	0.0115731	0.0167068	0.0147041	0.0140075	0.021711	0.0198028	0.0214717	0.0227578	0.0187359	0.0228394	0.0239638	0.027823	0.0325434	0.0403252	0.0454873	0.0478198	0.0600409	0.0535687	0.0526803	0.0537661	0.0517268	0.0461777	0.0618116
mari	0.0287987	0.023188	0.0228145	0.0191182	0.029241	0.0251576	0.0232035	0.0429648	0.0309344	0.0375669	0.0341982	0.0286624	0.0301257	0.02854	0.0324209	0.0333151	0.0379455	0.0450079	0.0440466	0.0481705	0.040844	0.0488003	0.0338132	0.026953	0.0311716	0.0576347	0.0275528	0.0280239	0.0241716	0.0356144
à	0.0295796	0.0232391	0.0116761	0.0111813	0.0152884	0.0136218	0.0125395	0.0244944	0.0156108	0.0208291	0.0221795	0.0294233	0.0319983	0.034678	0.0348195	0.0463253	0.0373609	0.0758349	0.0503478	0.0688625	0.0417028	0.0565334	0.0354216	0.0369675	0.04284	0.0820426	0.0256722	0.0208252	0.0265611	0.0215437
la	0.0477841	0.040619	0.0165092	0.0226754	0.0169686	0.0152027	0.0191158	0.0136366	0.0128817	0.0156495	0.0136061	0.018422	0.0131279	0.0168061	0.016101	0.0248429	0.0189594	0.0403339	0.0240105	0.0408309	0.0412323	0.0534979	0.0595954	0.041778	0.0743542	0.0792892	0.0433581	0.0566313	0.0507855	0.0513947
hanche	0.031869	0.0234744	0.0127895	0.0142506	0.00886678	0.0113115	0.00757933	0.0114925	0.0247412	0.0317564	0.0252287	0.0619859	0.0413202	0.0289424	0.0253087	0.0323106	0.0226854	0.030515	0.020345	0.0319081	0.0241931	0.0315716	0.0456514	0.0341211	0.0399269	0.0498583	0.0650693	0.0709208	0.0680367	0.0719697
par	0.0912798	0.105716	0.0598582	0.0746255	0.0446065	0.0285025	0.020772	0.0265059	0.033607	0.0378282	0.0262147	0.0229779	0.0160116	0.0207595	0.0199335	0.00989196	0.0195465	0.0134287	0.0108693	0.0109913	0.0153244	0.0209579	0.0392562	0.037942	0.0316814	0.0197367	0.0182938	0.0166721	0.0247292	0.08148
tendresse	0.0475346	0.042196	0.0321134	0.0418717	0.0352454	0.0304688	0.0184054	0.0145128	0.0229005	0.0221111	0.0176872	0.033259	0.0189113	0.0235019	0.0173773	0.0185911	0.015906	0.0288082	0.019564	0.0301058	0.0354115	0.0383006	0.0239082	0.0122578	0.0154208	0.0336496	0.0222779	0.0363268	0.111193	0.140182
</S>	0.0337394	0.0309772	0.0304925	0.0301091	0.0253146	0.0228678	0.0203885	0.0117238	0.0139962	0.0155163	0.0148946	0.0167143	0.0148567	0.0149465	0.0126333	0.0154968	0.0182493	0.0346378	0.0268597	0.0436676	0.0446937	0.0585578	0.0742051	0.068522	0.0745639	0.0498129	0.0410075	0.0452206	0.0469339	0.0484005
