 	i	t	ú	n	á	í	b	a	r	i	n	g	á	m	i	n	a	m	ó	k	ω	r	ω	</S>
la	0.120355	0.0589698	0.0162458	0.0126583	0.0139185	0.0156421	0.038836	0.0442326	0.0382993	0.0809245	0.0667643	0.113744	0.0726474	0.0480741	0.0500117	0.0460309	0.0294203	0.0204061	0.023421	0.0176479	0.0146646	0.0152892	0.0179618	0.0238355
mouche	0.0952421	0.32898	0.253552	0.139697	0.0297811	0.0211877	0.0132285	0.0123239	0.0147907	0.024483	0.00698294	0.00111728	0.0021467	0.00335704	0.0089212	0.00887698	0.00576304	0.00789082	0.0140806	0.00395464	0.00182	0.00089965	0.000567091	0.000355828
ituna	0.0348038	0.0954769	0.0341589	0.0435483	0.104372	0.108511	0.0926273	0.0948108	0.0480155	0.0446156	0.0286592	0.0160386	0.0265456	0.0371126	0.0380111	0.0339413	0.0288993	0.0208317	0.0208215	0.0114095	0.00972404	0.00847452	0.0108957	0.00769499
m'	0.0548254	0.0634042	0.0942576	0.11245	0.0719051	0.0489169	0.0202457	0.0235243	0.0279832	0.0277159	0.0271847	0.0221421	0.0153028	0.0182637	0.0210419	0.0241234	0.0248105	0.0266678	0.0280106	0.0275742	0.0345809	0.0340483	0.0538178	0.0972027
a	0.0725682	0.0472599	0.0489461	0.0469526	0.0326693	0.0278051	0.0292846	0.0346709	0.0297797	0.0214673	0.0213642	0.0160348	0.0196151	0.0380142	0.035372	0.0323596	0.0224812	0.0368696	0.0245111	0.0411948	0.0663363	0.0579302	0.0845813	0.111932
piqué	0.0649707	0.0473343	0.0481286	0.049104	0.0389538	0.0380458	0.0369105	0.0378481	0.039331	0.021856	0.0158496	0.0107189	0.013998	0.0223575	0.0203723	0.0377442	0.0498141	0.0440082	0.0368359	0.0573043	0.043228	0.0397396	0.0538924	0.131654
dans	0.0374751	0.0377337	0.0334951	0.024872	0.0130652	0.011021	0.0145554	0.0127582	0.0203206	0.0190311	0.0270185	0.0165102	0.0192416	0.0253853	0.0325059	0.0327618	0.0377825	0.0690734	0.0801767	0.0991633	0.14337	0.086269	0.0485841	0.0578305
le	0.0667462	0.0657701	0.0571698	0.0432112	0.0424035	0.0379619	0.0325914	0.0340907	0.0284775	0.0293967	0.0312469	0.0370129	0.0455063	0.0176318	0.031084	0.0240516	0.026998	0.0309979	0.0380538	0.0438847	0.0451317	0.0533375	0.0484708	0.088773
dos	0.0273264	0.0263993	0.0204635	0.0210613	0.013913	0.0103801	0.00734746	0.0087963	0.00826165	0.0105823	0.0139632	0.0118587	0.00871924	0.0140922	0.0141177	0.0243005	0.0244067	0.0314911	0.0270305	0.0492478	0.090717	0.134878	0.159363	0.241283
</S>	0.0279035	0.0238171	0.0212413	0.01473	0.0121878	0.0153759	0.0135718	0.0181052	0.0142041	0.0101039	0.0135132	0.0112098	0.00782847	0.0131015	0.0121811	0.0129485	0.0140911	0.018932	0.0178924	0.0661703	0.116713	0.140276	0.141842	0.24206
