 	n	g	á	i	d	í	l	a	p	ó	s	á	o	d	z	á	á	o	t	u	a	</S>
j'	0.107157	0.454892	0.262986	0.0631531	0.0268217	0.0155647	0.0132354	0.00437614	0.00325915	0.0030321	0.00297877	0.00344534	0.0052755	0.00485777	0.00445882	0.00510214	0.00469242	0.00341601	0.00344566	0.00278088	0.00229216	0.0027771
aime	0.0527813	0.0395758	0.0313758	0.0567335	0.0898778	0.125225	0.0915846	0.0672891	0.0738041	0.0597987	0.0587322	0.0423695	0.0391016	0.0274531	0.0202391	0.0207119	0.0180272	0.0140792	0.0162147	0.0108717	0.0160829	0.0280712
manger	0.0355612	0.060289	0.0533558	0.0555806	0.0833918	0.040139	0.0209866	0.0229134	0.0284331	0.0381869	0.0261228	0.0421136	0.039134	0.0466818	0.0519497	0.0543932	0.04885	0.057172	0.04147	0.0435701	0.0424818	0.0672236
le	0.0445424	0.0775005	0.0747277	0.0420765	0.030786	0.0237372	0.0127806	0.0110144	0.0187729	0.0216471	0.0200419	0.0292911	0.0365958	0.0514851	0.0502161	0.0446824	0.048103	0.0640118	0.0500852	0.0448698	0.0896607	0.113372
poisson	0.012846	0.0158719	0.0107915	0.0118398	0.0131165	0.016736	0.0192673	0.0220159	0.0255636	0.0379849	0.0417362	0.039817	0.0400956	0.0394504	0.0323156	0.0367404	0.0383793	0.0730043	0.0651797	0.06441	0.124662	0.218176
frais	0.0301715	0.0147364	0.016843	0.00898378	0.00824984	0.00928399	0.0169998	0.0389039	0.0452655	0.0524969	0.0570725	0.0551242	0.0573332	0.0598279	0.0413571	0.0514165	0.0572532	0.046871	0.0566849	0.0460486	0.0865465	0.14253
que	0.0566204	0.0358166	0.0325285	0.023079	0.0196176	0.0192203	0.0268364	0.0318475	0.0534734	0.0533431	0.0503256	0.0364215	0.0284948	0.0311122	0.0266255	0.0376456	0.0464708	0.0511613	0.0658763	0.0604721	0.0776543	0.135357
l'	0.0799018	0.0381628	0.0324167	0.0226266	0.0188325	0.0220833	0.0265986	0.0242891	0.0228023	0.0273269	0.0301509	0.0237382	0.0251005	0.0310938	0.0316633	0.0528512	0.0684647	0.0686063	0.0817477	0.068897	0.0947846	0.107861
on	0.0825447	0.0651641	0.0547624	0.0565199	0.0516483	0.0413976	0.0262828	0.0430137	0.046891	0.0394827	0.0390735	0.0435533	0.037082	0.0419173	0.0447766	0.0488807	0.0581445	0.0445076	0.0327218	0.0214843	0.0389436	0.0412076
fait	0.105458	0.0876386	0.0853872	0.0732974	0.0420745	0.0274738	0.0195517	0.00970036	0.0106094	0.0109469	0.011603	0.0149341	0.0205137	0.0306911	0.0295169	0.0286098	0.0399863	0.0426789	0.0450577	0.0296531	0.0922559	0.142361
pourrir	0.125446	0.105701	0.116858	0.0685725	0.0304413	0.0200862	0.0192441	0.00692784	0.00784313	0.0107792	0.0114148	0.011428	0.0100611	0.020996	0.0267908	0.0331144	0.0398308	0.0590633	0.0561354	0.049569	0.077855	0.0918416
</S>	0.0326128	0.0275039	0.0266038	0.0271507	0.0283197	0.0314289	0.0378078	0.0324713	0.0321957	0.0279599	0.025356	0.0179504	0.0164017	0.0184509	0.0226314	0.0311216	0.0457428	0.0879993	0.104279	0.0903286	0.112398	0.123286
