 	n	g	á	í	y	í	i	n	ω	k	á	r	a	a	y	á	s	w	é	s	á	n	d	z	ú	n	g	u	</S>
je	0.0643381	0.178097	0.472959	0.157819	0.0522882	0.0143256	0.00193524	0.00145937	0.00136582	0.00235297	0.00228107	0.00396168	0.00398916	0.00396885	0.00459458	0.00335548	0.00279944	0.00306683	0.00280435	0.00396391	0.00309886	0.00219329	0.0022372	0.00142363	0.00157859	0.00148259	0.00174478	0.00254565	0.00197066
t'	0.113752	0.0495164	0.0174917	0.0174188	0.0163321	0.0232454	0.0297655	0.0551043	0.0381329	0.0667806	0.0759985	0.0834282	0.0665936	0.0590415	0.0414587	0.0396878	0.0288358	0.0222597	0.0155017	0.0151143	0.0137271	0.0080935	0.00761492	0.00722082	0.00401295	0.00651692	0.0075799	0.0107925	0.0589814
ai	0.0882402	0.0626039	0.0620702	0.0438083	0.0503257	0.0442274	0.0276807	0.0291434	0.0144934	0.0184267	0.0142779	0.0235825	0.0288254	0.0385944	0.0345898	0.0293113	0.0297975	0.0415923	0.0416945	0.0320643	0.029357	0.0345518	0.0454924	0.0380317	0.0228255	0.0263742	0.0172706	0.0187649	0.0119824
laissé	0.0579331	0.0394906	0.0281117	0.0368941	0.0689025	0.0818824	0.0533307	0.0619215	0.0257978	0.0209245	0.00898722	0.0146248	0.0200711	0.0240753	0.029091	0.0354896	0.033518	0.0379954	0.0527961	0.0390746	0.0291307	0.0416012	0.027829	0.029961	0.0239195	0.0217923	0.0169101	0.0165986	0.0213456
un	0.0198836	0.0156198	0.00835404	0.0182243	0.026237	0.0422747	0.0539327	0.0786593	0.0505644	0.0617002	0.0181954	0.0269614	0.0276935	0.0231601	0.0382066	0.0339174	0.0463835	0.0245486	0.0254762	0.0176701	0.0153255	0.0229538	0.0182568	0.0390778	0.0446811	0.0436481	0.0495089	0.0484723	0.0604128
petit	0.0192457	0.0135671	0.0327968	0.0172247	0.014803	0.0263501	0.0214881	0.0309361	0.0384305	0.0414478	0.0317724	0.0290654	0.019669	0.0154353	0.0152983	0.0127025	0.0174739	0.0112987	0.0135737	0.0275953	0.024447	0.0539005	0.0268038	0.0437926	0.0553429	0.0655901	0.0738218	0.0710203	0.135107
paquet	0.0100276	0.00947991	0.00739999	0.00671227	0.00814485	0.0234338	0.0194652	0.0256931	0.0219629	0.0268821	0.0166237	0.020124	0.0216413	0.023991	0.0331441	0.035561	0.0438763	0.0358473	0.0386732	0.0452366	0.0461949	0.0567135	0.0414526	0.0639715	0.0627788	0.0655832	0.0594694	0.0638851	0.0660308
de	0.0309023	0.0231253	0.0186373	0.0211925	0.0213887	0.0270286	0.0231366	0.0283129	0.0231066	0.0233872	0.0232743	0.0199519	0.0163047	0.0150624	0.0220533	0.0229786	0.0324593	0.0276784	0.0312212	0.034564	0.0326209	0.0448768	0.0458867	0.0406558	0.0438574	0.0642423	0.0684697	0.0769629	0.0966612
poissons	0.0271788	0.0253258	0.0223683	0.0257608	0.0254385	0.0243276	0.0120094	0.0134038	0.0108343	0.0139212	0.00982163	0.00983188	0.0108594	0.00972087	0.0169595	0.0190049	0.0314613	0.0272259	0.035693	0.0432697	0.0406171	0.0384738	0.0452782	0.0427932	0.0692483	0.0780731	0.0819501	0.0920291	0.0971204
dans	0.0288631	0.0277101	0.0246753	0.0277087	0.0280274	0.0273599	0.0121714	0.0138239	0.0113527	0.0127388	0.0112676	0.00988287	0.00971742	0.0084137	0.0136124	0.0158472	0.0251004	0.0187054	0.0196025	0.0244271	0.0341641	0.0339475	0.0467166	0.0558231	0.0799713	0.086216	0.0904528	0.0992228	0.102478
la	0.0366649	0.0317378	0.024284	0.0301836	0.031544	0.0284933	0.0143514	0.0185864	0.0102483	0.0148647	0.0111339	0.0163716	0.0172404	0.0165964	0.023436	0.0260745	0.0360171	0.028282	0.0243359	0.0251878	0.0345874	0.0393747	0.0581358	0.0625362	0.0605211	0.0712751	0.0598185	0.0641031	0.0840143
marmite	0.0166953	0.0290199	0.0436459	0.0420878	0.0267338	0.0158582	0.0113405	0.0132576	0.00830698	0.0155758	0.00702483	0.00870732	0.0103344	0.0102241	0.0140238	0.0152639	0.0173407	0.0226531	0.0246253	0.0505611	0.0363642	0.0546837	0.0442533	0.0503691	0.0793953	0.0383367	0.0942339	0.0877802	0.111303
</S>	0.0445438	0.0427497	0.0191513	0.0353403	0.0466331	0.0335825	0.0204597	0.0204836	0.0186788	0.0117098	0.0115665	0.0135016	0.0151676	0.0145964	0.018576	0.0200222	0.0270015	0.0237689	0.0243591	0.0263998	0.0272269	0.0364293	0.0347395	0.0375006	0.0496922	0.0542919	0.0508903	0.0781514	0.142786
