 	b	a	r	e	b	á	a	y	w	o	o	s	á	w	a	m	é	s	á	l	í	l	í	y	á	w	a	</S>
les	0.270748	0.0850377	0.0432404	0.0139304	0.00704029	0.0166378	0.00980517	0.00975874	0.0132091	0.0144568	0.0131403	0.0400337	0.0592616	0.0635405	0.0461009	0.0376943	0.0315385	0.0210823	0.0239668	0.0109977	0.0204722	0.0157546	0.0203048	0.0246258	0.0341643	0.0168306	0.0200968	0.0165292
gens	0.111993	0.0974243	0.114863	0.114614	0.110493	0.0842172	0.0497144	0.0361379	0.0178401	0.0169978	0.00585938	0.00422008	0.01083	0.0140892	0.00766621	0.00615521	0.00313419	0.00329869	0.00489255	0.00988572	0.0270803	0.026128	0.0284638	0.029388	0.0175576	0.0262627	0.0122677	0.00852604
l'	0.0286838	0.0263407	0.0523113	0.0285505	0.0211939	0.02362	0.0158632	0.0152885	0.0227449	0.0178231	0.0231691	0.0345101	0.0577005	0.0476683	0.0550089	0.0429623	0.0621249	0.0662482	0.0610768	0.0388566	0.0568366	0.0336032	0.0581757	0.02817	0.0260049	0.0229112	0.0216838	0.0108689
apprécient	0.0102952	0.019376	0.0284883	0.0341193	0.0450216	0.0640059	0.0507763	0.0641937	0.0232376	0.0436136	0.0408026	0.0943298	0.0681305	0.0438414	0.035239	0.0394867	0.0437686	0.0443005	0.0438993	0.0273052	0.0270658	0.0175035	0.0201485	0.00807608	0.0164248	0.010192	0.0141926	0.0221658
pour	0.0197669	0.0257814	0.0228986	0.0264095	0.0318222	0.0431302	0.0516276	0.0428647	0.0352192	0.0420327	0.0504736	0.0549701	0.0680691	0.0351809	0.0373261	0.030674	0.0492627	0.0416511	0.0272194	0.0131988	0.0296156	0.0201642	0.0159693	0.0187241	0.0143335	0.0178793	0.0548184	0.0789169
sa	0.0236138	0.0180449	0.0174255	0.0236831	0.0228283	0.0235977	0.0310825	0.0240456	0.0137907	0.0197036	0.0162305	0.019661	0.0250274	0.0242078	0.0284311	0.0286525	0.0465279	0.045794	0.0657898	0.0445543	0.0614291	0.0587948	0.0625559	0.0388491	0.0446915	0.0497097	0.0550505	0.0662274
façon	0.0316393	0.0303209	0.0323676	0.0499034	0.0399085	0.0658285	0.0507067	0.0429329	0.0175911	0.0250106	0.054086	0.0380649	0.0291497	0.0132557	0.0230476	0.0163198	0.0214686	0.0227106	0.0200243	0.0144744	0.0243244	0.0211678	0.0326845	0.0131477	0.0145868	0.0203301	0.0764189	0.158529
de	0.0266447	0.0289099	0.0331106	0.0433894	0.0497356	0.0478336	0.0432703	0.0494588	0.0328818	0.0429162	0.0522592	0.0246182	0.0207064	0.0194213	0.0261851	0.0300691	0.0344965	0.043124	0.0224941	0.0174098	0.0278926	0.0294123	0.0237277	0.0336769	0.0377916	0.0312802	0.0384031	0.088881
travailler	0.0388058	0.0285378	0.0236274	0.0238784	0.0244626	0.0237874	0.0187461	0.0130349	0.00655868	0.00707459	0.0126003	0.0112131	0.0132212	0.0152998	0.0306745	0.0355528	0.0582886	0.0810733	0.0725791	0.0674448	0.0616655	0.0414356	0.0439584	0.0405985	0.0308323	0.0276308	0.0624982	0.0849195
</S>	0.0369475	0.0349403	0.0371633	0.0455863	0.0420761	0.035287	0.0239513	0.0191252	0.0150897	0.0113045	0.0158936	0.0114652	0.0127797	0.00957947	0.0131882	0.0145264	0.0364793	0.0632413	0.0352899	0.0371063	0.0285555	0.0424128	0.0225444	0.0480443	0.0405199	0.0473993	0.0574156	0.162087
