 	o	n	y	ε	b	h	í	á	b	h	í	i	w	a	m	í	t	ó	n	a	l	á	m	w	á	s	í	</S>
son	0.0110317	0.0136347	0.0155136	0.016228	0.0136554	0.0206477	0.021983	0.0288407	0.0530925	0.0664453	0.0625224	0.0848739	0.0830624	0.0613377	0.024487	0.0229743	0.0198725	0.0460251	0.0313559	0.0273806	0.0244444	0.0459299	0.0503004	0.024908	0.033242	0.0333485	0.0309382	0.0319242
grand	0.079474	0.172326	0.266122	0.140373	0.0532719	0.0281538	0.0280047	0.0157041	0.00789513	0.00682117	0.00459539	0.0269948	0.00782884	0.0262113	0.0134204	0.0190737	0.0168984	0.00844733	0.0109394	0.0190239	0.0202131	0.0195009	0.0027793	0.00156636	0.00190826	0.00114833	0.00085579	0.00044943
frère	0.0627258	0.0591129	0.0812166	0.0751451	0.0806425	0.119133	0.142312	0.0906097	0.0291295	0.0215862	0.0124474	0.0153953	0.0144093	0.0105616	0.0167875	0.0295209	0.0355476	0.0243134	0.0115393	0.0113781	0.0131359	0.00979942	0.00415192	0.0028999	0.00238677	0.00539703	0.0104283	0.00828696
l'	0.0186556	0.0277577	0.0300051	0.0264616	0.0428932	0.0590877	0.0521229	0.0483591	0.0588607	0.0269202	0.0217547	0.0248502	0.0198279	0.0277163	0.0410809	0.0283343	0.0349565	0.038942	0.0352127	0.0351066	0.027418	0.0280526	0.0276168	0.0443606	0.0410883	0.0507672	0.033974	0.0478166
a	0.0308355	0.0391802	0.0472255	0.0797224	0.0650234	0.0641609	0.0573108	0.0649537	0.049896	0.0319025	0.030299	0.0438154	0.0186555	0.0135089	0.0235258	0.0243637	0.0351652	0.050028	0.0200272	0.0369463	0.0214349	0.0228501	0.010623	0.0181101	0.0222801	0.0197228	0.0203793	0.0380538
obligé	0.0354979	0.0189296	0.0191616	0.0296503	0.0445537	0.0577311	0.0663834	0.0706086	0.0495482	0.032097	0.0310254	0.0130797	0.0231985	0.00978138	0.0272757	0.0259944	0.0277139	0.0430156	0.0209059	0.0258195	0.0185234	0.0270913	0.012877	0.0339934	0.0323644	0.0463193	0.0636797	0.09318
de	0.0382032	0.038417	0.0426084	0.0379381	0.0425978	0.062442	0.0977877	0.118812	0.0742402	0.0792369	0.0671923	0.0196717	0.0233578	0.010703	0.0143831	0.0110552	0.0149551	0.013021	0.015325	0.0156732	0.0128403	0.0134264	0.0134763	0.0176944	0.0164223	0.0221035	0.0255403	0.0408756
répudier	0.0379792	0.0299227	0.0256269	0.02269	0.0184421	0.0152123	0.0289334	0.0279735	0.0203295	0.0163297	0.00956124	0.010187	0.011719	0.00749849	0.0175686	0.0302843	0.0530781	0.0784417	0.0501172	0.0414783	0.0218108	0.0388937	0.0390447	0.0446627	0.0621751	0.0685214	0.0671847	0.104334
sa	0.0647653	0.0460057	0.0439419	0.0395563	0.0345925	0.0337306	0.0333323	0.0388922	0.0220397	0.0223849	0.0104931	0.00707009	0.00917035	0.00791027	0.0173145	0.0168483	0.020748	0.0402527	0.0327397	0.0306319	0.0253189	0.0353004	0.0390194	0.0419736	0.0500308	0.0537519	0.049869	0.132316
femme	0.0567947	0.0365468	0.0274208	0.0149745	0.0120426	0.00923012	0.0124086	0.0156474	0.0103032	0.0102426	0.00595561	0.00669619	0.0104065	0.00971906	0.027999	0.039526	0.0506421	0.053644	0.0395264	0.0314892	0.0151129	0.0325915	0.0420979	0.0455349	0.0519022	0.0703784	0.0899294	0.171237
</S>	0.0487516	0.0304569	0.0234375	0.016731	0.0118894	0.00893415	0.0103017	0.00895595	0.00546234	0.00274089	0.00214524	0.00178969	0.00233218	0.00227137	0.00693995	0.0130752	0.0236799	0.0382244	0.050613	0.0534165	0.0267015	0.0957897	0.0414657	0.0731581	0.0797275	0.0976882	0.0953466	0.127974
