 	b	a	n	á	á	m	i	d	z	w	á	i	l	ώ	b	h	ω	a	s	ú	s	u	p	o	o	</S>
les	0.0360023	0.0414685	0.0211327	0.042874	0.050403	0.0253062	0.0386143	0.0299917	0.0425214	0.0401047	0.0368162	0.0342508	0.0388702	0.0327978	0.0390167	0.0423012	0.0390879	0.0349791	0.0600608	0.0390378	0.0674148	0.0557476	0.0391203	0.0243041	0.0196111	0.028165
uns	0.0756614	0.0565773	0.0699929	0.0601163	0.0678491	0.113183	0.0580436	0.0774068	0.0588889	0.0558091	0.0552253	0.0566268	0.0359604	0.0138597	0.0124051	0.0118904	0.00637385	0.00608197	0.0225582	0.00718272	0.0165016	0.0149677	0.0086911	0.0141893	0.0168072	0.00715039
sont	0.0255434	0.0210556	0.0242853	0.0265219	0.0205078	0.0314308	0.0333928	0.027042	0.0268695	0.0504479	0.06868	0.105248	0.0830429	0.0551269	0.0639441	0.0556651	0.0499288	0.0309675	0.0527237	0.0340566	0.0303037	0.0232741	0.0142424	0.0159881	0.0201271	0.00958387
allés	0.0386971	0.0385761	0.0435637	0.0509084	0.0418827	0.0355145	0.0394586	0.0400015	0.0543152	0.0676869	0.0578706	0.0447773	0.0413314	0.0237214	0.0331651	0.0217269	0.0302752	0.0262924	0.0431602	0.0396814	0.0449161	0.0191896	0.0249746	0.0295864	0.0250206	0.0437062
à	0.0504693	0.0433073	0.0403031	0.0357412	0.0374527	0.0415768	0.0373209	0.037396	0.0385334	0.0431142	0.0683334	0.0288899	0.0207159	0.0200166	0.0268214	0.0200485	0.0198307	0.0304203	0.0289857	0.0315177	0.0315627	0.0425507	0.0533093	0.0487243	0.043893	0.079165
la	0.0275028	0.0200973	0.0195858	0.0187744	0.0192384	0.0203018	0.0192072	0.0196088	0.0206632	0.0242915	0.0322466	0.0291279	0.0259778	0.0283638	0.0286514	0.0192985	0.0238791	0.0326332	0.0549826	0.0596888	0.0647486	0.0608515	0.0563953	0.082104	0.0875946	0.104185
pêche	0.0210287	0.0126494	0.0121037	0.0112843	0.0108364	0.0110582	0.012004	0.0163121	0.0168177	0.01748	0.0222292	0.0357282	0.0413829	0.0544343	0.0613052	0.0369008	0.038242	0.0390946	0.0657708	0.0675377	0.0614188	0.0578883	0.0499996	0.0725434	0.0755902	0.0783597
et	0.0246501	0.0193097	0.0192778	0.0134898	0.0155028	0.0230051	0.0179745	0.0362402	0.0370228	0.0321658	0.039791	0.0449806	0.0371107	0.041725	0.0446139	0.0295834	0.0298554	0.0312474	0.0243656	0.0252127	0.0259462	0.0411247	0.0538755	0.0832972	0.0687475	0.139885
les	0.0332778	0.022838	0.0202155	0.0197039	0.0188031	0.0191278	0.0210728	0.0169112	0.0236298	0.0243792	0.0344276	0.0289454	0.0292202	0.0317024	0.0354955	0.0262171	0.0313134	0.0489648	0.0493683	0.0425858	0.049286	0.0757732	0.0806888	0.0764831	0.0857843	0.053785
autres	0.0794032	0.0495756	0.044321	0.0388104	0.0404928	0.0304952	0.0290669	0.0265531	0.0143085	0.00803601	0.00973808	0.0139176	0.015417	0.0169849	0.0235507	0.01825	0.0244664	0.0388099	0.0273901	0.0188778	0.0414736	0.0369797	0.0735742	0.0687796	0.0440754	0.166652
au	0.0380106	0.0265997	0.0259776	0.0212699	0.0263156	0.0264593	0.0272098	0.0257205	0.0211965	0.012336	0.0209097	0.0228815	0.0153443	0.0162321	0.0324159	0.0193265	0.0207356	0.0352438	0.0350053	0.0427077	0.0522076	0.074946	0.092376	0.0929385	0.071621	0.104013
village	0.0413753	0.0241847	0.0241833	0.025242	0.0223452	0.0200189	0.0190344	0.0232173	0.015514	0.008105	0.0082176	0.0117458	0.0150044	0.0221269	0.0334548	0.0326271	0.0421338	0.0426603	0.0474811	0.0366005	0.0645999	0.0685645	0.0593068	0.0853526	0.0770635	0.12984
</S>	0.073759	0.0288966	0.0287581	0.0181301	0.0278885	0.0285036	0.0297881	0.0262571	0.0172304	0.00784578	0.00810479	0.0124923	0.00967079	0.0129335	0.0276955	0.0230915	0.0250252	0.034488	0.0275751	0.0289153	0.040498	0.0530935	0.0799684	0.103172	0.0796808	0.146537
