 	b	í	s	í	l	a	n	ω	l	é	e	b	έ	r	έ	a	b	i	a	ó	t	s	é	y	á	m	w	é	s	é	</S>
nous	0.0710544	0.0856206	0.106371	0.0742938	0.0822925	0.0188113	0.0125633	0.0111814	0.0071449	0.0178337	0.027374	0.0259615	0.0294736	0.0565449	0.0258618	0.0230822	0.0160185	0.0142018	0.0192226	0.0142645	0.0139182	0.017617	0.021665	0.0265447	0.0242362	0.0256359	0.0332732	0.0240916	0.0210114	0.0287093	0.0241254
allons	0.0245206	0.0177435	0.0187178	0.015213	0.0243834	0.0682368	0.0971005	0.124379	0.116839	0.116373	0.0997676	0.0535504	0.047306	0.0318854	0.0259434	0.0276877	0.0179014	0.00996593	0.00959409	0.00328607	0.0050745	0.00471338	0.00573857	0.00502818	0.00503736	0.00518505	0.00740916	0.00190649	0.00250332	0.00327488	0.00373491
nous	0.0500417	0.0658296	0.0478985	0.0358736	0.0465282	0.0398848	0.0376196	0.0330884	0.0410151	0.033214	0.039878	0.0276754	0.0282192	0.0542088	0.0442889	0.0698292	0.0709793	0.0526393	0.0243385	0.0330345	0.0128226	0.013242	0.0110956	0.0138917	0.00894381	0.013901	0.00908966	0.00905885	0.00819427	0.00899947	0.0146762
battre	0.0151233	0.0137138	0.0112501	0.00948921	0.0135219	0.0175805	0.0199256	0.0274184	0.0257564	0.0342205	0.0496163	0.0373363	0.0422112	0.0602397	0.0786123	0.0733217	0.0778775	0.0599396	0.0340903	0.0345643	0.0231331	0.0207352	0.022168	0.0230967	0.026092	0.0247059	0.0159524	0.0197684	0.0228854	0.0233669	0.0422869
sous	0.0204561	0.016333	0.0155163	0.0139621	0.0181485	0.0190348	0.0193751	0.0191196	0.0195202	0.0193011	0.0189429	0.0201023	0.0220945	0.0261736	0.03173	0.0365548	0.0518134	0.0549188	0.0513278	0.0425468	0.0478632	0.0467247	0.0416869	0.0427937	0.0356218	0.0407445	0.0314197	0.0288759	0.0462554	0.04012	0.0609222
le	0.0255353	0.0212559	0.0193149	0.0190898	0.02293	0.0288136	0.0298982	0.0313541	0.0309955	0.0323804	0.032761	0.0366337	0.0299943	0.029704	0.0293849	0.0285789	0.0379988	0.0441247	0.0373257	0.0253439	0.0373869	0.0368356	0.0292875	0.0303689	0.0242067	0.0298747	0.0261989	0.0203947	0.0445179	0.0420259	0.0854847
soleil	0.014522	0.0113038	0.0110852	0.0101357	0.0157918	0.0221678	0.0313486	0.0605331	0.0362213	0.046269	0.0469775	0.040833	0.0185987	0.0127676	0.0120544	0.0104447	0.0130646	0.017193	0.0175347	0.0174019	0.0252882	0.0308841	0.0373838	0.0423868	0.0437636	0.043665	0.040954	0.0306618	0.0458685	0.0728719	0.120024
toi	0.0182176	0.0169263	0.01747	0.0162935	0.0178236	0.0168409	0.0174747	0.0189402	0.012784	0.0149861	0.0123158	0.0116909	0.0119324	0.0132762	0.0155582	0.0200472	0.0277283	0.0358522	0.0404964	0.0439724	0.0454205	0.0459676	0.0510994	0.052925	0.05465	0.0558901	0.0562059	0.0504916	0.0595082	0.0619686	0.0652463
et	0.0252753	0.0220774	0.0196447	0.0175377	0.0131229	0.0122628	0.0136576	0.0197663	0.0120458	0.0133262	0.0105088	0.012194	0.0121973	0.0185998	0.0168928	0.0230663	0.0217413	0.0340517	0.0430184	0.0448652	0.0531685	0.0467574	0.0464502	0.040169	0.0413324	0.034626	0.0536195	0.0568227	0.0740594	0.0702778	0.0768647
moi	0.0383117	0.0319856	0.0295398	0.0283969	0.0137164	0.0122722	0.014614	0.0249944	0.0198293	0.021245	0.0188571	0.0171874	0.0159556	0.017868	0.0169243	0.0214716	0.0225324	0.0315725	0.0332626	0.0455464	0.0372938	0.0334307	0.0342424	0.0350891	0.03441	0.0377332	0.0408618	0.0448806	0.0592537	0.0624141	0.104307
</S>	0.0296304	0.0308612	0.0327086	0.0336796	0.0143643	0.010888	0.0117645	0.0154657	0.012489	0.0136634	0.0120544	0.0115968	0.0108211	0.0130852	0.0128059	0.0192905	0.0227844	0.0370413	0.0352858	0.0564507	0.0370576	0.0370082	0.0376694	0.0438076	0.0414294	0.0467837	0.0451703	0.0504994	0.0582417	0.0644555	0.101146
