 	s	á	p	o	o	y	é	b	á	a	p	á	m	á	o	k	o	n	d	z	i	y	a	p	o	o	p	á	b	h	a	</S>
dans	0.0114778	0.0137718	0.0108814	0.00826297	0.0128248	0.0105849	0.0358389	0.0360487	0.0425763	0.0469137	0.0415219	0.0460443	0.0546991	0.082061	0.0862302	0.0903194	0.0457365	0.0186926	0.00847861	0.00728301	0.00646747	0.0112717	0.0193777	0.0172527	0.027752	0.0357981	0.0276871	0.0374289	0.0323635	0.0309911	0.0236857	0.0196763
ce	0.0969328	0.109145	0.0365925	0.046732	0.0276587	0.0373809	0.0221558	0.0181211	0.0429663	0.065593	0.0476802	0.0627441	0.0478211	0.0526845	0.0496233	0.0436997	0.0389675	0.0186694	0.0106515	0.00967906	0.012513	0.0144446	0.00667046	0.00497876	0.00622738	0.00758509	0.00964575	0.0100875	0.0106482	0.00736871	0.0114944	0.0128377
village	0.0274437	0.026781	0.0301844	0.0364326	0.0156472	0.0171984	0.0239872	0.0221306	0.0250122	0.031864	0.0248584	0.0264357	0.0224017	0.0239312	0.0216072	0.0222064	0.0220254	0.0310779	0.0490409	0.0480516	0.0508501	0.10415	0.0731988	0.0489894	0.036299	0.0461634	0.0323347	0.0169778	0.0113828	0.0151224	0.00874097	0.00747288
on	0.0240371	0.0358443	0.0423226	0.0452223	0.0403562	0.0337622	0.0252413	0.0273168	0.025883	0.0177637	0.0314269	0.0251358	0.0129922	0.0103541	0.0104036	0.0105607	0.0182031	0.0255566	0.0507003	0.0406039	0.0575796	0.0441627	0.050332	0.0416332	0.034705	0.028311	0.0320138	0.0297797	0.0374551	0.0217435	0.025032	0.0435656
va	0.0263719	0.0303717	0.0347127	0.0292747	0.0297817	0.035205	0.037252	0.030861	0.0254851	0.0251629	0.0241127	0.0248182	0.0278265	0.0256629	0.0212559	0.0285683	0.0292041	0.0230194	0.0223966	0.0161566	0.03107	0.030983	0.0533665	0.0455663	0.0240301	0.0274918	0.0315155	0.0208216	0.0270889	0.0409077	0.0532081	0.0664508
élire	0.04257	0.0411778	0.041907	0.0403604	0.040207	0.050653	0.0284056	0.0260091	0.0210773	0.0209582	0.0216303	0.0195109	0.0241887	0.0232814	0.0204713	0.0274104	0.0303597	0.026842	0.0266038	0.0199597	0.0348007	0.032239	0.0331386	0.0274061	0.0256378	0.0226104	0.0249882	0.0182947	0.0211791	0.0296184	0.0403188	0.0961845
le	0.0249937	0.0208633	0.018051	0.0179774	0.0181474	0.0245588	0.0273499	0.0264243	0.0261144	0.0237421	0.0144883	0.0152947	0.0146133	0.0155588	0.0129309	0.0211839	0.036841	0.0455494	0.0492332	0.0554117	0.0630944	0.0503885	0.0387501	0.0377247	0.0361431	0.0225488	0.0342029	0.0230313	0.0287123	0.0319715	0.0443508	0.0797542
chef	0.023393	0.0218004	0.0198426	0.0203271	0.0324307	0.0376864	0.0284239	0.0328083	0.0333358	0.0325573	0.0358682	0.0407655	0.0386675	0.0308672	0.0221473	0.0306604	0.0371762	0.0276066	0.0284879	0.030583	0.0288454	0.0307114	0.0155256	0.0167977	0.0202205	0.0205493	0.0258887	0.0161167	0.0212888	0.0243045	0.0539761	0.12034
de	0.0451594	0.0251499	0.0213218	0.0219504	0.0193085	0.02394	0.0167648	0.0240931	0.0146969	0.0132496	0.0128902	0.00940267	0.00954927	0.00824587	0.00927928	0.0123048	0.0295332	0.0468484	0.0534382	0.049584	0.0658257	0.0436689	0.0344934	0.0381362	0.0431405	0.0248987	0.0429995	0.0285108	0.0353002	0.0394713	0.054558	0.0822863
village	0.0606502	0.0458239	0.0332166	0.0241476	0.0213861	0.0186317	0.00903858	0.0138601	0.00924439	0.00864654	0.0119814	0.0100388	0.00940662	0.00878321	0.0095549	0.00723277	0.0141059	0.0272314	0.0383625	0.0473419	0.0352994	0.0354823	0.0264988	0.021322	0.0372849	0.0313262	0.0543809	0.0331641	0.0565682	0.0505623	0.0771945	0.112231
aujourd'	0.0839493	0.0574417	0.046751	0.0355262	0.0213874	0.0182327	0.00874487	0.0103567	0.00715724	0.00641897	0.00770859	0.00661338	0.00617249	0.00578645	0.00824574	0.00775641	0.0166955	0.0213654	0.0233483	0.0329204	0.0192266	0.0231881	0.0236553	0.0282158	0.0419881	0.0340054	0.0488275	0.0451405	0.0531453	0.0466273	0.069843	0.133558
hui	0.187366	0.0991514	0.0703233	0.0424216	0.0225939	0.0158581	0.0104554	0.01567	0.00943678	0.0070548	0.0087783	0.00711328	0.00731507	0.00706852	0.00856563	0.0072211	0.0134872	0.0226346	0.0281489	0.0383897	0.0227673	0.0228096	0.0163287	0.0185394	0.0189196	0.0195128	0.030222	0.0285794	0.0341011	0.0302673	0.0399034	0.0889961
</S>	0.0622875	0.0350015	0.0417155	0.0354979	0.0313344	0.0319	0.0251077	0.0230283	0.0173503	0.0141131	0.0165686	0.0143289	0.0125662	0.00912618	0.00867571	0.00808676	0.00993924	0.0132999	0.0202604	0.0200828	0.0220181	0.0232492	0.0303666	0.0225316	0.0330952	0.0427701	0.0439187	0.0430175	0.0465294	0.0597519	0.0605331	0.121948
