 	n	g	ó	l	ó	m	i	y	a	w	a	a	m	í	í	w	á	a	é	b	h	i	l	a	i	b	v	ú	í	b	a	á	</S>
son	0.0924112	0.04459	0.0166268	0.0181646	0.00800324	0.00416736	0.0100587	0.0111812	0.0094683	0.00734043	0.0091347	0.028708	0.0328375	0.0374049	0.0287804	0.0324207	0.0363855	0.0560547	0.0576573	0.0807973	0.0621859	0.0449634	0.0316626	0.0210751	0.0177317	0.014483	0.021277	0.0264695	0.041671	0.037601	0.0271992	0.0197163	0.0117713
oncle	0.175465	0.177437	0.142654	0.197519	0.0917723	0.0686137	0.0344678	0.0155167	0.0261987	0.0214468	0.016216	0.0160237	0.00441827	0.00260113	0.00122261	0.00117884	0.000387723	0.000522056	0.000786621	0.000335028	0.000597363	0.000577131	0.000250257	0.000408613	0.000649043	0.000556727	0.000754696	0.000267872	0.00040343	0.00037556	0.00020394	0.000123173	4.91523e-05
est	0.0147885	0.0294491	0.0189218	0.0386507	0.0336897	0.0436895	0.0580272	0.0866093	0.0947533	0.0358432	0.0206674	0.0272063	0.0140124	0.0223225	0.0297129	0.0361708	0.0331712	0.0365024	0.0304858	0.0306145	0.0230162	0.0290086	0.0230581	0.0288797	0.0220697	0.0192262	0.0231747	0.0275056	0.0133476	0.0245371	0.00913746	0.0149255	0.00682487
mort	0.00910516	0.0122413	0.0106377	0.0156713	0.0246408	0.0164241	0.0256709	0.0247256	0.0406978	0.0335965	0.0213493	0.0985277	0.0462582	0.0288922	0.0338697	0.0275741	0.0224101	0.0550699	0.0344742	0.0343068	0.0500772	0.044911	0.0274988	0.0398319	0.0254591	0.0527133	0.0421275	0.0210285	0.0120584	0.0155092	0.0111377	0.0199493	0.021555
il	0.0242611	0.0169442	0.00792855	0.00915882	0.0121553	0.0127213	0.022049	0.0306943	0.029456	0.0241928	0.0115867	0.0184373	0.0280295	0.0392188	0.042538	0.0324842	0.033268	0.0349164	0.0324916	0.0270275	0.0337351	0.038532	0.043674	0.0455486	0.0397914	0.0447222	0.0383257	0.0278579	0.0277523	0.0296828	0.0388112	0.045562	0.0564454
y	0.00918905	0.0111361	0.00485719	0.0049283	0.00969891	0.0103526	0.013926	0.0189369	0.0221262	0.0186278	0.00907906	0.00916898	0.0174153	0.0180306	0.0263377	0.022007	0.024651	0.0215747	0.0259629	0.021118	0.0330612	0.0694276	0.0664468	0.0784467	0.0502564	0.0584818	0.0548032	0.0505527	0.0522655	0.0407684	0.0460374	0.033554	0.0467742
a	0.0155144	0.0129025	0.00818134	0.0104893	0.0152636	0.0203165	0.0384602	0.0437849	0.0427407	0.0340586	0.0110085	0.00724616	0.0160701	0.0122476	0.0292091	0.0216608	0.0354759	0.021744	0.0209343	0.0193859	0.0231247	0.0356987	0.0406768	0.0414293	0.0320991	0.0638806	0.0620361	0.041715	0.042558	0.0279745	0.0386924	0.0481721	0.0652483
deux	0.0208793	0.0207967	0.0171621	0.0207152	0.022457	0.0242826	0.0320223	0.0275201	0.0255604	0.0179498	0.0107138	0.0109409	0.00804704	0.0138933	0.0126236	0.0170412	0.0215217	0.0370297	0.029596	0.0238446	0.0288586	0.0311967	0.0377622	0.0335662	0.0328424	0.0525877	0.0648468	0.0363163	0.0455086	0.0316332	0.0380684	0.0638822	0.0883334
ans	0.0335125	0.0312962	0.0297331	0.0227467	0.0286778	0.0270979	0.0237329	0.0212874	0.0253476	0.024335	0.0124703	0.00920698	0.00806891	0.0106285	0.009226	0.0211022	0.0176444	0.0385366	0.0332848	0.0323067	0.0416832	0.0665914	0.0674158	0.0495462	0.0332341	0.0211001	0.0219155	0.00956841	0.0238052	0.0195406	0.0308798	0.0428361	0.111641
</S>	0.0313372	0.0282449	0.0270824	0.0312643	0.0336808	0.0397889	0.0433794	0.0369649	0.033679	0.0219832	0.0105783	0.00631756	0.00724969	0.00773937	0.00628536	0.00757124	0.00566808	0.0175541	0.0127741	0.0118986	0.0146869	0.0314109	0.0352006	0.0392371	0.028605	0.0707248	0.0414184	0.0224	0.0330702	0.0331827	0.03877	0.0725717	0.11768
