 	b	á	a	b	h	i	n	á	á	w	a	m	ó	p	ó	s	á	b	e	a	y	é	é	d	í	l	a	w	a	</S>
on	0.237716	0.15446	0.110345	0.0671591	0.0660908	0.0142842	0.00740974	0.00947396	0.00672013	0.00746978	0.00494545	0.0172034	0.0114018	0.0233415	0.0236391	0.0156648	0.0147178	0.00887116	0.0203363	0.0215054	0.0281376	0.0127166	0.024401	0.0121825	0.0217125	0.0192592	0.012612	0.00882807	0.00972762	0.00766682
ne	0.0557822	0.038142	0.0525095	0.0455336	0.072444	0.101244	0.119052	0.126478	0.112727	0.0712561	0.00938149	0.0099716	0.00957045	0.01858	0.0031294	0.00353074	0.00276201	0.00432108	0.00381097	0.00262799	0.00895255	0.00899435	0.00543622	0.00969301	0.0151259	0.019879	0.0138161	0.0238743	0.0137204	0.0176549
l'	0.0397918	0.0244614	0.0273588	0.0183518	0.0266516	0.0149033	0.0270933	0.0232165	0.0460541	0.0368277	0.00914754	0.0153983	0.015597	0.0356233	0.0254046	0.0486901	0.0388916	0.0715472	0.0517662	0.0760857	0.049349	0.0350209	0.0277637	0.0253894	0.0343971	0.0270373	0.0304982	0.0204216	0.0234204	0.0538402
aime	0.102335	0.0831973	0.0976628	0.0717809	0.0648696	0.0880168	0.0716975	0.0695934	0.0856286	0.0702421	0.0155368	0.0192522	0.0147849	0.0141224	0.00732937	0.00977457	0.0122784	0.0185673	0.00862046	0.00513489	0.00495608	0.00795801	0.0121915	0.00424258	0.00442231	0.00337401	0.00241335	0.00601818	0.00408544	0.0199133
pas	0.0107669	0.0115012	0.0106081	0.0187611	0.0311564	0.0416232	0.0627762	0.0801073	0.0862184	0.0819988	0.0358918	0.052723	0.038457	0.0288461	0.0218014	0.0153046	0.0148627	0.0216508	0.0342158	0.0453786	0.0183474	0.0127883	0.0112137	0.0179331	0.0205785	0.029037	0.0266716	0.0303736	0.0357741	0.0526332
à	0.0105438	0.0127531	0.00969079	0.0145525	0.0151627	0.017734	0.0280127	0.0260519	0.0319429	0.0240535	0.01315	0.0119165	0.0170402	0.0147373	0.0181779	0.0224678	0.0259717	0.0209641	0.0152769	0.0181095	0.0421875	0.043174	0.0786825	0.0746455	0.0751238	0.0661344	0.0495465	0.0588293	0.0505414	0.0928254
cause	0.0157073	0.0145145	0.0132832	0.016814	0.0156054	0.0207527	0.035466	0.0376031	0.0435948	0.0351425	0.0211234	0.0169321	0.022262	0.0215467	0.0150419	0.0162361	0.0150938	0.0240445	0.0230685	0.0256477	0.0417923	0.0381062	0.034862	0.0443514	0.0616024	0.059428	0.0557597	0.0612251	0.0526803	0.100712
de	0.0220715	0.0189808	0.0168232	0.0232917	0.0207851	0.0274909	0.0427619	0.0425409	0.0354994	0.0288906	0.0162402	0.0156569	0.0153555	0.0164353	0.0160474	0.0140937	0.0146129	0.0140842	0.0113077	0.0148765	0.0205339	0.0160531	0.0269752	0.0402105	0.0664437	0.0758064	0.0726986	0.0790254	0.0641474	0.11026
son	0.0372645	0.0295952	0.0293858	0.0267524	0.0287848	0.0229493	0.0203902	0.0165506	0.0195717	0.0210342	0.00871619	0.012728	0.011388	0.0115307	0.0132134	0.0107222	0.00844299	0.00945781	0.0247454	0.0354509	0.0362241	0.030412	0.0273757	0.0443193	0.0638993	0.0618722	0.0671613	0.0945891	0.077982	0.0974908
avarice	0.0341046	0.0261748	0.0258506	0.0278055	0.021719	0.0220369	0.0243701	0.0264064	0.0218641	0.0272753	0.0117114	0.0145456	0.0119751	0.00993507	0.0053296	0.00194558	0.00205336	0.0102361	0.0373295	0.0185195	0.0620912	0.0387528	0.0222762	0.0239097	0.0588363	0.0407336	0.0344776	0.113559	0.0896644	0.134511
</S>	0.0289394	0.0244872	0.0255715	0.0252481	0.0253865	0.025681	0.0258132	0.023262	0.0197509	0.0226122	0.00825062	0.00987856	0.0105785	0.00947734	0.00602076	0.00669017	0.00797693	0.0117054	0.026588	0.0199982	0.0226037	0.0145645	0.0183582	0.0322479	0.0784461	0.0700285	0.0822572	0.113179	0.0977171	0.106681
