 	b	a	r	e	b	é	k	y	é	n	á	á	b	á	a	y	o	b	h	á	w	a	m	ó	w	o	l	ó	</S>
ses	0.16204	0.110177	0.0500962	0.0290217	0.00895927	0.012408	0.0142334	0.0139521	0.0133477	0.0221559	0.0409301	0.0513314	0.064442	0.0740303	0.0615098	0.0465876	0.0399258	0.0240224	0.0190655	0.0247776	0.0185226	0.0216196	0.00987987	0.0175822	0.0133269	0.011362	0.00792043	0.00650216	0.0102708
voisins	0.0710273	0.0428934	0.0814392	0.187809	0.16931	0.126303	0.0433616	0.0197285	0.0122337	0.00743411	0.0126385	0.00747526	0.0139839	0.0166708	0.0108552	0.0118226	0.0156536	0.0110742	0.00709003	0.00663432	0.0150802	0.0072177	0.0115709	0.0308552	0.0318359	0.0119022	0.00807072	0.00499378	0.00303573
murmurent	0.0565307	0.022402	0.0283637	0.0393831	0.0304798	0.021269	0.0228873	0.0364822	0.0524731	0.0722088	0.0589729	0.0529149	0.0464178	0.0389226	0.0476011	0.0382726	0.0311009	0.037435	0.026824	0.0346481	0.0275233	0.0377013	0.0258662	0.0258367	0.0286081	0.0200637	0.0127287	0.016092	0.0099901
contre	0.041708	0.0298345	0.0255758	0.0275173	0.0258026	0.0310109	0.0604989	0.0576792	0.0622525	0.0655391	0.0860871	0.0914802	0.0636137	0.0559813	0.0566028	0.0197055	0.0150823	0.00616537	0.0102574	0.00526971	0.0103335	0.0147674	0.0162934	0.0150736	0.0150196	0.0145321	0.0116364	0.0246532	0.0400265
lui	0.0437287	0.0175008	0.02846	0.0367432	0.0443105	0.0415715	0.0359311	0.0384662	0.0377848	0.0366784	0.0333186	0.0324701	0.0379236	0.0405993	0.0490504	0.0466123	0.0467772	0.0376291	0.042013	0.0245743	0.0405762	0.0221316	0.0190373	0.019185	0.0192786	0.0204041	0.0234365	0.0319188	0.0518886
à	0.0318717	0.0208906	0.0223106	0.0225216	0.0299904	0.0379175	0.0347961	0.0289078	0.0283184	0.0202953	0.0174351	0.0254407	0.02365	0.0190783	0.025659	0.0245443	0.0424896	0.0453875	0.05454	0.0425519	0.057179	0.0348843	0.0314809	0.0310642	0.0317612	0.0351846	0.0436634	0.060831	0.0753548
cause	0.028962	0.0233086	0.0230996	0.0262983	0.0414527	0.0502272	0.0549551	0.0555968	0.0670396	0.0413796	0.0365128	0.0365088	0.0279159	0.0181118	0.0173892	0.0143438	0.0278701	0.0261157	0.0327222	0.0221554	0.0389373	0.0260173	0.0297653	0.0289377	0.0284773	0.0302884	0.0345522	0.0435481	0.0675111
de	0.0223528	0.0229658	0.0200928	0.0175736	0.0273692	0.0407812	0.0459882	0.0412457	0.0451937	0.0337199	0.0332694	0.0365686	0.0235066	0.013806	0.0141747	0.00999918	0.0179615	0.0220875	0.0293755	0.0257922	0.0329819	0.043269	0.0458497	0.0451799	0.0492463	0.0544089	0.060433	0.0583302	0.0664769
sa	0.030536	0.028505	0.0290491	0.0326638	0.0427148	0.0368089	0.0214648	0.0163857	0.0193515	0.0141329	0.0153337	0.0134664	0.0130018	0.0104433	0.00848964	0.0106089	0.0145333	0.017077	0.0197078	0.0169393	0.020027	0.0303622	0.052591	0.0578339	0.0609104	0.0759041	0.089747	0.0984706	0.10294
loquacité	0.0326143	0.026879	0.0225102	0.0218797	0.0221454	0.0219271	0.0200489	0.0172446	0.0174192	0.015524	0.0134647	0.0118632	0.0115108	0.0106528	0.0155391	0.0239931	0.033997	0.0433405	0.041399	0.0400968	0.0402639	0.0459825	0.0399169	0.0397128	0.0469514	0.0561832	0.0922844	0.0768132	0.097842
</S>	0.0290772	0.0251355	0.0268834	0.0244313	0.0239681	0.0223508	0.0157021	0.0113732	0.0086162	0.00738256	0.00549131	0.00472285	0.00391207	0.00372318	0.00381764	0.00431745	0.00743214	0.00635544	0.0169719	0.00827167	0.0200592	0.0469478	0.128822	0.0917691	0.0767889	0.0812858	0.0892571	0.113102	0.0920318
