 	o	k	i	n	d	á	ó	d	í	k	o	n	d	z	í	y	á	s	í	n	g	w	ω	ω	n	í	</S>
pêcher	0.00936797	0.00992903	0.0103255	0.0133425	0.0539937	0.055438	0.0776086	0.038664	0.042304	0.0407867	0.0437026	0.083554	0.0702548	0.0733287	0.0322917	0.0305552	0.0337506	0.0221095	0.0374602	0.0253768	0.0309715	0.0231862	0.0138659	0.0215665	0.0329691	0.0425449	0.0307519
le	0.00930212	0.0108312	0.0212593	0.0268966	0.0314224	0.0527629	0.0613224	0.0466432	0.0411698	0.0408467	0.0536272	0.086788	0.0771022	0.0600982	0.0400056	0.027652	0.0190196	0.0833968	0.0370961	0.0322664	0.0227085	0.0571874	0.0136455	0.0173768	0.0117518	0.00306958	0.0147516
protoptère	0.0181591	0.0128125	0.015002	0.0295696	0.0454172	0.0441087	0.0314544	0.0402026	0.0264914	0.03135	0.0321815	0.0320382	0.0262716	0.0430479	0.0211138	0.0568522	0.0363528	0.0532402	0.0736639	0.0630744	0.0758041	0.0641373	0.0187988	0.0224196	0.0399855	0.0216235	0.0248269
au	0.0307025	0.0362228	0.0341998	0.0412716	0.0484215	0.0331309	0.0185107	0.0194077	0.0151287	0.0198439	0.0270189	0.0441687	0.0268761	0.050872	0.0171322	0.0413364	0.0410965	0.030482	0.0451881	0.0310663	0.0473927	0.0335852	0.0345533	0.0475371	0.0524844	0.0471901	0.08518
harpon	0.0417745	0.0288296	0.0480255	0.0379072	0.0609631	0.0401798	0.0370911	0.0456132	0.0463633	0.0463864	0.0625525	0.0681504	0.0552048	0.0124599	0.00935977	0.0125577	0.005189	0.00705102	0.0143242	0.0190087	0.0266393	0.0203371	0.0199995	0.0282179	0.0692109	0.0196225	0.116981
est	0.0280366	0.0330808	0.050979	0.0288368	0.0287595	0.0237952	0.0213286	0.0189429	0.0189699	0.0165468	0.0182183	0.0281792	0.0251969	0.0297009	0.0132172	0.0185283	0.0161061	0.0268948	0.0230654	0.0296223	0.023624	0.047306	0.062812	0.0649172	0.0709213	0.0742557	0.158158
l'	0.117374	0.0839798	0.071135	0.046323	0.0272155	0.0191181	0.0105917	0.0104802	0.00817506	0.00787439	0.0109454	0.0132254	0.0122973	0.00827096	0.00689481	0.0062728	0.00627092	0.0130412	0.0205709	0.0332871	0.0478452	0.0487242	0.048441	0.0581922	0.0694994	0.0576463	0.136308
activité	0.0826675	0.0665305	0.0491373	0.0335308	0.0239804	0.0147556	0.0143884	0.0142941	0.0122596	0.012665	0.0159802	0.0159532	0.0146677	0.0103187	0.00918248	0.00825321	0.00661739	0.0107603	0.0124548	0.017657	0.0487087	0.0495247	0.0359706	0.0692154	0.102912	0.0747066	0.172908
lucrative	0.239438	0.107581	0.0320793	0.0167866	0.0114322	0.00927692	0.00827716	0.0077886	0.00960681	0.00796833	0.0117008	0.0164295	0.0132627	0.00632126	0.00446973	0.00297989	0.00316169	0.00636502	0.00876155	0.0149805	0.046303	0.0433498	0.0424264	0.0721188	0.0770772	0.053703	0.126354
des	0.301983	0.0885795	0.0283039	0.0130693	0.00698417	0.00669298	0.00626636	0.00559245	0.00671657	0.00656312	0.00935411	0.0147224	0.0129769	0.00580876	0.00498149	0.00222971	0.00312335	0.00968717	0.00576769	0.0184874	0.029014	0.0295729	0.0205167	0.0463398	0.0578151	0.0466428	0.212208
natifs	0.222084	0.0890122	0.0212474	0.00883388	0.00551257	0.00593192	0.00667976	0.00646667	0.00623595	0.0062681	0.00786101	0.0120102	0.00897206	0.00291224	0.00313759	0.00173321	0.00301574	0.00951936	0.00855533	0.0192223	0.033192	0.0336171	0.0329375	0.0689724	0.0832137	0.0668113	0.226044
de	0.13889	0.0563717	0.0277173	0.0210868	0.0272167	0.0267384	0.0178836	0.0220215	0.0177226	0.0160362	0.024153	0.0209261	0.0141977	0.00568426	0.00552141	0.0101366	0.0119104	0.0289161	0.0529557	0.0557531	0.0824114	0.0742204	0.0577737	0.0495153	0.0406764	0.0200157	0.073548
ngwooni	0.0966967	0.0498345	0.041693	0.0293913	0.017744	0.0155589	0.0137445	0.0099222	0.0105437	0.00976471	0.01427	0.0156618	0.0130924	0.0138238	0.0131051	0.0171135	0.0351592	0.0650267	0.0651935	0.071971	0.0567837	0.0548287	0.0428698	0.0518963	0.0487441	0.059917	0.0656499
</S>	0.111904	0.0499647	0.038601	0.0368794	0.0419624	0.046855	0.0319521	0.0362714	0.0265464	0.0263126	0.0320326	0.0206406	0.0177361	0.0128309	0.0190866	0.0235967	0.0314996	0.042276	0.0299485	0.0299824	0.0320444	0.0332065	0.0326138	0.0392032	0.0384248	0.0466968	0.0709317
