 	o	l	έ	r	i	a	s	a	á	n	i	s	á	n	d	é	e	y	é	m	b	í	n	ω	</S>
c'	0.0138999	0.0148949	0.0172341	0.0120405	0.0152421	0.0321676	0.0403871	0.0650446	0.0562107	0.0520579	0.0558466	0.0631237	0.0469094	0.0562512	0.0502575	0.0588028	0.0542309	0.052949	0.0406818	0.0303192	0.0261412	0.0220773	0.0290363	0.036143	0.0580507
est	0.0946573	0.0721358	0.0505902	0.0797701	0.0361253	0.0424569	0.0557936	0.0335264	0.0426557	0.0500797	0.0360117	0.0347446	0.041318	0.0329591	0.0424668	0.0184882	0.021069	0.0190889	0.0197958	0.021942	0.0245953	0.0288138	0.0381642	0.0294575	0.0332941
toi	0.0160035	0.00953195	0.0236766	0.0228418	0.0392143	0.0252	0.0184139	0.0190717	0.0138571	0.0162037	0.0182086	0.0160821	0.0151771	0.0318846	0.0246533	0.0701812	0.0349061	0.0869414	0.106276	0.100227	0.123762	0.0591142	0.0441565	0.0306069	0.0338086
qui	0.0196547	0.00902441	0.0223779	0.022904	0.0408585	0.0355821	0.0322446	0.038189	0.0236301	0.0133838	0.0199609	0.0183688	0.0281861	0.0337853	0.0599153	0.0909921	0.0682973	0.0675419	0.0675284	0.0540464	0.0498507	0.0443574	0.037435	0.0275187	0.0743665
lèche	0.0475656	0.0626533	0.0550975	0.0533606	0.0539045	0.0401958	0.0263293	0.0264238	0.0203439	0.0164719	0.0187315	0.0232701	0.0196333	0.0182919	0.042317	0.0616475	0.0550125	0.0566323	0.0446456	0.0251246	0.0204741	0.0202147	0.0381881	0.0329491	0.120522
les	0.037031	0.0661657	0.0497774	0.0579112	0.046686	0.049304	0.0495077	0.0606648	0.0465036	0.0279713	0.0281718	0.0299978	0.0296813	0.0181765	0.0457617	0.02772	0.0441343	0.0421809	0.0429709	0.0287519	0.0184423	0.0188906	0.0331859	0.029906	0.0705055
assiettes	0.0644001	0.0721786	0.0693649	0.0613347	0.0468561	0.0347392	0.0213773	0.030461	0.0283203	0.0235815	0.016065	0.0161039	0.0235271	0.0210517	0.0232366	0.032718	0.0254566	0.033268	0.037255	0.0357931	0.0318417	0.0445834	0.0482977	0.0432725	0.114916
dans	0.0854999	0.0658979	0.0416182	0.0352887	0.0237033	0.0125466	0.00773665	0.00732649	0.00680067	0.00693669	0.00717969	0.00973779	0.00927945	0.0101293	0.0192398	0.0250401	0.0340102	0.0503191	0.0595342	0.0763446	0.0640959	0.0683897	0.0784311	0.075662	0.119252
cette	0.115397	0.0654413	0.041461	0.030955	0.020048	0.0117842	0.00879187	0.0054225	0.00525471	0.00537569	0.00536288	0.00499371	0.00647088	0.00983796	0.0112823	0.0260941	0.0250893	0.0393023	0.0530515	0.0772642	0.0720152	0.0609245	0.0661401	0.0733185	0.158922
maison	0.0658833	0.0276687	0.0165361	0.011055	0.00753508	0.00473285	0.00464729	0.00681525	0.00659373	0.00626401	0.00543121	0.00519059	0.00740469	0.0111362	0.0135701	0.0156362	0.0229497	0.0272286	0.0423621	0.0826202	0.0830674	0.106499	0.107051	0.089283	0.222839
</S>	0.0500155	0.0428496	0.02832	0.0243384	0.0141705	0.0100129	0.00705719	0.00599108	0.00505206	0.00523054	0.00664125	0.00635492	0.0063443	0.00964156	0.010683	0.0212029	0.0309585	0.0458623	0.0666032	0.0786424	0.081877	0.102102	0.103426	0.105832	0.13079
