 	e	m	a	m	í	l	í	y	a	b	e	a	y	é	é	d	í	o	t	é	m	a	</S>
cette	0.0125436	0.0115676	0.0124974	0.0128079	0.0160485	0.0315383	0.0365018	0.052037	0.0533092	0.0542488	0.0580194	0.056206	0.0491744	0.0495481	0.0581221	0.0542059	0.072959	0.0621153	0.060804	0.0548318	0.0504782	0.0416661	0.0387694
manière	0.0134258	0.0120083	0.0321305	0.024579	0.015007	0.0452657	0.0531492	0.0725563	0.0979817	0.124336	0.153621	0.0644729	0.054731	0.0337064	0.0321402	0.0236322	0.0394912	0.0425335	0.0219934	0.025774	0.0112542	0.00462372	0.00158722
de	0.184171	0.118367	0.109343	0.0804711	0.0585799	0.0466604	0.032629	0.0331989	0.0320324	0.0194863	0.0112185	0.0121304	0.0139466	0.0318251	0.0269288	0.0280867	0.0143333	0.0181724	0.0220589	0.0229895	0.0238909	0.0226837	0.0367955
goûter	0.0667367	0.0781472	0.0951213	0.0943218	0.0426647	0.0581043	0.0169559	0.0311917	0.0402552	0.0229396	0.0359028	0.0190436	0.0257425	0.0539045	0.0429714	0.0392307	0.0369368	0.0248303	0.0173396	0.0208879	0.0232087	0.025077	0.0884857
la	0.0359267	0.041679	0.0656803	0.0637801	0.0430191	0.04546	0.0299315	0.0185959	0.0140793	0.0169952	0.0253452	0.0254636	0.0220676	0.0448435	0.0516182	0.0565442	0.05306	0.0514838	0.040101	0.0460827	0.0552264	0.0472063	0.10581
nourriture	0.0320671	0.0499209	0.0573107	0.0671356	0.0604298	0.0798961	0.0682247	0.0696169	0.0687212	0.0465613	0.0321081	0.0284404	0.0124187	0.0189991	0.0436742	0.0325778	0.0260206	0.0219579	0.0161056	0.0196467	0.0204678	0.0313373	0.0963616
c'	0.0816714	0.0908801	0.0942028	0.0838603	0.0760684	0.0743931	0.0613522	0.045011	0.0391771	0.0193298	0.0117678	0.0143031	0.0081214	0.00667376	0.00700804	0.00653217	0.0073469	0.0128593	0.0134179	0.0221281	0.0237935	0.0559784	0.144123
est	0.05747	0.0965757	0.106648	0.10669	0.0787689	0.0905709	0.0558898	0.0467796	0.0361136	0.0267936	0.0134737	0.0110012	0.0068995	0.00638979	0.0114661	0.00844949	0.00683991	0.0107297	0.010874	0.0157782	0.0162152	0.0353422	0.144241
de	0.144399	0.10419	0.0682044	0.0486252	0.0321674	0.0261792	0.0134774	0.0136732	0.0142197	0.0105894	0.0102061	0.00777198	0.00580285	0.00709759	0.019992	0.0179602	0.0329531	0.0444564	0.0466977	0.0624584	0.0675602	0.0824569	0.118862
l'	0.133151	0.0968936	0.0748111	0.0461918	0.0299892	0.0190796	0.0102316	0.010441	0.0105504	0.0116565	0.0127221	0.00997948	0.0100631	0.0125504	0.0121256	0.0133004	0.031414	0.0364173	0.041686	0.0607111	0.0875383	0.0962578	0.132239
avidité	0.0867003	0.0636527	0.0410611	0.0247624	0.0131807	0.0109454	0.00695752	0.00657506	0.00625045	0.00603442	0.00649591	0.00363593	0.00715649	0.00657362	0.00567725	0.00561168	0.0192106	0.0274035	0.0467081	0.0877662	0.145446	0.17243	0.199766
</S>	0.13743	0.0953842	0.0826788	0.0509844	0.0430471	0.0449029	0.0299739	0.025451	0.0208776	0.0165435	0.017811	0.0134324	0.0125709	0.018269	0.0105893	0.0131572	0.0184597	0.0214876	0.0215864	0.0308815	0.0525833	0.0768489	0.145049
