 	o	t	s	ω	ώ	ó	p	f	e	e	s	i	w	á	i	b	h	ó	m	b	ó	s	é	l	é	n	g	é	</S>
le	0.0125013	0.0132236	0.0149498	0.0162654	0.0163516	0.0214211	0.030885	0.0347622	0.0407252	0.0439019	0.0489068	0.0537581	0.102745	0.0828458	0.0863007	0.04559	0.043113	0.0396317	0.0205732	0.0279614	0.0191411	0.0303741	0.0151448	0.0172328	0.0232431	0.0192688	0.0319097	0.0235588	0.0237136
coup	0.0339601	0.0960777	0.129375	0.175562	0.130531	0.0639596	0.0505238	0.0532579	0.0529369	0.0363414	0.029233	0.00739105	0.0106762	0.0110423	0.0213545	0.0299295	0.0100915	0.00886751	0.00280881	0.00563481	0.010464	0.0117009	0.00337152	0.00369277	0.00420479	0.00210119	0.00219125	0.0012149	0.00150436
de	0.0483644	0.0577358	0.0244326	0.0240475	0.0174201	0.0200033	0.0220183	0.0245939	0.0354807	0.0300513	0.029561	0.0286032	0.0170571	0.0224377	0.0260678	0.0639654	0.123222	0.0455742	0.0681197	0.0705855	0.0552287	0.0522281	0.0325062	0.0234935	0.0164355	0.00854526	0.00442331	0.00557041	0.00222698
poing	0.0286535	0.0689967	0.069116	0.0875389	0.0503886	0.0425745	0.0327809	0.0269498	0.028179	0.0384079	0.0209093	0.0210653	0.0149905	0.014784	0.0264971	0.0252695	0.0430764	0.0572992	0.0371247	0.0342695	0.0211102	0.0249458	0.0268979	0.0182039	0.0154207	0.021304	0.0169729	0.0335957	0.0526777
lui	0.0737314	0.0893973	0.0732157	0.0713405	0.0640769	0.0462034	0.0336868	0.0285296	0.0256484	0.0320884	0.0275544	0.035531	0.0340684	0.0194671	0.0281794	0.0275759	0.0474819	0.0294519	0.0207369	0.0135811	0.0123745	0.010106	0.00943289	0.0069153	0.00587641	0.00946885	0.0159547	0.02286	0.0854647
a	0.0613838	0.051873	0.0433261	0.0433062	0.0470833	0.0486591	0.0420254	0.0336548	0.0278708	0.0270547	0.0328862	0.0331321	0.0571704	0.0231944	0.063599	0.03463	0.051104	0.0406624	0.0148609	0.0220631	0.017915	0.0209683	0.0118765	0.0137157	0.013295	0.0215565	0.0206528	0.0198748	0.0606057
donné	0.121688	0.0824965	0.0511514	0.0476118	0.0489476	0.0460485	0.0359395	0.0332785	0.0267503	0.0370347	0.0209748	0.017554	0.0149877	0.0078306	0.0234194	0.0132607	0.0287758	0.0287281	0.0163972	0.0216209	0.019122	0.0221421	0.0148564	0.0194127	0.020061	0.0283735	0.0314748	0.0352573	0.0848042
une	0.069249	0.0457858	0.031472	0.0330987	0.0361478	0.0374206	0.0376899	0.0373377	0.0259101	0.023368	0.0183844	0.0206123	0.0287449	0.013198	0.0227797	0.00969752	0.0292837	0.0483774	0.0154573	0.0142325	0.0152958	0.0230007	0.0103329	0.0170302	0.0223066	0.0393124	0.0495471	0.0807932	0.144134
enflure	0.0669323	0.0814527	0.0655336	0.0685769	0.0279866	0.0141735	0.0185487	0.0299107	0.0254005	0.0211042	0.0148556	0.00580884	0.00847538	0.00423289	0.0169565	0.00648685	0.0190558	0.0209919	0.00427861	0.00785846	0.0265803	0.0315073	0.00702902	0.0177884	0.0178951	0.0273476	0.0808339	0.0409694	0.221429
à	0.10876	0.0834681	0.0514454	0.0447029	0.0295189	0.0350532	0.0392893	0.048271	0.0582628	0.0604068	0.0426726	0.0377216	0.0155632	0.00659771	0.00681607	0.00252916	0.019669	0.0156524	0.00794757	0.00528603	0.00830148	0.00950685	0.00669998	0.00709295	0.00617078	0.0114688	0.0175111	0.043667	0.169947
la	0.0590836	0.0429637	0.0384619	0.0361316	0.0286662	0.0150545	0.0098061	0.00876595	0.0076436	0.00738295	0.00585024	0.0049407	0.00432934	0.00416851	0.00639876	0.00307115	0.00710312	0.0162958	0.0203625	0.0337775	0.0318748	0.0467081	0.0405945	0.0462797	0.0470728	0.077689	0.090291	0.110176	0.149056
face	0.0614479	0.050755	0.0452825	0.036256	0.0175615	0.0117446	0.00992861	0.00886637	0.00664778	0.00675428	0.00437612	0.00297247	0.00211093	0.00133059	0.00259305	0.00144707	0.0043946	0.00656819	0.00482335	0.0070396	0.0166982	0.0269254	0.0122762	0.0382541	0.0399061	0.0704482	0.153326	0.153308	0.195957
</S>	0.162711	0.0915975	0.0562062	0.0407912	0.0289231	0.0239167	0.0260317	0.0255549	0.0238722	0.025296	0.0108262	0.00744032	0.00276006	0.00237068	0.00625874	0.00709943	0.0196479	0.0271894	0.0221057	0.0146354	0.0159335	0.0186466	0.0245183	0.0195889	0.0179626	0.0233659	0.0357643	0.0508923	0.168094
