 	e	f	ú	l	á	é	d	i	p	ó	s	á	o	b	h	é	m	b	á	ó	m	w	é	s	é	k	a	á	</S>
l'	0.00742983	0.00872415	0.00943169	0.0114866	0.0123199	0.0208311	0.0190496	0.0282777	0.0395402	0.0449412	0.0556697	0.0450521	0.077809	0.0900154	0.0622547	0.0337159	0.0129587	0.0133775	0.0148318	0.0248106	0.0161441	0.0306518	0.0468197	0.0512861	0.0569406	0.0556749	0.0532543	0.0345866	0.0221144
albinos	0.0431998	0.0643327	0.0634625	0.0200406	0.018777	0.0378946	0.0225546	0.0292496	0.0278485	0.0438911	0.0453959	0.0487914	0.0806419	0.0715437	0.0659263	0.038379	0.0496122	0.0495254	0.0306851	0.0264548	0.0118312	0.00778465	0.0148331	0.0346615	0.0166727	0.0110808	0.0101854	0.0104161	0.00432771
n'	0.109003	0.0402509	0.032507	0.0178666	0.0207211	0.0537591	0.0264536	0.00973707	0.0107178	0.0101033	0.014319	0.0213441	0.020534	0.034312	0.0467918	0.0438977	0.0374166	0.0117899	0.0230676	0.0560123	0.0162134	0.0665433	0.0810647	0.0527777	0.0455432	0.0515641	0.0241413	0.0150736	0.00647414
aime	0.0469079	0.0529296	0.107406	0.117938	0.114213	0.137967	0.0521359	0.017371	0.0157294	0.0125714	0.0213387	0.0302017	0.037034	0.0551866	0.040092	0.0182378	0.0190521	0.013993	0.011155	0.00844652	0.00542163	0.00866001	0.0131945	0.0126823	0.00784487	0.00734428	0.0045553	0.00397502	0.0064151
pas	0.0304083	0.0351559	0.0346034	0.0349571	0.0391705	0.0541173	0.038722	0.0485142	0.0459502	0.0376097	0.0408146	0.0355202	0.0277851	0.0288282	0.0323341	0.0339767	0.0492281	0.0541743	0.0419214	0.0363924	0.0270027	0.0185116	0.0252153	0.0237481	0.012309	0.0177893	0.0166313	0.0335196	0.045089
se	0.0389253	0.0420111	0.0358999	0.0384812	0.039809	0.0312299	0.0232334	0.0243877	0.0250008	0.0226194	0.0223405	0.031126	0.026525	0.0284976	0.0412773	0.0633048	0.0632366	0.0587774	0.0253482	0.0432063	0.0191554	0.0269893	0.0351225	0.0229067	0.0282734	0.0212789	0.0308402	0.0307365	0.0594596
promener	0.0686993	0.048464	0.0366427	0.0334382	0.0307269	0.0285517	0.032327	0.0315056	0.0328127	0.0259814	0.0229562	0.0220354	0.0203201	0.0228914	0.0253705	0.0281857	0.0334127	0.018349	0.0159264	0.0262119	0.01863	0.019275	0.0345949	0.0392491	0.0424852	0.0386874	0.0525726	0.0682664	0.0814306
sous	0.112224	0.0678355	0.0432879	0.0394597	0.0381504	0.0266935	0.0253464	0.0272214	0.0303014	0.0300183	0.0311245	0.0341928	0.03164	0.0368912	0.0421088	0.0509369	0.0374648	0.0293812	0.0167409	0.0278933	0.014965	0.01019	0.0242228	0.0166723	0.0193936	0.0104135	0.0201925	0.0294743	0.0755631
le	0.0604117	0.0641491	0.0596229	0.0713328	0.0599207	0.0326424	0.0223435	0.027015	0.0278571	0.0260273	0.0264506	0.0318951	0.0241676	0.0254554	0.0233352	0.0279983	0.0186279	0.0130027	0.00753806	0.0167108	0.0123463	0.0192926	0.0246279	0.0293037	0.0307047	0.0295606	0.0310972	0.0407967	0.115766
soleil	0.0806962	0.0710214	0.0527059	0.026075	0.0133277	0.0139045	0.0119643	0.0204774	0.0226738	0.0336013	0.0397298	0.0526202	0.0474665	0.0312975	0.0172447	0.0159733	0.024046	0.0191995	0.0181153	0.0168637	0.0179752	0.011189	0.0154358	0.0191655	0.014408	0.0130187	0.0205225	0.0700514	0.18923
</S>	0.217044	0.112145	0.0964148	0.0737019	0.0350786	0.0153345	0.0129234	0.0107792	0.0109701	0.013315	0.0108761	0.00838665	0.00737673	0.0063131	0.00564086	0.00599606	0.00880039	0.00623611	0.00416714	0.00701471	0.00774	0.00690823	0.0139329	0.026029	0.017872	0.0234355	0.0270867	0.0459046	0.162577
