 	t	á	á	y	a	b	í	s	í	i	s	a	b	h	i	í	m	i	y	a	á	i	k	y	é	n	á	</S>
notre	0.0310002	0.037113	0.0313271	0.0391642	0.0202394	0.0184119	0.0142792	0.0119767	0.016074	0.0198834	0.0576211	0.0352592	0.0491567	0.0855049	0.0993978	0.0892667	0.0734392	0.0326475	0.0373209	0.0289826	0.0262256	0.0229386	0.0260426	0.0199938	0.0224764	0.0160461	0.0164158	0.0217952
père	0.0716458	0.0815487	0.107182	0.128238	0.207903	0.178315	0.108719	0.0475453	0.0141486	0.00875631	0.00307898	0.00390075	0.00317761	0.00168573	0.00147139	0.00181305	0.0018668	0.00170657	0.00287953	0.00245083	0.00541796	0.00416098	0.00259497	0.00506956	0.00211827	0.00140614	0.000773956	0.000424894
a	0.0211862	0.0189475	0.0209167	0.0157154	0.0215028	0.0200899	0.0367249	0.0749139	0.0645556	0.0742002	0.043493	0.069619	0.0429423	0.075771	0.0655546	0.0735183	0.0375925	0.0301125	0.0217905	0.0255545	0.0340089	0.0227878	0.0212983	0.0183423	0.0172147	0.0104667	0.013706	0.0074739
des	0.0294747	0.0147327	0.0155071	0.0175322	0.0184854	0.0161321	0.0218455	0.0255215	0.0376753	0.0435815	0.0348563	0.047385	0.0555808	0.055415	0.0506331	0.0672985	0.0531215	0.0713125	0.0573112	0.0284227	0.0321806	0.023541	0.0198022	0.0203864	0.0223558	0.0257739	0.0453665	0.048769
déchirures	0.0289199	0.0248158	0.0266361	0.0264989	0.0258075	0.027618	0.0306906	0.0332783	0.0394366	0.0444161	0.0411607	0.0340204	0.0200834	0.0264465	0.0231644	0.0438621	0.0426462	0.0500329	0.0467873	0.0430231	0.0457187	0.0443959	0.0445458	0.0469326	0.0458258	0.0323051	0.0246869	0.0362442
au	0.0191565	0.0141885	0.0164719	0.0181746	0.0187776	0.0195363	0.028176	0.0299125	0.0485387	0.045705	0.0377276	0.0453074	0.0320382	0.0174091	0.0157246	0.0131498	0.0152143	0.0382648	0.0421975	0.0292217	0.0411565	0.0460889	0.0362056	0.0565514	0.0517638	0.0563536	0.074599	0.0923885
niveau	0.0161743	0.014492	0.0152774	0.0158237	0.0156247	0.0163558	0.0188456	0.0198751	0.0328182	0.0410998	0.0424155	0.0287835	0.0263248	0.0255586	0.0291728	0.0392381	0.049801	0.0714835	0.0634539	0.054353	0.053025	0.0478673	0.0365788	0.0507543	0.0340713	0.0325834	0.0359806	0.0721682
des	0.0299693	0.0196519	0.0205924	0.0219178	0.0277963	0.0231208	0.0346442	0.0242523	0.0452026	0.0354363	0.0257426	0.0282304	0.0210999	0.0129555	0.0149579	0.0165877	0.0185255	0.0347074	0.0472506	0.0270086	0.0308745	0.0500224	0.046447	0.0478781	0.050176	0.0584245	0.0905278	0.0959998
articulations	0.0262748	0.0208126	0.0214193	0.022891	0.0216525	0.0211646	0.0151433	0.0120432	0.0117596	0.0167123	0.0119482	0.0141346	0.0151864	0.0194019	0.0198677	0.0186366	0.0160856	0.0207939	0.0353233	0.0311223	0.0419529	0.0596076	0.0572514	0.0841718	0.0862206	0.0905309	0.0907902	0.0971009
des	0.0396712	0.0201301	0.0197126	0.0210768	0.0199662	0.0160868	0.0289585	0.0430882	0.0580001	0.0660751	0.0504882	0.0360539	0.0240126	0.0185109	0.0106578	0.0178921	0.0164713	0.0191023	0.0196407	0.0128612	0.0156213	0.0145774	0.0229829	0.0235435	0.0282037	0.0729103	0.0982921	0.165412
orteils	0.0473993	0.0320023	0.036361	0.0383576	0.0421839	0.027709	0.0159376	0.0143394	0.0140235	0.0146584	0.0120654	0.0127698	0.0149626	0.0110608	0.0116103	0.0114939	0.0110401	0.0147064	0.0177767	0.0199642	0.0236716	0.0315642	0.0352162	0.0635368	0.0686642	0.103428	0.117344	0.136153
</S>	0.0696085	0.0426522	0.0464903	0.0427334	0.0432709	0.0352155	0.048779	0.0652958	0.0570355	0.0410575	0.027728	0.0308064	0.017555	0.0176545	0.0191002	0.0198979	0.0205416	0.0216937	0.0166666	0.0116832	0.0195418	0.016506	0.0206598	0.0249289	0.0302049	0.0385615	0.0650638	0.0890675
