 	l	e	s	ώ	m	ω	l	á	p	o	o	l	í	i	p	é	n	d	á	l	á	m	w	á	s	í	</S>
l'	0.0628509	0.0366565	0.0372862	0.0282974	0.0303577	0.0364647	0.0232336	0.0366271	0.0499757	0.0376593	0.0338231	0.0381343	0.0411074	0.0554068	0.063515	0.0633882	0.0350645	0.0248495	0.0239942	0.0321118	0.0263085	0.0259482	0.0229298	0.0203433	0.0341405	0.0424898	0.0370358
amour	0.021649	0.0374018	0.0612219	0.074449	0.0934661	0.0625389	0.0461695	0.0112039	0.0107102	0.00790122	0.00954163	0.0146235	0.0224208	0.04478	0.0859092	0.078245	0.0703138	0.0530857	0.051584	0.0821715	0.0334009	0.0137338	0.00183269	0.00270106	0.00486205	0.00247182	0.00161112
de	0.0487864	0.0358413	0.0291121	0.0220425	0.0208992	0.0209995	0.0470406	0.043611	0.0356301	0.0473193	0.039614	0.0340875	0.0323226	0.0250227	0.0431454	0.0807513	0.0665597	0.0441833	0.0689738	0.0928606	0.0489844	0.0151001	0.0174073	0.0106787	0.0111861	0.0122276	0.00561278
la	0.0252775	0.0274657	0.0263593	0.0273096	0.0259444	0.0230522	0.0217308	0.0240121	0.0136753	0.00998831	0.0163146	0.0184341	0.0162637	0.0163705	0.0147989	0.021391	0.0300263	0.036391	0.0576827	0.0524774	0.0441056	0.0473667	0.054515	0.0776717	0.0980918	0.0709821	0.102302
patrie	0.0265456	0.0227574	0.032523	0.0253544	0.0379484	0.0445193	0.0467886	0.037545	0.0360279	0.0298435	0.0416916	0.0271398	0.0436993	0.0589528	0.0921662	0.0540652	0.0263017	0.0122222	0.0224566	0.0601302	0.0306249	0.0398823	0.0143594	0.0314287	0.0496099	0.0317048	0.0237113
est	0.0561476	0.0314844	0.022832	0.0238123	0.0217316	0.019123	0.018865	0.022985	0.0315169	0.0564044	0.0502722	0.0444181	0.0514193	0.0522977	0.051992	0.0700735	0.0566626	0.0294058	0.0376905	0.0283661	0.0248373	0.031486	0.0186513	0.0208368	0.0292044	0.0197897	0.0776945
plus	0.0627659	0.040253	0.0364728	0.0353296	0.0462179	0.05654	0.0630972	0.0286448	0.0267317	0.0295232	0.0378073	0.0293282	0.0426922	0.0597203	0.0642603	0.0679279	0.0502412	0.0337736	0.0395008	0.0390937	0.0171625	0.0245639	0.00753061	0.0110802	0.02601	0.00916816	0.0145632
fort	0.0188925	0.0163493	0.0166236	0.0166616	0.0186118	0.0195696	0.0179056	0.0133085	0.0115058	0.0148375	0.0207509	0.0180423	0.0297587	0.0405873	0.0611451	0.0636232	0.0266034	0.0245252	0.0311212	0.0809152	0.06169	0.086819	0.0527718	0.0490136	0.0622267	0.0447647	0.0813759
de	0.0265227	0.0230632	0.0246047	0.0250248	0.0342615	0.0413242	0.0418911	0.030631	0.0260864	0.0263978	0.0295986	0.0248368	0.0258886	0.0200741	0.0273294	0.0317073	0.0344788	0.0344746	0.0227553	0.0405189	0.0252711	0.0499087	0.025648	0.0288065	0.0795587	0.0544118	0.144926
celui	0.0291584	0.027748	0.027424	0.0272292	0.0251974	0.017924	0.0121503	0.011409	0.0108371	0.0119126	0.0126091	0.00852988	0.00892025	0.00783934	0.00948869	0.0144772	0.0118516	0.0150074	0.0294997	0.0617182	0.0578716	0.0785981	0.0847662	0.0932028	0.0990156	0.098764	0.10685
de	0.0335377	0.0280418	0.0269022	0.0270046	0.0261858	0.0227359	0.01295	0.0106686	0.00772964	0.0081305	0.00712761	0.00537315	0.00567424	0.0056261	0.00677159	0.0103697	0.0142088	0.027563	0.0359972	0.0602284	0.0560684	0.0837801	0.0855611	0.0969621	0.0970586	0.0858518	0.111891
la	0.0353689	0.0280695	0.0268451	0.0274217	0.0272149	0.0250044	0.0162516	0.0133073	0.00895189	0.00926554	0.00722189	0.00549912	0.00602392	0.00562232	0.00757063	0.0120148	0.013305	0.0305831	0.0289407	0.0615625	0.0536002	0.0732624	0.0847419	0.093725	0.0971379	0.092786	0.108702
femme	0.0392305	0.0307852	0.0293419	0.0285611	0.0238812	0.0147018	0.0118961	0.0119042	0.0100179	0.00901	0.00897681	0.00718593	0.00887577	0.00663033	0.00941951	0.00949582	0.00384671	0.00510617	0.0060657	0.0343548	0.02906	0.0457037	0.0692103	0.0793352	0.0975577	0.16279	0.207056
</S>	0.0391404	0.0304351	0.0291332	0.029747	0.0281047	0.0258509	0.0232638	0.0203599	0.0116402	0.0103346	0.0132391	0.00818172	0.00926094	0.00935637	0.00806515	0.0117694	0.0122755	0.0200995	0.0194924	0.0289232	0.0339604	0.0493622	0.0575001	0.0679851	0.0924527	0.0944788	0.215588
