 	n	g	á	i	d	í	l	o	t	á	m	á	n	d	z	ω	i	</S>
j'	0.0613826	0.186461	0.167765	0.111091	0.128462	0.11944	0.0554067	0.0251062	0.0248416	0.0228307	0.0142898	0.0230463	0.0116506	0.0155601	0.00865327	0.00843446	0.00783778	0.00774122
ai	0.234273	0.0823912	0.0752542	0.0959634	0.0519386	0.0570783	0.0409161	0.0168488	0.0322304	0.0542607	0.066828	0.0477686	0.0243381	0.0143908	0.0168266	0.0182283	0.029572	0.0408926
un	0.0513648	0.0314168	0.0365206	0.0413008	0.0383072	0.0391162	0.0140039	0.0223986	0.0281229	0.0508256	0.0745973	0.0800363	0.076514	0.0590461	0.0691235	0.0913096	0.0902086	0.105787
fusil	0.0245337	0.0143703	0.0183161	0.00780147	0.00525457	0.00598204	0.00690951	0.0179802	0.0332268	0.060729	0.136562	0.155293	0.116362	0.0860117	0.0772327	0.0503555	0.0568655	0.126214
pour	0.0180697	0.0133519	0.0204573	0.0136825	0.0153042	0.0266076	0.0343496	0.0324052	0.0437722	0.0477805	0.0598242	0.0693454	0.0562986	0.056842	0.0794495	0.0871323	0.0991826	0.226145
la	0.044313	0.0307744	0.0246824	0.0243707	0.0171635	0.0334786	0.0359402	0.0361755	0.0290782	0.0260686	0.032631	0.048759	0.0626387	0.0776828	0.0948317	0.137927	0.131541	0.111945
chasse	0.0323518	0.069551	0.0403903	0.0337713	0.0260299	0.0238982	0.0243217	0.0294327	0.026567	0.0299874	0.0559052	0.0532852	0.0761862	0.0582669	0.0784446	0.102384	0.078572	0.160655
aux	0.170344	0.161526	0.10153	0.0771363	0.0253627	0.0212199	0.022233	0.0193592	0.0167523	0.0164747	0.0204809	0.0184547	0.0328202	0.046514	0.0549504	0.0551932	0.0545183	0.085131
éléphants	0.0456331	0.0384247	0.0363079	0.0250171	0.0135476	0.012937	0.0133519	0.0122399	0.0116754	0.0162207	0.0265177	0.062284	0.103892	0.0624075	0.0785808	0.143192	0.14389	0.153881
</S>	0.0395625	0.0238147	0.0206436	0.0234645	0.0380965	0.0334218	0.0259799	0.0227158	0.018674	0.0187319	0.0202049	0.0237188	0.0420005	0.0572716	0.0894041	0.146583	0.184058	0.171653
