 	e	k	y	έ	n	g	í	s	í	l	í	y	á	w	a	y	é	m	í	b	h	i	i	y	í	í	m	í	i	k	ó	a	</S>
sa	0.0151177	0.0254311	0.0235527	0.0295265	0.0366098	0.0229136	0.022786	0.0296385	0.0304195	0.0420923	0.0477423	0.0517277	0.0697669	0.0350767	0.0402887	0.0288216	0.0259923	0.0238898	0.0222106	0.0268481	0.0242322	0.0156775	0.0184162	0.0176551	0.01832	0.0150332	0.0235867	0.0257606	0.0414392	0.0459398	0.0425703	0.0357224	0.0251943
manière	0.0160255	0.0129298	0.0474569	0.092998	0.0946163	0.0216455	0.042566	0.0144029	0.0250011	0.0278722	0.0282233	0.0398505	0.0728346	0.0314088	0.0477409	0.0306376	0.0205164	0.0293252	0.0206251	0.0275668	0.019735	0.0213897	0.0209651	0.0107664	0.0265831	0.0188936	0.0240438	0.0306699	0.0266802	0.0213429	0.021904	0.00848246	0.00430025
de	0.219481	0.0841182	0.0666503	0.0486404	0.0438985	0.0667276	0.0454569	0.0358853	0.047759	0.0144421	0.0132075	0.0143227	0.0113963	0.00657694	0.00749695	0.0127243	0.0234713	0.0238543	0.0165567	0.0266537	0.0260133	0.0169033	0.0147559	0.0211208	0.0146907	0.016862	0.00634067	0.00735808	0.00772994	0.00659185	0.00857044	0.0079236	0.0158189
contrôler	0.0477255	0.0319634	0.0296744	0.0279035	0.0472709	0.0520893	0.0367953	0.0360787	0.0381872	0.0436228	0.0701766	0.072273	0.117469	0.0373455	0.0491317	0.0162363	0.0161211	0.0116174	0.0205024	0.0173149	0.021252	0.0223873	0.0222744	0.0239421	0.0161099	0.00812653	0.00442896	0.00458709	0.0071638	0.00661045	0.00971602	0.00901202	0.0248901
là	0.0787978	0.0682083	0.0606551	0.0446354	0.0644729	0.0653235	0.0437621	0.0524587	0.0457487	0.0395673	0.0338075	0.0280332	0.0371997	0.00638699	0.00820135	0.00807674	0.0122425	0.0141375	0.0240255	0.0322982	0.0235844	0.0261583	0.0205571	0.0151845	0.0176388	0.0281149	0.0113924	0.0117601	0.0110691	0.00983973	0.0108106	0.0122523	0.0335989
laissera	0.046813	0.0566495	0.055368	0.0630531	0.0652788	0.0475962	0.0336774	0.0333055	0.0248054	0.022579	0.0170725	0.011234	0.00761096	0.00488441	0.00805378	0.0112287	0.0144495	0.0217001	0.0273918	0.0262493	0.0224365	0.0257398	0.020006	0.0190122	0.015785	0.0167147	0.0181376	0.022607	0.0234315	0.0234943	0.0300746	0.0326409	0.130919
passer	0.029446	0.0297613	0.034306	0.0358514	0.026307	0.0342443	0.0211864	0.0316605	0.0241513	0.0237882	0.0162705	0.0139492	0.0174021	0.0156306	0.025927	0.0338024	0.0195491	0.0295047	0.0306754	0.0315374	0.0301328	0.0326374	0.0292161	0.0207124	0.0252461	0.0183097	0.0278398	0.0349514	0.0423087	0.0405024	0.0424907	0.0426307	0.0880711
plusieurs	0.0312182	0.039774	0.0566658	0.0658122	0.0850374	0.0663822	0.0434783	0.0399032	0.0401939	0.0406577	0.0245605	0.0165417	0.0249189	0.00639723	0.017364	0.0275749	0.0117756	0.0324681	0.0290046	0.0273232	0.0199208	0.0217774	0.0180214	0.00955462	0.0121517	0.00628279	0.00989399	0.0062152	0.00527704	0.00748218	0.0179325	0.0247624	0.113676
tricheurs	0.0351152	0.0450108	0.0452255	0.0480536	0.0431349	0.0281499	0.0316402	0.0309102	0.0266464	0.0204236	0.0226296	0.0298871	0.0222789	0.0163188	0.0155866	0.0138365	0.00779153	0.012588	0.0167025	0.0120604	0.0137617	0.0150515	0.0195105	0.0170965	0.0158089	0.0137613	0.0203655	0.0179444	0.0267316	0.033958	0.052938	0.0476577	0.181424
</S>	0.0771867	0.0449926	0.0530239	0.045511	0.0412451	0.0396406	0.0414916	0.0552846	0.0677154	0.0385825	0.0287431	0.0187014	0.0129471	0.00848543	0.0112441	0.00745587	0.00646594	0.00680364	0.0102158	0.00944757	0.012732	0.0146464	0.0186283	0.0172959	0.00755896	0.0093761	0.00960293	0.00594545	0.00911559	0.0153409	0.0285487	0.0352405	0.190784
