 	m	o	r	o	y	a	s	i	d	á	w	ó	á	m	i	k	á	m	b	á	o	k	ω	n	i	s	i	w	a	</S>
ce	0.00891467	0.0111059	0.00950201	0.0116004	0.0108171	0.00778571	0.0203097	0.0540479	0.0624947	0.0532911	0.105725	0.0786947	0.0713113	0.0686826	0.0406282	0.0227511	0.0293244	0.0211943	0.0275699	0.0227523	0.029338	0.020666	0.0237094	0.0292657	0.0219866	0.0294387	0.0232863	0.0246144	0.0391662	0.0200258
malade	0.0549153	0.09405	0.101098	0.0578769	0.0329117	0.0174584	0.0371922	0.0334187	0.0523827	0.0178358	0.0272777	0.0143877	0.0107602	0.0143749	0.0125736	0.00791399	0.00402255	0.00751212	0.0173596	0.0217377	0.0462771	0.0275003	0.0550366	0.0811686	0.054629	0.0426677	0.0335154	0.0116596	0.00396372	0.00652262
du	0.0574019	0.0628028	0.0558694	0.0312284	0.0267754	0.0248811	0.0385434	0.0795209	0.0620513	0.0447063	0.0195188	0.0300392	0.0188621	0.0242706	0.028897	0.0257083	0.0331724	0.0307579	0.0453378	0.05924	0.021054	0.0144926	0.0326742	0.0399212	0.0140624	0.0342906	0.0141883	0.00837471	0.014134	0.00722291
sida	0.0395883	0.0512216	0.0523777	0.0427167	0.0615456	0.0571044	0.0661941	0.0796357	0.0674581	0.038542	0.0374089	0.0482338	0.0418335	0.0374006	0.0338587	0.0291884	0.0126164	0.0343303	0.0207303	0.0222839	0.0115494	0.00932975	0.0119406	0.00976356	0.00741124	0.00849487	0.00973307	0.00716845	0.0105723	0.0397679
n'	0.0512419	0.035597	0.0319541	0.0339359	0.0302713	0.0348261	0.0455483	0.0442763	0.055194	0.0386348	0.038911	0.0295169	0.0225048	0.0363862	0.0321803	0.0262836	0.019526	0.0336158	0.0267306	0.0355403	0.033803	0.0323537	0.0356775	0.0243936	0.0247011	0.0270303	0.0196743	0.0286693	0.0258698	0.0451521
a	0.0194961	0.01626	0.0181859	0.0264186	0.0379342	0.039529	0.0372076	0.0410123	0.0450921	0.0348175	0.050966	0.0587382	0.0475756	0.067198	0.0490656	0.0443162	0.0255508	0.0402343	0.0317353	0.036616	0.0234714	0.0246714	0.0242685	0.023682	0.021303	0.0233579	0.0156672	0.0116022	0.0170328	0.0469941
personne	0.0709645	0.0464675	0.0455382	0.0467077	0.0425714	0.0416641	0.0469834	0.0402704	0.0457096	0.0347749	0.0462151	0.0451971	0.0311384	0.0406963	0.0279556	0.0237564	0.0156383	0.0119639	0.0180615	0.0193372	0.025605	0.0195242	0.0302423	0.0247953	0.028885	0.0280421	0.0224034	0.0207834	0.014501	0.0436067
pour	0.0379081	0.0354291	0.0370214	0.0437894	0.0330329	0.035878	0.0325636	0.0258536	0.0285715	0.0239306	0.0269325	0.0266473	0.0213834	0.0331986	0.0313192	0.0447985	0.0335843	0.0274716	0.0252987	0.0185108	0.0374484	0.0363907	0.0420656	0.0266508	0.0331884	0.0289611	0.0227214	0.0483317	0.0253209	0.075798
s'	0.182468	0.0959992	0.0558023	0.0439023	0.0262323	0.0198074	0.0127466	0.00992247	0.012427	0.00628551	0.00944174	0.0082401	0.0113002	0.0185489	0.0162024	0.0432172	0.0266468	0.0198165	0.0144252	0.0160595	0.0207903	0.0146337	0.0199593	0.0186777	0.0258457	0.0303362	0.0251479	0.054173	0.047935	0.0930092
occuper	0.219127	0.0757096	0.0363514	0.0218269	0.014312	0.00858795	0.0100832	0.0109446	0.0131863	0.00816988	0.00752507	0.00616951	0.00778418	0.0121221	0.0140893	0.0381312	0.0217381	0.0317796	0.0240401	0.0256402	0.0302792	0.0309697	0.0223558	0.0118428	0.0158866	0.019844	0.0124575	0.0591115	0.0462311	0.143704
de	0.141667	0.0783868	0.056376	0.0468322	0.0398126	0.0333283	0.0246152	0.0209941	0.014065	0.00910774	0.0101521	0.00791662	0.00887656	0.0102015	0.0056691	0.0194176	0.0124131	0.0182577	0.0113288	0.0173758	0.0201716	0.0208628	0.019434	0.0146324	0.0203822	0.0243169	0.0296724	0.0450572	0.0542638	0.164413
lui	0.132644	0.0685674	0.0544967	0.0422896	0.0260837	0.0170465	0.00830769	0.00636628	0.00717225	0.00728324	0.00731087	0.0103769	0.0103094	0.0231006	0.0174362	0.0215915	0.0239586	0.0302174	0.0174701	0.0220767	0.0177142	0.0200088	0.0367627	0.0387438	0.0485471	0.042724	0.0382819	0.0435267	0.0458676	0.113717
</S>	0.0983333	0.0484759	0.0283178	0.0222015	0.0162271	0.0105158	0.00559867	0.00471739	0.00482334	0.00418897	0.00379509	0.0033773	0.00480987	0.00694886	0.0089236	0.0191808	0.0171297	0.0218674	0.0182902	0.0285261	0.0217031	0.0219835	0.0291267	0.0267275	0.0510349	0.0551625	0.035068	0.119725	0.0967593	0.166461
