 	o	m	e	i	m	w	á	n	a	w	ó	é	d	i	n	d	ú	ú	y	a	w	a	</S>
celui	0.00801688	0.0117061	0.00988854	0.00655964	0.0111575	0.0291805	0.0198727	0.0302399	0.0413527	0.0355944	0.0322793	0.0468365	0.0418765	0.030013	0.0415312	0.0383259	0.0568251	0.0681658	0.0913518	0.141827	0.073462	0.0911214	0.0428152
qui	0.29645	0.131276	0.0883906	0.0849265	0.0659194	0.0302475	0.0672781	0.0296289	0.0121658	0.02706	0.0125841	0.00484486	0.0022115	0.0046104	0.00979665	0.00883294	0.0248383	0.0110465	0.0154776	0.0205549	0.0102027	0.011426	0.030231
attaque	0.0417805	0.0228198	0.0236127	0.0385706	0.0528192	0.0953694	0.0710633	0.048921	0.022033	0.0456699	0.0397135	0.0236306	0.00465555	0.0115334	0.0216096	0.0232208	0.0860391	0.0472519	0.0545328	0.0824679	0.0437236	0.0396052	0.0593565
cet	0.0727278	0.0438443	0.050042	0.059247	0.0680663	0.119344	0.168034	0.108018	0.0273659	0.0348997	0.0240891	0.0139254	0.00719788	0.00517838	0.00710772	0.00452208	0.013075	0.00516437	0.0075564	0.0111597	0.00856167	0.0117626	0.12911
enfant	0.0346732	0.0402182	0.0467919	0.0833521	0.070165	0.0958257	0.0396595	0.0389905	0.0225713	0.0384005	0.0288659	0.0161056	0.00538709	0.02194	0.0347365	0.042444	0.0660003	0.0287427	0.0331764	0.0495136	0.0213529	0.0529646	0.0881226
mystiquement	0.0676935	0.0824262	0.0899352	0.076015	0.0522407	0.0602366	0.0275658	0.0284813	0.0182667	0.0226689	0.0221427	0.0179681	0.00600243	0.013081	0.0268903	0.022716	0.0396437	0.0400977	0.0486101	0.0593254	0.0450886	0.0590317	0.0738724
c'	0.083611	0.079863	0.0746522	0.0698739	0.0450265	0.0395149	0.0382852	0.0356215	0.0289134	0.0298813	0.0258963	0.0153582	0.00760024	0.0166236	0.0370687	0.0355591	0.0344635	0.0417591	0.0440948	0.0402361	0.0257298	0.0413288	0.109039
est	0.13633	0.120982	0.123793	0.118577	0.0724595	0.0876558	0.0278991	0.0390717	0.0221688	0.0157211	0.0120487	0.00627357	0.00163949	0.00283193	0.00528099	0.00558301	0.0133792	0.0206695	0.030732	0.0301796	0.022518	0.0213156	0.0628904
son	0.237772	0.155417	0.118831	0.0524753	0.0210718	0.0255726	0.0135006	0.0134546	0.00878548	0.00646018	0.00687043	0.00547386	0.00224178	0.00524306	0.014574	0.0144483	0.0222172	0.034063	0.0456166	0.0355224	0.0394973	0.0372278	0.0836632
ami	0.13633	0.0758316	0.0647791	0.0713193	0.0454761	0.0500838	0.0270228	0.023375	0.0190062	0.0195961	0.0257569	0.0124073	0.00546671	0.016314	0.0355621	0.02708	0.0529934	0.038807	0.0390005	0.0397971	0.0267449	0.0630306	0.0842198
</S>	0.178269	0.145228	0.0997014	0.0919098	0.033159	0.0439832	0.0184793	0.0130448	0.0100051	0.00986689	0.00746417	0.00169227	0.00115442	0.00225396	0.00965755	0.00788603	0.0331839	0.0233514	0.0395813	0.0445392	0.0158943	0.0747241	0.094971
