 	e	l	á	m	b	í	l	í	y	á	t	s	ó	s	ó	y	é	y	é	e	p	έ	b	a	r	e	p	ó	s	á	o	d	z	á	a	</S>
cette	0.0169067	0.0141998	0.0177174	0.0171125	0.0235593	0.0133591	0.0160349	0.0139886	0.0195345	0.0329794	0.0714268	0.058322	0.0343889	0.0363684	0.0191209	0.0181912	0.0217004	0.0175598	0.017885	0.0178768	0.0110278	0.0133787	0.0215458	0.0226733	0.0237775	0.0263602	0.0262503	0.0257707	0.0281294	0.0515914	0.0353823	0.0413914	0.0483437	0.0454479	0.0390858	0.0416115
manière	0.00611763	0.00632701	0.0181995	0.012358	0.0178558	0.0234123	0.0440115	0.0600368	0.067603	0.124232	0.21581	0.178578	0.0478287	0.019725	0.0102177	0.0165508	0.00939893	0.00634152	0.00520662	0.00273871	0.00319525	0.00228629	0.00313432	0.00240837	0.00223599	0.00572331	0.0116557	0.0106723	0.0110317	0.0232376	0.0147009	0.00520049	0.00751756	0.0018319	0.00187328	0.000744399
de	0.217157	0.0724251	0.038269	0.0274424	0.0265305	0.0288721	0.0167132	0.0147733	0.0118689	0.0147628	0.012146	0.018724	0.0272226	0.0489176	0.0283136	0.0282223	0.0255927	0.0206395	0.0195757	0.0177609	0.0195813	0.0178359	0.0124479	0.0154728	0.0272147	0.0390146	0.0253283	0.0256599	0.0192762	0.0139916	0.01515	0.00893223	0.0112473	0.00763718	0.0114667	0.013814
préparer	0.0516551	0.0415549	0.0270661	0.0227831	0.0174346	0.0207135	0.0162256	0.0113613	0.00750369	0.0128683	0.00962446	0.00916629	0.0140661	0.0252032	0.0407646	0.0533994	0.0632715	0.0577176	0.0527442	0.0676996	0.0670347	0.0644433	0.0393879	0.0301666	0.0358255	0.0202569	0.0104263	0.0075935	0.0048813	0.00852374	0.00615002	0.00671303	0.0075594	0.00851618	0.0125377	0.0471608
le	0.01589	0.0122399	0.0177457	0.0218896	0.0293458	0.0325075	0.0237122	0.0192109	0.0121905	0.0134198	0.0113268	0.0107256	0.0145544	0.0217695	0.046254	0.0581077	0.0651672	0.0445114	0.0463739	0.0424872	0.069113	0.0684679	0.0344631	0.0343043	0.0420755	0.0303887	0.028913	0.0174367	0.0119803	0.0103733	0.01035	0.00764415	0.00785365	0.00891328	0.0179815	0.0403123
poulet	0.0115	0.0150695	0.0216118	0.0287179	0.059634	0.0397404	0.0513687	0.0401488	0.025766	0.0215143	0.0186519	0.0119248	0.0161168	0.0191547	0.0378223	0.0223147	0.0233565	0.0199315	0.0219053	0.0209126	0.033428	0.02831	0.026033	0.0246881	0.0190542	0.0206408	0.0387497	0.0281914	0.0356081	0.0302655	0.0331617	0.0275582	0.0185598	0.0203275	0.0247083	0.0635535
donne	0.0248203	0.027674	0.0219537	0.0256724	0.0390481	0.0291491	0.0433603	0.0332656	0.0250592	0.0190043	0.0102668	0.00750578	0.0109262	0.017624	0.0282811	0.0194031	0.0264588	0.0306108	0.0324811	0.0443362	0.0466506	0.0466294	0.038203	0.0343908	0.0287418	0.0231683	0.0239588	0.0232533	0.0184435	0.0172541	0.0188741	0.0117472	0.00926633	0.00596695	0.0331132	0.103438
de	0.0449291	0.045135	0.0384393	0.0369789	0.0270786	0.0224087	0.0201655	0.0136276	0.00960369	0.00840295	0.00678988	0.00693006	0.0123567	0.0193473	0.035232	0.0324946	0.035444	0.0359149	0.0356019	0.0455955	0.0569892	0.0482951	0.0424012	0.0295739	0.0243561	0.0147965	0.0155062	0.0118735	0.0106392	0.0139333	0.0144129	0.0208482	0.0167775	0.0247709	0.0388444	0.0835055
l'	0.0711993	0.0355219	0.0229937	0.0221039	0.0125085	0.0116926	0.0115683	0.010438	0.0110835	0.0111792	0.0109357	0.0110444	0.0115155	0.0236568	0.029597	0.0393844	0.0463	0.0412962	0.0399861	0.0403287	0.0482727	0.0469926	0.0367719	0.0221566	0.0221408	0.0235747	0.0130545	0.0134122	0.0161743	0.0162121	0.0164708	0.0263748	0.0246467	0.0325328	0.040165	0.0867137
appetit	0.0249926	0.0217394	0.0227211	0.0165972	0.00685662	0.00638009	0.00667635	0.00753146	0.00846056	0.00899326	0.00875696	0.0088116	0.00938119	0.0120854	0.0130258	0.0184331	0.0319803	0.0418249	0.0515657	0.0693754	0.0596514	0.0670353	0.0516418	0.0450928	0.0341263	0.0304698	0.0125575	0.0163673	0.013407	0.0145381	0.0207922	0.0208425	0.0298857	0.0148324	0.0563381	0.116233
</S>	0.0382035	0.0211616	0.0139989	0.0146919	0.017158	0.013764	0.0168749	0.0116138	0.00778043	0.005499	0.0038003	0.00366767	0.00747531	0.00956633	0.0149094	0.0143984	0.019038	0.0210893	0.0224811	0.0365435	0.0503597	0.04986	0.057521	0.0466328	0.0721692	0.0628496	0.0503929	0.0540378	0.0246901	0.017576	0.0254444	0.0207593	0.0199573	0.00971038	0.0367709	0.0875534
