 	i	l	i	n	d	í	s	í	l	í	b	á	a	s	ú	a	í	d	í	i	y	í	í	</S>
il	0.0289405	0.0718595	0.0438715	0.0463879	0.046947	0.0388705	0.0366282	0.0414227	0.0637942	0.0585336	0.0562697	0.0602176	0.0166885	0.0249293	0.0382845	0.0473256	0.0420751	0.0426606	0.0313359	0.035014	0.0295196	0.0437045	0.028723	0.0259964
y	0.2169	0.134811	0.126161	0.0720663	0.0901292	0.0415274	0.0259756	0.0170242	0.00963083	0.00691794	0.00581902	0.00502237	0.00177511	0.0101794	0.0044207	0.0061909	0.00893744	0.0248279	0.0270181	0.0359744	0.0310772	0.0304578	0.0287428	0.0384134
a	0.141788	0.0595799	0.0559321	0.0151969	0.0217923	0.015362	0.0146347	0.0156515	0.0266061	0.0340106	0.0337333	0.0239852	0.0164319	0.0457578	0.0265459	0.0462893	0.0541937	0.0563258	0.040939	0.0751537	0.0461785	0.0574177	0.0326113	0.0438828
plusieurs	0.0410139	0.0307942	0.0380693	0.0269144	0.0300301	0.0269516	0.0228098	0.0185135	0.012284	0.0154382	0.0169989	0.0243649	0.0375977	0.0565019	0.183994	0.0619195	0.0856528	0.0819873	0.0412784	0.0378265	0.0307801	0.025809	0.0244043	0.0280659
manières	0.0458973	0.0440351	0.0457829	0.0410755	0.04907	0.0492823	0.0597514	0.0656933	0.0530349	0.0445207	0.04535	0.0411232	0.013412	0.0332829	0.0297087	0.0502153	0.0503483	0.066361	0.0368892	0.0280106	0.026357	0.0260356	0.0160553	0.0387076
de	0.0309662	0.0219491	0.0146704	0.016929	0.0238671	0.0267489	0.0290625	0.0437374	0.0517762	0.0607724	0.0752686	0.0487707	0.0476487	0.0449399	0.046858	0.0291903	0.0520076	0.035807	0.0366945	0.0588255	0.0458906	0.0458352	0.0406855	0.0710987
faire	0.183119	0.0565916	0.0407566	0.0320774	0.0336664	0.0180537	0.0145537	0.0127809	0.010513	0.008385	0.00733963	0.00740913	0.00918051	0.010197	0.0259392	0.0171743	0.0395505	0.0619387	0.0551691	0.079781	0.0478965	0.0542363	0.059001	0.11469
couler	0.0623826	0.0309583	0.03274	0.0398327	0.0495361	0.052561	0.0408454	0.0308473	0.0221055	0.0142713	0.0108577	0.0127315	0.0245962	0.0231957	0.0406836	0.0207546	0.0268455	0.0326078	0.041714	0.0679307	0.0585299	0.0807304	0.0559471	0.126795
un	0.0494743	0.032074	0.0289034	0.0291895	0.0339438	0.0398455	0.0339433	0.0259065	0.0200013	0.0116826	0.0103534	0.00945847	0.0191124	0.0282513	0.0369155	0.0201604	0.0413461	0.0405501	0.0665108	0.110351	0.0879212	0.0785368	0.0518639	0.0937039
bateau	0.118355	0.054808	0.0412067	0.0255764	0.0205327	0.0131125	0.0082424	0.0067488	0.00566567	0.00512244	0.00516425	0.00544583	0.00647337	0.0108676	0.0264266	0.01512	0.03895	0.0468626	0.0454092	0.0701341	0.078665	0.103278	0.0950848	0.152749
à	0.166031	0.0696437	0.0579026	0.0400463	0.0290816	0.0115568	0.00787123	0.00700684	0.00610458	0.00606995	0.00680902	0.00788577	0.0131143	0.0111176	0.0160417	0.0128219	0.0233174	0.0214853	0.0300334	0.0541918	0.0663384	0.0713406	0.0739451	0.190244
pic	0.0682033	0.0446594	0.0435665	0.0415197	0.0310383	0.0138759	0.00861773	0.00670376	0.00552239	0.00522619	0.00546514	0.00568693	0.00829553	0.00714413	0.0132155	0.00801145	0.0170912	0.0243983	0.0392774	0.0855128	0.110977	0.115719	0.126017	0.164255
</S>	0.0737897	0.0433526	0.0399913	0.0273463	0.0167571	0.00662655	0.00629917	0.00525893	0.00474784	0.00468561	0.00595648	0.00658314	0.0104445	0.00813234	0.0118168	0.00798996	0.0142462	0.0167904	0.0292203	0.0512891	0.0912796	0.136018	0.155573	0.225805
