 	n	g	á	í	m	i	t	a	b	h	á	m	b	ώ	n	g	ω	ó	n	d	é	e	</S>
j'	0.115884	0.450686	0.270017	0.0800216	0.0120494	0.00694811	0.00167594	0.00178217	0.00307611	0.00279548	0.00344699	0.00250533	0.00350298	0.00356024	0.0063249	0.00751677	0.00375899	0.00319809	0.00472816	0.00579078	0.00390847	0.00337635	0.00344627
ai	0.0768138	0.0312002	0.0258319	0.0410357	0.019329	0.0509878	0.108543	0.119946	0.127171	0.121731	0.0777451	0.0486582	0.0189993	0.012916	0.0158939	0.0105078	0.00435404	0.00796147	0.0258456	0.0175204	0.0096561	0.00790316	0.01945
oublié	0.036312	0.0386572	0.0387944	0.0218236	0.027527	0.0397659	0.0210233	0.0367803	0.0383195	0.0336099	0.0429647	0.0677931	0.0808437	0.0959353	0.0800477	0.0624063	0.0801466	0.0458959	0.0248979	0.0199516	0.019721	0.0223864	0.0243967
de	0.0292498	0.0225888	0.0114294	0.0102377	0.0261233	0.0414402	0.0442673	0.0475341	0.0303686	0.0285037	0.0229391	0.0392619	0.0880764	0.0839984	0.0648761	0.0817779	0.107499	0.0532218	0.028271	0.0229599	0.0241162	0.0395053	0.0517541
l'	0.0121455	0.00674519	0.00356234	0.00369907	0.012703	0.0188183	0.0228803	0.0263784	0.0348381	0.043933	0.0593054	0.0729511	0.0771168	0.076807	0.0567831	0.0892811	0.0667644	0.0603305	0.0509915	0.0526023	0.0458329	0.0485949	0.0569358
argent	0.00657683	0.00491564	0.0051913	0.00486728	0.00946546	0.00907489	0.0154992	0.0135413	0.0259802	0.0443468	0.0358046	0.027823	0.0479423	0.0375531	0.0550174	0.038113	0.0667435	0.0591498	0.0718868	0.0823499	0.0911211	0.10393	0.143107
à	0.00799677	0.00536786	0.00618059	0.00589357	0.00962249	0.0135047	0.0122461	0.0165895	0.0194979	0.026195	0.0289342	0.0401566	0.0424624	0.0418197	0.0577323	0.0658511	0.0826392	0.0831524	0.081976	0.0850455	0.0859704	0.0863981	0.0947677
la	0.0315178	0.0213328	0.0208437	0.0202182	0.0209484	0.0155698	0.0176133	0.0159749	0.0258288	0.0297806	0.0225185	0.0262506	0.0367	0.0370277	0.0467276	0.0550704	0.0689103	0.0684314	0.0791944	0.0804256	0.0761255	0.0790432	0.103947
maison	0.0267148	0.031521	0.0306129	0.0256376	0.0203885	0.0103826	0.0124818	0.00908377	0.0141747	0.0131029	0.0126998	0.0188776	0.0210204	0.023962	0.0448923	0.0407038	0.0693792	0.0684668	0.0921182	0.0911118	0.116645	0.110821	0.0952017
</S>	0.0365493	0.0262613	0.0205834	0.0223881	0.0209167	0.013495	0.0142183	0.0130084	0.019736	0.0190266	0.0198399	0.0253891	0.0348888	0.0338581	0.0398428	0.0672206	0.0797486	0.086835	0.0785052	0.0743895	0.0795805	0.0839398	0.089779
