 	m	v	u	m	b	v	ú	é	m	i	f	u	á	s	é	f	u	n	d	u	</S>
les	0.0223142	0.0183607	0.0169355	0.0170982	0.0198214	0.0257856	0.0275784	0.0480779	0.0522005	0.0649028	0.0504335	0.0373436	0.0293929	0.0281468	0.0309374	0.0627622	0.07032	0.0887411	0.10236	0.109918	0.0765686
mauvaises	0.0549625	0.121729	0.0982096	0.0994172	0.108378	0.145064	0.131828	0.0760078	0.0315697	0.0261964	0.0359624	0.0189243	0.0127579	0.0111565	0.00654469	0.00526414	0.00430601	0.00378363	0.00327326	0.00295266	0.00171203
herbes	0.0591145	0.0659865	0.0867612	0.103076	0.0919894	0.105369	0.0810313	0.053144	0.0351124	0.0328861	0.0405538	0.033144	0.0226027	0.0285967	0.0296058	0.0328351	0.021315	0.0187535	0.0168004	0.0237227	0.0176
ont	0.0154516	0.0229681	0.0434923	0.055869	0.0606074	0.0435784	0.0688853	0.0758489	0.067126	0.0818177	0.07356	0.0734526	0.0342557	0.0369786	0.0381139	0.035006	0.0446824	0.0319002	0.0247904	0.0309353	0.0406802
beaucoup	0.0290821	0.036455	0.03069	0.0299897	0.0297019	0.0336347	0.0622044	0.0968793	0.127249	0.104303	0.0388229	0.0246368	0.0170157	0.0259346	0.0332071	0.031708	0.0442415	0.0317571	0.0392645	0.047405	0.0858178
poussé	0.0313515	0.0333608	0.0278911	0.0259878	0.0260129	0.0275965	0.0367903	0.0495301	0.0598654	0.0683782	0.0415849	0.0518702	0.0515939	0.0634837	0.0651585	0.0581652	0.0537197	0.043626	0.047141	0.0493088	0.0875835
dans	0.048085	0.043927	0.0249955	0.0223739	0.0133541	0.00885156	0.0106174	0.0141422	0.0156848	0.0130158	0.025794	0.0487104	0.0465192	0.0779091	0.102401	0.0967074	0.087188	0.0673743	0.0628882	0.0671968	0.102265
la	0.0525416	0.0498499	0.0331325	0.0228417	0.0156095	0.0118951	0.012031	0.0118403	0.0122801	0.0147307	0.0281941	0.0472723	0.0297937	0.0326787	0.0344008	0.0308659	0.058297	0.0924241	0.11364	0.132204	0.163477
parcelle	0.0338891	0.0321517	0.017304	0.00891303	0.00582466	0.00513005	0.00742392	0.0107152	0.0116489	0.0192304	0.0201154	0.0444277	0.0562699	0.0671823	0.0683145	0.0606607	0.0684592	0.0955193	0.0929173	0.111487	0.162416
</S>	0.0615133	0.0546596	0.0333334	0.0198044	0.0201099	0.0198416	0.0291792	0.0374233	0.0356858	0.0526563	0.0643735	0.042608	0.0198517	0.0217301	0.0284626	0.030859	0.0396288	0.0533008	0.0665473	0.0855143	0.182917
