 	s	á	n	g	o	n	d	a	y	á	n	g	á	é	d	í	l	a	t	έ	n	d	έ	m	á	b	í	a	</S>
dans	0.0159862	0.0282165	0.0346512	0.0392955	0.0177214	0.0197496	0.0165839	0.0200826	0.0240241	0.027957	0.029839	0.0412109	0.0567937	0.0527684	0.0607509	0.0615443	0.0554202	0.0484294	0.0455305	0.0294856	0.0256747	0.0212978	0.0319807	0.0389643	0.037728	0.0450542	0.028893	0.0280949	0.0162716
mon	0.0599344	0.0809045	0.126139	0.0496852	0.0339297	0.0256955	0.0206145	0.0209659	0.021889	0.0181718	0.0184747	0.0162862	0.0288425	0.0478426	0.0409033	0.0636759	0.0384973	0.0775025	0.0536515	0.0548611	0.0255538	0.0122192	0.0141587	0.0112804	0.0077837	0.0113648	0.00268754	0.00746799	0.00901629
champ	0.044626	0.0228356	0.0387773	0.0348922	0.0246337	0.0105831	0.0136333	0.0130022	0.009595	0.00510606	0.00387506	0.0112246	0.034065	0.0395838	0.0489673	0.0342897	0.0535467	0.0522628	0.0586319	0.103728	0.0878619	0.0400619	0.0449863	0.0471529	0.0207469	0.0315838	0.0126494	0.0415673	0.0155303
il	0.0385167	0.0668563	0.0950847	0.109459	0.0810076	0.0435384	0.0747938	0.0498683	0.0506139	0.0731048	0.0225646	0.0168293	0.0172236	0.0182307	0.0204471	0.0133502	0.0136362	0.01578	0.0152374	0.0182772	0.0184019	0.0114521	0.0098732	0.0140777	0.00672277	0.0100226	0.00928766	0.0226761	0.0430664
y	0.0236254	0.048294	0.0772053	0.0752993	0.0749626	0.0579849	0.048814	0.0250836	0.0245309	0.0230787	0.0161341	0.0327107	0.0283852	0.0164516	0.0184362	0.015452	0.0270439	0.0208193	0.0262801	0.0271614	0.0473392	0.02616	0.0303113	0.0299213	0.0189252	0.0193401	0.0187274	0.040338	0.0611843
a	0.0509601	0.046728	0.0641406	0.0532359	0.0481431	0.0447549	0.0390106	0.0227897	0.0290429	0.0310949	0.02011	0.0216958	0.0294628	0.0270914	0.0261814	0.0298985	0.0276978	0.0173537	0.0154191	0.0175473	0.0309987	0.0227756	0.0415449	0.0488935	0.0381194	0.0397676	0.0227443	0.0401535	0.0526441
des	0.056583	0.0354877	0.0240078	0.0286483	0.0386914	0.0325534	0.0263838	0.0198268	0.0207729	0.0224661	0.0240024	0.0347538	0.0522553	0.0369689	0.0698249	0.0406378	0.0331267	0.0297547	0.0264679	0.0198014	0.0232668	0.0227419	0.0285209	0.0372849	0.0377301	0.0430584	0.0317788	0.0413502	0.0612529
palmiers	0.0350826	0.0341974	0.0239997	0.0238533	0.0211867	0.0176354	0.0152129	0.0229559	0.0331736	0.0436321	0.0759762	0.0633087	0.0881419	0.082697	0.0905409	0.0989218	0.0423716	0.0411822	0.0182281	0.00964074	0.0142454	0.00978857	0.013634	0.0139078	0.0120284	0.0132988	0.00985936	0.0122194	0.0190795
à	0.0859928	0.0281549	0.0154826	0.0243863	0.0232246	0.0433457	0.0672625	0.0621443	0.0595171	0.0653337	0.057766	0.0602482	0.0375274	0.0312716	0.0284265	0.0281491	0.0269278	0.0166885	0.0154279	0.0203734	0.0163731	0.0131913	0.01196	0.0144583	0.0155382	0.0138621	0.0139761	0.0217963	0.0811939
huile	0.131401	0.0541845	0.0423279	0.0503004	0.0618389	0.0442702	0.0348964	0.0214227	0.0146994	0.00797019	0.0124193	0.0130353	0.0272357	0.0198372	0.029488	0.022385	0.0145581	0.0142538	0.0128222	0.0109496	0.0157412	0.0156713	0.0308899	0.0385841	0.0378504	0.0434895	0.0317714	0.0606166	0.0850897
de	0.033986	0.0305025	0.0426647	0.0612218	0.0643726	0.0449191	0.0342286	0.0303708	0.031756	0.0350529	0.031711	0.0353362	0.0227702	0.0179797	0.0232346	0.0206903	0.0236314	0.019389	0.0220485	0.0310033	0.0415818	0.0314924	0.0340987	0.0321004	0.0305346	0.0310513	0.0222154	0.0401834	0.0798727
petite	0.0473152	0.050197	0.0621646	0.0618199	0.0611524	0.0593167	0.050424	0.0251462	0.0217316	0.0167465	0.0105049	0.0110856	0.0155711	0.0136426	0.0113006	0.00921494	0.01339	0.00678391	0.00745118	0.0117261	0.0221076	0.0171824	0.0302461	0.0482859	0.0451727	0.0536137	0.0435722	0.0712819	0.101852
taille	0.0548797	0.0437395	0.054167	0.0524332	0.0541468	0.0511737	0.0375139	0.016921	0.0135399	0.00969283	0.0086668	0.00904638	0.0151286	0.0168091	0.0176474	0.0185602	0.0191109	0.0187171	0.0121495	0.0159941	0.0253575	0.0227089	0.0395418	0.051774	0.0518959	0.0568231	0.0533758	0.06337	0.0951157
</S>	0.0529466	0.0346092	0.0318705	0.0325432	0.0334075	0.0311361	0.0331755	0.0346927	0.0330424	0.0356761	0.0413566	0.0384739	0.029013	0.0211266	0.0206423	0.0150621	0.0179686	0.0133936	0.0166578	0.0217464	0.0260232	0.0211555	0.0259566	0.0410781	0.0362747	0.0412382	0.0444002	0.0573368	0.117996
