 	o	l	ώ	b	h	i	á	m	i	b	o	m	á	m	b	ó	r	ó	m	ó	s	ω	í	</S>
le	0.0154161	0.0217985	0.0182361	0.0246889	0.0261331	0.040979	0.0624876	0.0740564	0.0994156	0.0628096	0.0583383	0.0531417	0.0417853	0.0437459	0.0335142	0.032291	0.0326493	0.0343025	0.0264639	0.028905	0.0310489	0.0347706	0.0480424	0.0549803
pêcheur	0.00525752	0.00396162	0.0057359	0.00764055	0.0329317	0.0273461	0.084115	0.159249	0.252773	0.152432	0.0742342	0.0532358	0.0375969	0.0195552	0.0201372	0.0154907	0.0109356	0.0094928	0.00776343	0.00939361	0.00456468	0.00342873	0.00160795	0.00112051
a	0.0282547	0.0214469	0.0325391	0.0541548	0.0628968	0.077788	0.145151	0.163538	0.0974794	0.0354269	0.0303192	0.064322	0.0481121	0.035304	0.028823	0.0137541	0.00894883	0.00949332	0.00628394	0.00713109	0.00640122	0.00777863	0.00729533	0.00735787
tué	0.0278551	0.0290173	0.0349536	0.0405407	0.0474769	0.0462419	0.0392649	0.0399846	0.0658955	0.0498299	0.054513	0.0358438	0.037305	0.0203736	0.0314264	0.0418411	0.0608319	0.0463733	0.0349202	0.0297924	0.0288661	0.0333196	0.0465061	0.0770272
une	0.0343629	0.0158397	0.0162143	0.0145565	0.0464454	0.0528117	0.0742615	0.0891751	0.0774305	0.0568705	0.0449906	0.0464885	0.0522938	0.0291412	0.0333838	0.0318183	0.0354483	0.0389282	0.0590064	0.0405245	0.0281941	0.0308641	0.014971	0.035979
carpe	0.0175426	0.0104908	0.0131409	0.0104047	0.0167574	0.0202577	0.0268066	0.031263	0.0328577	0.0225595	0.0194256	0.0259143	0.0265613	0.0300207	0.0376926	0.0532139	0.0872204	0.0850844	0.0959067	0.0723201	0.0628062	0.0715118	0.0469525	0.0832887
avec	0.04201	0.0158558	0.0140546	0.0103946	0.0188278	0.0217853	0.0181649	0.0211647	0.027521	0.0257078	0.0310858	0.0398582	0.0339332	0.0259011	0.0230935	0.0254394	0.0572724	0.0815825	0.0885829	0.106365	0.0956128	0.0640637	0.0399036	0.0718194
un	0.0854968	0.0351605	0.0283754	0.0156448	0.0161298	0.0123692	0.012255	0.0101959	0.00980944	0.00912545	0.00988657	0.0110531	0.0135	0.0168037	0.0260221	0.0354053	0.0448719	0.0613029	0.0962058	0.0599957	0.085343	0.097867	0.0800882	0.127092
harpon	0.054265	0.0230276	0.0162821	0.00535989	0.00296421	0.00265944	0.00288691	0.00316759	0.0040349	0.00613754	0.00741014	0.00678498	0.00748538	0.00864304	0.011676	0.0197584	0.0456335	0.0682659	0.0932725	0.0592721	0.100602	0.115503	0.130885	0.204023
</S>	0.0980414	0.0593774	0.0588985	0.0391613	0.0269155	0.0312055	0.0280708	0.018511	0.019803	0.0155418	0.0259782	0.00988889	0.0118175	0.00900196	0.00837163	0.00668529	0.0123372	0.0243951	0.0385919	0.0348676	0.0662253	0.0961875	0.102537	0.157588
