 	i	b	o	n	g	a	l	á	b	í	s	í	í	d	í	i	b	a	a	m	i	i	y	í	í	k	a	á	</S>
il	0.0299264	0.0254882	0.014945	0.0178726	0.0216519	0.0275872	0.0419377	0.0441036	0.062071	0.046953	0.0485891	0.0814512	0.0475594	0.04641	0.0419553	0.0290371	0.0161852	0.0436147	0.0274126	0.0152455	0.0187893	0.0146418	0.0157098	0.0259341	0.0418899	0.0620615	0.0387291	0.029848	0.0223999
n'	0.146995	0.150262	0.141043	0.0579697	0.0191214	0.0174849	0.0117118	0.0108346	0.0075624	0.00656088	0.00541837	0.00676253	0.0138136	0.00819085	0.00841446	0.0106653	0.00878931	0.0176158	0.0248872	0.028995	0.0305165	0.0174329	0.0403438	0.0469012	0.0313222	0.0374088	0.0391302	0.0233009	0.0305453
y	0.0537161	0.0624105	0.0581057	0.0579404	0.0364652	0.0298425	0.0206656	0.034158	0.032974	0.0360696	0.0308288	0.0242935	0.0294811	0.0268851	0.0163719	0.0301039	0.0235987	0.0261276	0.0407537	0.0430769	0.0457819	0.0395789	0.0391205	0.036402	0.0255769	0.023852	0.02283	0.0220133	0.0309762
a	0.15572	0.16156	0.107267	0.0611788	0.0510769	0.0314132	0.030459	0.0239628	0.012286	0.0208123	0.0122752	0.0208552	0.0202716	0.0151546	0.0130928	0.0120372	0.00911699	0.014533	0.0164835	0.0186605	0.0319149	0.0234161	0.0264902	0.0199303	0.0142181	0.0126736	0.0191673	0.0162348	0.0277375
pas	0.0499901	0.0752143	0.038796	0.0286244	0.0225482	0.0187142	0.0140911	0.00894246	0.0126939	0.0156181	0.0175426	0.0129512	0.0138221	0.0277043	0.0316151	0.0379076	0.0520172	0.03859	0.0322404	0.0254051	0.0636823	0.0668408	0.0901662	0.0693438	0.043816	0.0224591	0.0196064	0.0208606	0.0281963
beaucoup	0.0284291	0.024661	0.0191944	0.0203535	0.0251995	0.0374099	0.0401486	0.0238397	0.0234019	0.0203489	0.0258302	0.0150711	0.0208887	0.0318099	0.0304768	0.0317606	0.0376206	0.0337534	0.0309921	0.0359223	0.0441823	0.0503399	0.0630424	0.0692854	0.0531083	0.0342941	0.025046	0.0422542	0.0613351
de	0.0550229	0.0423142	0.0406574	0.0394673	0.033793	0.0382892	0.028755	0.0211875	0.0284589	0.0269635	0.0318864	0.0211247	0.0244548	0.023003	0.0179562	0.0164399	0.0227566	0.0277024	0.0246309	0.0253843	0.0341746	0.0299297	0.0405283	0.0458456	0.0439774	0.0415055	0.0378467	0.048208	0.0877362
blancs	0.0247378	0.0178874	0.0217847	0.0267738	0.0268696	0.0368254	0.0191364	0.0195726	0.0424481	0.0291131	0.0419433	0.0362461	0.0370192	0.0358818	0.0258988	0.0192948	0.02474	0.0255929	0.0251675	0.0297843	0.0286382	0.0257771	0.0291537	0.0468697	0.0395159	0.0388654	0.0464255	0.0563215	0.121715
dans	0.0296767	0.0258703	0.0318993	0.03493	0.0264637	0.0301626	0.0156657	0.0138515	0.0162081	0.0142606	0.011681	0.0186545	0.0141128	0.0106303	0.00867272	0.0116828	0.027651	0.0242469	0.022947	0.0290778	0.0511811	0.0387724	0.0497576	0.0591869	0.0663416	0.0522729	0.0847141	0.0688903	0.110538
notre	0.0623005	0.0405135	0.0352792	0.0261211	0.0140542	0.01388	0.00623061	0.00557928	0.00613793	0.00730527	0.00574061	0.00888212	0.00762806	0.0060449	0.00506322	0.00672087	0.0140377	0.0108144	0.0176763	0.0210333	0.0284812	0.0265093	0.0379787	0.066936	0.105048	0.0999582	0.100319	0.100796	0.11293
ville	0.0841471	0.112501	0.157357	0.0737824	0.0264191	0.0162764	0.00707296	0.00665576	0.00703239	0.0104645	0.00910084	0.0125143	0.00798656	0.00513475	0.0032499	0.0121349	0.0161299	0.0179466	0.0159549	0.0128309	0.0214099	0.0192837	0.0225343	0.0222152	0.0316306	0.0381126	0.0435553	0.0569588	0.129607
</S>	0.0646346	0.0705279	0.093472	0.0582585	0.0491319	0.0530167	0.0375842	0.0393765	0.0306431	0.0285095	0.00773396	0.0106319	0.00675277	0.00479047	0.00659212	0.00767351	0.013569	0.0107254	0.0172154	0.0246887	0.0439747	0.0337852	0.0263389	0.0295284	0.020825	0.0173376	0.0397999	0.0545305	0.0983518
