 	w	a	a	d	í	l	o	t	é	m	a	m	ó	n	d	é	n	g	é	y	é	é	k	y	έ	έ	l	έ	w	a	m	b	á	á	y	é	l	i	k	ω	n	í	</S>
elle	0.057268	0.220764	0.353924	0.257623	0.0427659	0.013257	0.0109903	0.00514414	0.0056019	0.00431045	0.00263458	0.00148802	0.00163705	0.00104468	0.00083053	0.000560812	0.000673695	0.000476976	0.000620546	0.000646009	0.000878853	0.000880389	0.000620801	0.000584697	0.000594821	0.000802625	0.000542318	0.000474636	0.000503232	0.000849109	0.000830252	0.000974301	0.000550565	0.000594086	0.000924284	0.00073939	0.000994093	0.00104235	0.000961269	0.000976241	0.00100868	0.000870447	0.000541263
est	0.0163992	0.0269465	0.0268323	0.025675	0.0330397	0.0701847	0.101152	0.110129	0.0831477	0.105594	0.0898366	0.103848	0.0369771	0.0329688	0.0128468	0.0164177	0.0139252	0.0110243	0.0124782	0.00478703	0.00587622	0.00590773	0.0038159	0.00372724	0.00331751	0.00117737	0.000801705	0.00298165	0.00126965	0.0010996	0.00109486	0.00171341	0.00176893	0.00574447	0.0014592	0.0042726	0.00362733	0.00246321	0.00299344	0.00126292	0.0023801	0.00319893	0.00383539
tolérante	0.0171103	0.0168899	0.0176358	0.025959	0.0418619	0.0435108	0.0676094	0.0648908	0.0346992	0.0447096	0.0354147	0.0282754	0.0379478	0.0222181	0.0126349	0.0141966	0.0260085	0.0300224	0.0302399	0.0162843	0.016832	0.0130726	0.0129756	0.00853215	0.00854323	0.0164164	0.0183021	0.00804133	0.0273501	0.0173381	0.020372	0.0155277	0.0123065	0.0142857	0.0170386	0.0168231	0.0132988	0.0181642	0.0183153	0.0320076	0.0178121	0.01648	0.0120455
du	0.00872511	0.0159129	0.0290844	0.041821	0.0476387	0.0275351	0.0242846	0.0412506	0.0101197	0.00796941	0.0063104	0.00546596	0.0123092	0.0102274	0.0127112	0.0137674	0.00982341	0.0123584	0.00865575	0.0115998	0.0165452	0.0280011	0.0590139	0.0756862	0.045109	0.0301585	0.0365845	0.0277782	0.019888	0.0174486	0.0284997	0.0181205	0.0269376	0.0160793	0.0191366	0.0217912	0.0270621	0.0261802	0.0195824	0.0231684	0.0193239	0.0214828	0.0188517
fait	0.00396554	0.00844462	0.00858555	0.016642	0.0180243	0.0119686	0.0132334	0.0170926	0.00679796	0.0124706	0.00993028	0.0156101	0.0378999	0.0364789	0.0525259	0.0362522	0.037072	0.0512535	0.0373859	0.0707764	0.0554337	0.092063	0.0927569	0.0787873	0.0341514	0.0277517	0.0189721	0.00485359	0.0112597	0.00466781	0.00326469	0.00431041	0.00279432	0.00356197	0.00271534	0.0026567	0.00309741	0.00277906	0.00427796	0.00369057	0.0096013	0.0143064	0.0198362
qu'	0.00658055	0.00652101	0.0104133	0.0190245	0.0216676	0.0176629	0.0193993	0.0271767	0.0101475	0.0112443	0.0151058	0.00996708	0.0131868	0.0214093	0.0265188	0.0296122	0.0163332	0.022842	0.0177233	0.0269645	0.0231582	0.0272958	0.0389483	0.0405344	0.0326919	0.0303946	0.0347744	0.0256404	0.0249565	0.0254462	0.023481	0.0245824	0.0198786	0.0251254	0.0222145	0.0208732	0.0241959	0.0230433	0.0272688	0.0295828	0.0309484	0.0318235	0.0436408
elle	0.0214445	0.0193355	0.0221231	0.0208421	0.0220826	0.0207655	0.0304338	0.0221144	0.0109416	0.019172	0.0251608	0.0153199	0.0132748	0.0189149	0.0228074	0.0202598	0.0218612	0.0282929	0.0232436	0.0368324	0.02506	0.0278469	0.0287991	0.0261179	0.0213116	0.0296503	0.0264324	0.0301153	0.0207292	0.0198018	0.0224881	0.0150269	0.0205297	0.0173176	0.0213049	0.0189854	0.0162079	0.0221127	0.0223574	0.0309584	0.028073	0.0242648	0.049286
soigne	0.0376196	0.0183773	0.012973	0.00934321	0.00905026	0.00797138	0.0149687	0.00859515	0.0119559	0.0170241	0.0158638	0.0178261	0.0232081	0.0159239	0.0190508	0.0179287	0.0125671	0.0133593	0.0104999	0.0106196	0.0103048	0.0120589	0.0204373	0.0225296	0.0262006	0.0236119	0.0253164	0.0274343	0.0249338	0.0234357	0.0234175	0.0242441	0.02211	0.022932	0.018582	0.0282825	0.0274331	0.0338692	0.0493968	0.0534239	0.0569402	0.0573731	0.0610065
sa	0.0217414	0.0134566	0.00892427	0.0105947	0.0156187	0.0123681	0.019138	0.0174394	0.0134008	0.0158302	0.0145344	0.0145755	0.0185174	0.011904	0.0143945	0.0135943	0.0115101	0.0125689	0.010675	0.0123443	0.0114041	0.0131285	0.0188929	0.0202992	0.0189873	0.0209942	0.0206952	0.014908	0.0222239	0.0276477	0.0349506	0.0252792	0.0240568	0.0219587	0.0281452	0.0222241	0.0206453	0.0325429	0.0448608	0.0669596	0.061105	0.0614923	0.0834681
rivale	0.0154244	0.00895624	0.0082589	0.00863201	0.00767126	0.00760596	0.00774293	0.00957612	0.00786511	0.0115358	0.0176341	0.0244263	0.0410106	0.0338879	0.042694	0.0362924	0.0135042	0.0154783	0.0143471	0.0147399	0.0158444	0.0187952	0.0270829	0.0292471	0.0244702	0.0240961	0.0243669	0.0189802	0.0276479	0.0321203	0.0230113	0.0271973	0.0173345	0.0267477	0.0150277	0.017344	0.0134219	0.0127953	0.0225932	0.021977	0.0375191	0.0494638	0.125632
