 	o	n	y	ε	b	h	í	á	y	a	n	d	z	i	w	á	o	k	o	n	o	o	s	í	b	o	ó	</S>
son	0.017537	0.0171072	0.0175031	0.0225971	0.0487839	0.0618664	0.0319097	0.0404474	0.0412288	0.0529334	0.0774276	0.0782766	0.110379	0.10546	0.0419171	0.0230832	0.0233732	0.0212723	0.0247322	0.021448	0.0213816	0.0141924	0.014544	0.0139796	0.0106085	0.0117262	0.0123128	0.0219717
aîné	0.0187133	0.0535275	0.0703864	0.0975782	0.05426	0.0469066	0.0380258	0.0339227	0.0375666	0.0445055	0.0906283	0.114533	0.129593	0.0715384	0.0168857	0.0173122	0.0141559	0.00750921	0.00838929	0.0113542	0.00627687	0.00388357	0.00171434	0.003808	0.0030845	0.00279469	0.000665571	0.000480542
lui	0.0726703	0.0392456	0.0325581	0.0340928	0.041584	0.0287531	0.0271111	0.0192865	0.0168172	0.0134638	0.0238416	0.024627	0.0319561	0.0548285	0.0956703	0.0902769	0.0454666	0.0426596	0.0810539	0.0631169	0.0345866	0.0243499	0.0176299	0.0158869	0.00757122	0.00669499	0.00795893	0.00624159
a	0.0477552	0.0560272	0.0710922	0.0598689	0.074431	0.0488851	0.0515526	0.0479218	0.0422324	0.0350453	0.05455	0.0377114	0.0356663	0.020924	0.0239618	0.0336774	0.0355323	0.0317416	0.0175286	0.0259754	0.0217106	0.0106207	0.0119227	0.0177278	0.0170812	0.0122339	0.0187684	0.0378543
flanqué	0.0402792	0.0376161	0.0309427	0.0381078	0.0434275	0.0543158	0.0606609	0.051214	0.0490672	0.0419685	0.0524616	0.0503945	0.0551878	0.0463294	0.0411157	0.0416607	0.0234689	0.020495	0.0168182	0.0191819	0.0171878	0.0134504	0.0112742	0.0154345	0.0177357	0.0213482	0.0208056	0.0680502
une	0.0285665	0.0246577	0.0237726	0.026575	0.028039	0.0373685	0.0361997	0.0366458	0.0319721	0.030347	0.0309324	0.0300478	0.0380427	0.041275	0.0432951	0.0439747	0.0485982	0.0400696	0.029738	0.0406286	0.0343924	0.0337738	0.0324521	0.034312	0.0344276	0.0363379	0.0380883	0.06547
taloche	0.0394499	0.0384618	0.0346189	0.0296807	0.0335537	0.030616	0.012697	0.0128742	0.0105016	0.0105859	0.0085135	0.0105664	0.00895684	0.00938912	0.0117717	0.013894	0.0287974	0.0277557	0.0431412	0.050803	0.0469834	0.0583071	0.0641805	0.0722744	0.067867	0.0655765	0.0707495	0.0874332
sur	0.029232	0.0339951	0.0337115	0.0247928	0.0254349	0.0250109	0.0195726	0.0177629	0.0123897	0.0101566	0.0102407	0.010633	0.0112774	0.0121283	0.0180719	0.026419	0.0575966	0.0529109	0.0430223	0.0516894	0.0445099	0.0462322	0.0485731	0.0535804	0.0580311	0.0515429	0.0734717	0.0980101
la	0.0325101	0.0276339	0.0286433	0.0213125	0.0214332	0.0202683	0.0110306	0.0136327	0.0124613	0.00981715	0.0114327	0.0085827	0.00846824	0.00951445	0.00786311	0.00934586	0.025777	0.0403037	0.0398578	0.0506785	0.0605433	0.051363	0.0604702	0.0707971	0.0849549	0.0902238	0.0737511	0.0973295
tête	0.0312061	0.0383799	0.0314231	0.0236072	0.0205941	0.01951	0.0124808	0.0119574	0.00895905	0.00820062	0.00805678	0.00759206	0.0096871	0.0121759	0.0135469	0.0107629	0.0163913	0.016261	0.0178942	0.0243526	0.0312295	0.036509	0.044239	0.0545321	0.0687576	0.0848673	0.150405	0.186422
</S>	0.0757852	0.0501131	0.0532004	0.0386143	0.0416743	0.0252887	0.0176342	0.0227276	0.0151666	0.00519492	0.00457015	0.00267155	0.00275374	0.00208051	0.00313799	0.00599261	0.0102034	0.0161212	0.0215151	0.0230349	0.0347362	0.0237334	0.0516701	0.057687	0.0731332	0.0743495	0.0962766	0.150933
