 	a	b	é	á	m	á	á	t	í	m	í	b	í	s	í	l	a	p	ó	a	á	b	h	i	a	k	í	í	s	á	k	i	i	s	a	</S>
les	0.0487384	0.0675143	0.0653472	0.0499682	0.0233879	0.0272745	0.0405762	0.0459579	0.0423996	0.039248	0.0289365	0.0239694	0.0261781	0.0194987	0.0225619	0.0345524	0.0273941	0.0226091	0.0511764	0.0208597	0.0166804	0.0210533	0.0155536	0.0169185	0.0181892	0.0226023	0.0238925	0.0181814	0.0169715	0.0179433	0.0150596	0.0181597	0.0169862	0.0139887	0.0110287	0.00864253
fosses	0.0186786	0.0105816	0.016525	0.016694	0.0302275	0.0415156	0.0399266	0.0668511	0.0351454	0.0309584	0.0338253	0.0282953	0.0264809	0.0244323	0.0273068	0.0312277	0.0305568	0.0424369	0.0741052	0.0811333	0.0897931	0.0540946	0.0209422	0.0125022	0.0112996	0.00971931	0.0106184	0.0118359	0.0118268	0.0112934	0.0102626	0.0119721	0.0101958	0.00813087	0.00574695	0.00286167
que	0.0157215	0.00782051	0.00872201	0.0088149	0.0113347	0.0110495	0.0206802	0.0298569	0.0345979	0.0466532	0.0543909	0.0400587	0.0427586	0.0410775	0.0362358	0.0223483	0.0228139	0.0251887	0.0333528	0.0245497	0.0234911	0.0214869	0.0240055	0.0256845	0.0327567	0.0491499	0.037568	0.0447891	0.0339477	0.0361009	0.0216449	0.0301326	0.0196964	0.0238542	0.0234967	0.0141686
nous	0.0147801	0.0184298	0.0291107	0.0227908	0.0250639	0.0169702	0.0169771	0.0212203	0.0230197	0.0233099	0.027371	0.027662	0.0305311	0.0319463	0.0269057	0.0210368	0.0220921	0.0186427	0.0234558	0.0191754	0.0164448	0.0206413	0.0210752	0.0277342	0.0337239	0.0310407	0.0346737	0.0386335	0.0324584	0.0398019	0.0389855	0.044627	0.0308215	0.0475042	0.0438948	0.0374478
avons	0.0285468	0.0268191	0.026801	0.0262522	0.0278227	0.0271244	0.0257774	0.0289961	0.0253398	0.0294111	0.0297328	0.0317931	0.0330834	0.0301374	0.0300138	0.0332196	0.0422261	0.0313893	0.0355424	0.0175293	0.0139764	0.012573	0.0178678	0.0187786	0.0162313	0.0232327	0.0216855	0.0235484	0.0265693	0.0246357	0.0342331	0.0307503	0.0309492	0.0284996	0.0349335	0.0539782
creusées	0.0277062	0.021376	0.0173439	0.0189071	0.0219073	0.024542	0.023956	0.0309169	0.0289554	0.0317497	0.0425201	0.0456693	0.0343376	0.0316746	0.0223587	0.0239494	0.0239735	0.0185221	0.022019	0.0170304	0.0231561	0.0203658	0.0237363	0.0249464	0.0196329	0.0248041	0.0216834	0.025176	0.0269133	0.0269885	0.0337074	0.0349064	0.0302264	0.0318187	0.03541	0.0671134
hier	0.0518311	0.0315686	0.025064	0.0260975	0.0291884	0.0359131	0.0378707	0.0417045	0.0469869	0.0458417	0.060808	0.0589425	0.0414446	0.0422676	0.0262558	0.0274631	0.0229656	0.0162264	0.0162257	0.00995177	0.0158983	0.0127427	0.0106303	0.0106305	0.0068597	0.00806187	0.0122198	0.0110158	0.0132938	0.0172153	0.0249892	0.0198245	0.0203193	0.0209994	0.0287177	0.0719645
sont	0.0191591	0.0190138	0.0196037	0.0270639	0.0285854	0.0311838	0.0304546	0.0349323	0.0302435	0.0352008	0.0311242	0.0235015	0.0186235	0.0194404	0.0157197	0.0159505	0.0146692	0.0120289	0.00910385	0.00880675	0.0118769	0.0112575	0.0128185	0.0129592	0.0153875	0.0163871	0.0333399	0.030199	0.0314137	0.0376319	0.0390222	0.0366892	0.0393598	0.0587148	0.0586151	0.109918
remblayées	0.0469251	0.0374347	0.0357187	0.0334208	0.030528	0.025384	0.0213595	0.0153392	0.0108801	0.0129974	0.0156618	0.0141987	0.00881201	0.00964697	0.00695722	0.00769334	0.00759917	0.00757411	0.00779671	0.00765939	0.0111122	0.0100227	0.015187	0.0119072	0.0122027	0.0187131	0.0217	0.0347395	0.0455054	0.0711966	0.0550093	0.044319	0.0475853	0.0582347	0.0529437	0.126034
</S>	0.0437223	0.0295231	0.0273966	0.0239566	0.020771	0.0191743	0.0165475	0.0157123	0.0104531	0.0129507	0.00969661	0.00710724	0.0052078	0.00492616	0.00376371	0.00403569	0.00448677	0.00439971	0.0047533	0.00451458	0.00603663	0.0056063	0.00754685	0.00547145	0.00869248	0.0163925	0.0272979	0.0497495	0.0829714	0.0665416	0.0591619	0.0583791	0.0637842	0.0843562	0.0811327	0.10378
