 	e	l	o	n	d	z	í	s	í	l	í	y	é	é	l	ó	n	d	z	í	s	í	w	a	e	k	o	o	y	á	o	t	ω	m	b	í	l	i	é	k	í	n	d	i	s	i	n	g	á	a	t	ú	e	</S>
la	0.0121003	0.0154559	0.0165838	0.0125789	0.0173258	0.0117891	0.00996688	0.010598	0.00953839	0.00747416	0.0144403	0.019658	0.0297944	0.0421141	0.0533042	0.0377553	0.0264653	0.0272846	0.0304719	0.0303422	0.0399261	0.025265	0.0427335	0.0454392	0.0304341	0.0263687	0.0325253	0.0196217	0.00887359	0.00769737	0.00562565	0.00480126	0.00660816	0.00650374	0.00684997	0.00835846	0.00989904	0.0114047	0.0126612	0.0110663	0.00910011	0.0136327	0.0125712	0.0181078	0.0116342	0.0124794	0.013631	0.0155497	0.013526	0.0154243	0.0144293	0.0203539	0.0165082	0.0153476
manière	0.0122443	0.0144465	0.029717	0.0293485	0.0309876	0.0214938	0.0178073	0.0177825	0.0405809	0.0333004	0.025549	0.0413598	0.0374622	0.0604222	0.0532633	0.0517386	0.0511871	0.0267214	0.0419166	0.0439584	0.0417344	0.0420327	0.0495384	0.0345356	0.0101819	0.0103185	0.00710828	0.00610794	0.00306863	0.00142887	0.00140835	0.000701823	0.000963898	0.00151225	0.00189811	0.00158331	0.00308237	0.00163876	0.00227632	0.00339195	0.00532597	0.00630278	0.0100305	0.0119439	0.00277017	0.00956401	0.00738743	0.00727741	0.00823698	0.00834282	0.00758412	0.00551096	0.00277071	0.00115256
dont	0.0685444	0.028756	0.0262585	0.0135532	0.00874845	0.00672553	0.00851071	0.00967353	0.0161361	0.00755778	0.00606326	0.00706006	0.00834012	0.0174016	0.0279375	0.0343468	0.0419018	0.0401057	0.041245	0.0465203	0.0536546	0.0659706	0.0472835	0.0689811	0.0292079	0.023856	0.0195477	0.0115151	0.0103236	0.00672074	0.00728143	0.00402507	0.00448724	0.00571629	0.00448386	0.00748594	0.00595227	0.00526041	0.00642784	0.00920107	0.00805369	0.0107162	0.015822	0.00972368	0.0150683	0.0170429	0.0154782	0.01227	0.0110326	0.00507081	0.00506432	0.00301717	0.00443326	0.00443846
il	0.017568	0.020271	0.021949	0.0107174	0.00911471	0.00491857	0.00514476	0.00361001	0.00514491	0.003063	0.00223684	0.00326454	0.00481315	0.00817717	0.00774603	0.012924	0.0148608	0.0265163	0.0410687	0.0388542	0.0431299	0.0332057	0.0577367	0.119079	0.0570544	0.0434137	0.0672347	0.0576042	0.0219586	0.0204636	0.0212051	0.0160507	0.0201691	0.0171487	0.0151738	0.0133845	0.0195136	0.0141564	0.0116695	0.0181338	0.00659664	0.00890766	0.00969721	0.00776676	0.00381498	0.00194522	0.00120407	0.00121281	0.000561472	0.000584114	0.000496948	0.00100017	0.00124388	0.00551883
a	0.0393681	0.0220844	0.0165698	0.0166134	0.0190276	0.0157087	0.0177579	0.010547	0.0117058	0.00853989	0.0045951	0.00579584	0.00951641	0.0166134	0.0309106	0.0231584	0.025868	0.0256005	0.0178346	0.018848	0.0274554	0.0325175	0.0360089	0.0434081	0.0316822	0.028445	0.0283331	0.0274547	0.033157	0.0329303	0.0320075	0.0244612	0.0306939	0.0299311	0.021053	0.027747	0.0217805	0.0227003	0.0150352	0.018229	0.0103545	0.012062	0.0127816	0.00477226	0.00545559	0.00229254	0.00254196	0.00169471	0.00206609	0.00158748	0.00214704	0.00318452	0.00433407	0.0130315
explosé	0.0332384	0.0222206	0.0215367	0.0249738	0.0305386	0.0281677	0.0337155	0.0134712	0.0160604	0.0156704	0.00664449	0.00593016	0.00796703	0.010981	0.0228243	0.0174042	0.0202041	0.0278646	0.0172957	0.020489	0.0164833	0.0202717	0.0237962	0.0196806	0.0163638	0.0175877	0.0162134	0.0195298	0.0238115	0.0241151	0.0299994	0.0240748	0.033414	0.0308461	0.0255837	0.0398386	0.019423	0.0155584	0.0130785	0.016765	0.0116681	0.00916687	0.0186367	0.00551809	0.0109809	0.00669007	0.00822092	0.0046331	0.00461493	0.00420717	0.00618039	0.00962285	0.0128388	0.0433886
le	0.0132212	0.0119981	0.0111431	0.0102955	0.00841275	0.00683552	0.00953201	0.00806325	0.00868581	0.00700889	0.00506744	0.00473789	0.00510259	0.00613089	0.00698441	0.00926599	0.0157808	0.0211554	0.0259937	0.0273782	0.0227881	0.0262953	0.0273026	0.0344647	0.0296728	0.0346175	0.0280995	0.0324802	0.027769	0.0260418	0.0285952	0.0320067	0.0311247	0.0243657	0.0247095	0.0270197	0.0297903	0.0378159	0.0261113	0.023587	0.0229631	0.0194128	0.0213521	0.0151082	0.0169995	0.0108179	0.00924856	0.00672241	0.00567668	0.00566294	0.00739589	0.0130107	0.01239	0.0357881
pneu	0.0324443	0.0312429	0.0221718	0.0178974	0.0124263	0.00371938	0.00387078	0.0036259	0.00613425	0.0080607	0.00676588	0.00623132	0.00552193	0.00488248	0.00485589	0.00715602	0.00857156	0.0120022	0.0118949	0.0142181	0.0158731	0.0130987	0.0204705	0.0160865	0.0114613	0.0105738	0.0169927	0.0157994	0.015632	0.0144267	0.0145528	0.0166216	0.0208832	0.0168526	0.0301544	0.0215605	0.0378935	0.0283668	0.0331917	0.0302344	0.0339267	0.0265857	0.0235317	0.0222162	0.0248498	0.02153	0.0201766	0.0155226	0.00873736	0.0111221	0.0146377	0.0300784	0.0415209	0.081144
m'	0.0207579	0.0184654	0.0125914	0.00842094	0.00678291	0.00399397	0.0104856	0.00876348	0.0103553	0.00900295	0.00383542	0.00272931	0.00237987	0.0026987	0.00281717	0.0044805	0.00700724	0.0099396	0.020178	0.0214186	0.0152583	0.0145233	0.0167651	0.0135062	0.00960584	0.01268	0.0199506	0.0311717	0.0256368	0.0291541	0.0464639	0.0552512	0.0536703	0.0386943	0.0481268	0.0421606	0.0404216	0.0349545	0.0325067	0.0330928	0.0241819	0.0261187	0.0330598	0.0245522	0.0187637	0.0103998	0.00522296	0.00320003	0.00174231	0.00189464	0.00262479	0.00563647	0.00780508	0.0340983
a	0.107856	0.055996	0.0251399	0.0143384	0.0101463	0.0053934	0.00588093	0.00520843	0.00652256	0.00610247	0.004607	0.0052406	0.00322531	0.00324276	0.00385199	0.00406844	0.00675771	0.00932904	0.0155071	0.0156174	0.0113834	0.0120177	0.0166249	0.0102481	0.0070304	0.00698659	0.0127235	0.0146056	0.0123653	0.0115826	0.0130053	0.0159805	0.0216577	0.0224652	0.0271789	0.0300392	0.0388851	0.025551	0.0275925	0.02088	0.0178182	0.0133756	0.0106394	0.0200348	0.0142984	0.0113961	0.0103885	0.0102992	0.00510363	0.014751	0.018053	0.0325006	0.0371002	0.111407
