 	s	w	é	y	e	e	k	i	r	í	b	á	a	n	g	á	a	d	í	o	k	á	n	g	í	l	á	k	a	n	g	i	l	a	</S>
le	0.0157853	0.0344591	0.0408855	0.0210829	0.0190002	0.0126435	0.0216076	0.020361	0.0281644	0.0268324	0.033335	0.0361962	0.0367752	0.0391928	0.0387071	0.0485472	0.0663404	0.0479278	0.0319753	0.0333846	0.0241044	0.0220274	0.0231236	0.0161783	0.0205487	0.0163552	0.022973	0.0255197	0.026862	0.0229312	0.0308814	0.0286239	0.0294596	0.0206936	0.0165143
poisson	0.0269482	0.0405511	0.05393	0.168533	0.235596	0.230232	0.0552606	0.0195989	0.00156716	0.00201061	0.00286137	0.0060578	0.00949713	0.00909968	0.00602041	0.00825721	0.00900968	0.0122505	0.00519495	0.00342087	0.00820618	0.00383461	0.00583728	0.00592638	0.00694665	0.00689659	0.0148925	0.0128538	0.0127744	0.00567304	0.00344339	0.00227721	0.00261326	0.00144253	0.000485326
qu'	0.0324558	0.0508477	0.0454064	0.0326702	0.0292038	0.0494335	0.0119142	0.00985503	0.0153868	0.0209635	0.03744	0.0281303	0.0487995	0.0210088	0.0254979	0.0240947	0.0196838	0.0268838	0.0256775	0.0194809	0.0438727	0.0617003	0.0406564	0.0441618	0.02832	0.032531	0.0427135	0.0375939	0.0249915	0.0143687	0.0113183	0.0128659	0.0113871	0.0135284	0.0051562
ils	0.0604484	0.0435693	0.0452164	0.0406961	0.0479331	0.0304065	0.0299292	0.0244371	0.0302336	0.0475224	0.0614291	0.0515658	0.0477362	0.0459342	0.0238285	0.0219514	0.0137762	0.0217788	0.0177906	0.0162745	0.0189174	0.0274654	0.0174498	0.0119128	0.00906471	0.00681425	0.012637	0.0122919	0.0139055	0.0124475	0.0180706	0.0202388	0.0273761	0.0182911	0.0506594
m'	0.0800475	0.0411023	0.0304144	0.0405462	0.0519419	0.0562164	0.0456777	0.0364909	0.0244669	0.0308305	0.0385267	0.0320009	0.0503639	0.0501959	0.0429347	0.0374168	0.0258225	0.0252728	0.0234409	0.0209567	0.0178282	0.015676	0.0140393	0.0133716	0.014991	0.0100581	0.00984557	0.00956538	0.00946728	0.00865184	0.00977583	0.00855502	0.0147085	0.0154118	0.0433881
ont	0.0800618	0.0377319	0.0247506	0.0269005	0.0333224	0.0360847	0.0391348	0.0420005	0.0373782	0.0331122	0.0209096	0.0201396	0.0174093	0.0202911	0.0247974	0.0203128	0.012148	0.018566	0.0240975	0.0249105	0.0170666	0.0142533	0.0115973	0.0145151	0.0188789	0.0130106	0.0262541	0.0255626	0.022142	0.0250427	0.0251165	0.0257009	0.0294864	0.0401777	0.097136
vendu	0.0554409	0.0408726	0.0354865	0.0317703	0.0303104	0.0319066	0.0302759	0.0313104	0.0303317	0.0310342	0.0236667	0.0240357	0.0349673	0.0392539	0.0346781	0.0286671	0.0166659	0.0228109	0.0184296	0.0167896	0.0245592	0.0129816	0.0151803	0.0164831	0.0195963	0.0181543	0.0229871	0.0241283	0.0233533	0.022408	0.0301439	0.0242707	0.0326279	0.0355546	0.068867
est	0.0844722	0.0296632	0.0302329	0.0273871	0.0276158	0.0369534	0.0504452	0.0605608	0.04	0.0409952	0.0351177	0.0430336	0.116155	0.104011	0.0363668	0.0240269	0.0147612	0.0166477	0.0172265	0.00834454	0.00596355	0.00573721	0.00484668	0.00429031	0.00514077	0.00362553	0.00554394	0.00463048	0.00535184	0.00433431	0.00549437	0.00555487	0.00860695	0.0129045	0.0739573
grillé	0.0439913	0.0232297	0.0251493	0.0278078	0.0314809	0.0262665	0.0232156	0.0176394	0.0171956	0.0125612	0.0151714	0.0173706	0.018224	0.0236784	0.021866	0.0236567	0.0175822	0.0232703	0.0343386	0.0330673	0.0311647	0.0244574	0.020482	0.011495	0.0197306	0.00958513	0.0317523	0.0188193	0.0256527	0.0243768	0.0289729	0.0190312	0.0521809	0.0422041	0.163332
</S>	0.0472352	0.0191174	0.0212223	0.0187715	0.0196399	0.0179852	0.0295646	0.0360286	0.0495927	0.0454362	0.0487539	0.0449131	0.0227762	0.027697	0.0312223	0.0249217	0.022496	0.0197135	0.0422905	0.0496566	0.0317192	0.0248509	0.0200212	0.0111585	0.0101746	0.00770914	0.0106946	0.0100624	0.0115499	0.0126732	0.0212818	0.0189488	0.0258408	0.0243805	0.1199
