 	o	p	ε	p	ε	m	á	p	y	é	b	h	i	b	á	a	l	a	m	w	é	s	é	á	d	z	a	b	á	a	d	z	ω	ώ	p	á	m	i	l	a	b	i	a	</S>
la	0.00785693	0.0118755	0.010334	0.0118935	0.0233846	0.023399	0.0294765	0.0298975	0.0340375	0.0329754	0.0331696	0.039868	0.0404642	0.0391411	0.0463017	0.055067	0.0436132	0.0283725	0.0272473	0.0233814	0.0350321	0.0171071	0.00933112	0.0105493	0.0108383	0.00881918	0.00661738	0.00754809	0.00701276	0.00748698	0.00755786	0.00850868	0.00636487	0.0091465	0.0151822	0.0186446	0.0223295	0.0237058	0.0271378	0.0231028	0.03492	0.0486974	0.0242961	0.0183071
bise	0.0314122	0.0796631	0.0972781	0.166355	0.161176	0.107144	0.0523618	0.0363117	0.034377	0.0199735	0.0126153	0.0158581	0.0169789	0.00794578	0.0126623	0.0137115	0.00943024	0.00510428	0.00286178	0.00172426	0.00374216	0.0024561	0.00132471	0.0019553	0.00562992	0.00336808	0.00139071	0.00443669	0.0025463	0.00431255	0.00513437	0.00340323	0.00321392	0.00416281	0.00756101	0.0126079	0.0152198	0.0146129	0.00315498	0.00294056	0.00326771	0.00615475	0.00147226	0.000986863
et	0.0586989	0.0488327	0.043801	0.0352853	0.0350077	0.0450345	0.0499168	0.0311402	0.0183595	0.0241775	0.0185673	0.0169007	0.0201397	0.0120933	0.0120903	0.0167945	0.0152085	0.0131959	0.00859789	0.0158327	0.0105986	0.0194585	0.0148045	0.0116981	0.010532	0.0111815	0.00999953	0.0113415	0.0127476	0.0142585	0.00836505	0.0131382	0.0128021	0.0209757	0.0278086	0.0315387	0.0487347	0.0357199	0.0225666	0.0177783	0.0261753	0.0169103	0.0228344	0.0283569
le	0.016996	0.0263922	0.0305901	0.0321021	0.031747	0.0324707	0.0264953	0.0230517	0.0129768	0.0101151	0.0096454	0.00771684	0.00369821	0.00369713	0.00344253	0.00385496	0.0049002	0.00609068	0.00946489	0.0040213	0.01242	0.0305738	0.0211054	0.0291948	0.0233935	0.0451515	0.0253907	0.0428423	0.047326	0.0344655	0.0280754	0.0344473	0.0328816	0.0338851	0.0382021	0.0290927	0.017451	0.018628	0.0185521	0.0131689	0.0226832	0.0173288	0.0344187	0.0498525
soleil	0.0278972	0.0220504	0.0260304	0.0339616	0.039069	0.0543473	0.0551029	0.0484938	0.0428845	0.0455108	0.0262089	0.0247212	0.0308601	0.016302	0.011288	0.00906764	0.00782166	0.0108428	0.0125068	0.00430175	0.00683596	0.0226162	0.0256942	0.0183119	0.0269945	0.0378632	0.0219882	0.041148	0.0157233	0.0254916	0.00951809	0.0255846	0.0171873	0.0141952	0.010541	0.0108217	0.013198	0.00640126	0.00963438	0.00511401	0.0149854	0.0139527	0.0166698	0.040261
se	0.0533398	0.031182	0.0243329	0.016715	0.0152016	0.016139	0.016461	0.0156446	0.0152521	0.0206002	0.0150995	0.0182367	0.0141954	0.0121419	0.0078872	0.00923033	0.0101367	0.00976967	0.0224066	0.0289001	0.0625222	0.0603323	0.0330046	0.0373343	0.0327565	0.0630333	0.0306048	0.0344957	0.0162535	0.0148773	0.0115782	0.0128599	0.0161174	0.0195628	0.0183061	0.0168424	0.0197109	0.00992784	0.0168371	0.00858615	0.0189263	0.00989376	0.0207286	0.0420361
disputaient	0.0415784	0.0498482	0.0489737	0.0423667	0.0316363	0.0332017	0.0382891	0.0250614	0.0187358	0.019239	0.0175915	0.0220085	0.0271332	0.0298293	0.0221876	0.0167366	0.0173466	0.0387293	0.0322991	0.0052437	0.00786333	0.0173712	0.0260834	0.0148525	0.0484714	0.0349931	0.0181526	0.0266713	0.0081611	0.0107158	0.00321153	0.0106301	0.00654541	0.00757003	0.00775789	0.00723154	0.00942724	0.00655666	0.00737527	0.00486227	0.0152166	0.0163022	0.0149617	0.0909802
chacun	0.042634	0.0218893	0.0199931	0.0156578	0.0138353	0.0201145	0.0283708	0.0300138	0.0170618	0.0163297	0.0120304	0.0120699	0.0114229	0.0133711	0.0130236	0.00981329	0.0117529	0.0200549	0.0213448	0.00659497	0.0111642	0.0324534	0.0260608	0.037635	0.0724872	0.0765395	0.0552355	0.0529233	0.034238	0.0371007	0.0122531	0.0372803	0.0193044	0.015485	0.00901145	0.00527523	0.00255446	0.00194944	0.00331387	0.00225092	0.00635832	0.00859423	0.0209884	0.0621646
qu'	0.0302008	0.0163736	0.014891	0.013342	0.0119257	0.0134155	0.0126662	0.00859622	0.00652626	0.00972565	0.00904164	0.0100889	0.0132229	0.0142972	0.00947721	0.00821069	0.0117659	0.0136211	0.0208938	0.0215301	0.0508619	0.0398243	0.0257354	0.0260494	0.0354055	0.0417637	0.0323896	0.023095	0.0131915	0.0198482	0.0355334	0.0200687	0.026659	0.0225229	0.0283554	0.0271487	0.0277357	0.0224932	0.0285071	0.0247884	0.0283399	0.0340965	0.0347701	0.0610043
il	0.0681699	0.0502675	0.044021	0.0322387	0.0285532	0.0268582	0.0231437	0.0207202	0.010884	0.0134265	0.00601395	0.005456	0.00529205	0.00510834	0.00251193	0.00207104	0.00255488	0.0029675	0.00412134	0.00517766	0.0138421	0.0222898	0.0116214	0.0233925	0.0222367	0.029963	0.0220139	0.029991	0.0345193	0.0318461	0.0341891	0.0393601	0.0397096	0.0323158	0.0360365	0.0196488	0.0175913	0.0146485	0.0179993	0.0124897	0.0176831	0.0144881	0.0360814	0.0664853
était	0.147249	0.0384861	0.0188957	0.0100428	0.00722974	0.00605992	0.00513088	0.00511797	0.00408628	0.00457726	0.00452105	0.00527775	0.0102042	0.016163	0.00887343	0.00761814	0.00939988	0.012068	0.0215892	0.0227283	0.0500256	0.0444174	0.0343899	0.0429074	0.0595027	0.0635081	0.0329038	0.0339787	0.016739	0.0157992	0.0125094	0.0101363	0.0147253	0.0112748	0.00753217	0.00616574	0.00874625	0.00644102	0.0109239	0.0113043	0.0148513	0.0134809	0.029407	0.0830116
plus	0.0779089	0.0238947	0.0155041	0.00841359	0.00469945	0.00389582	0.00405244	0.00393778	0.00274963	0.00284981	0.00269247	0.00340811	0.00716148	0.0114764	0.00929179	0.0129496	0.0137766	0.0143477	0.0198323	0.0158234	0.0736943	0.0478273	0.0285071	0.0386961	0.0801474	0.0790413	0.0357725	0.0362945	0.0112408	0.0133674	0.0170329	0.00976034	0.0121473	0.0104769	0.0093723	0.00848202	0.0117898	0.00747017	0.0162802	0.0119174	0.0298907	0.0221697	0.0394038	0.0905516
fort	0.0513962	0.0345422	0.0256543	0.0157787	0.0110195	0.00625439	0.00496363	0.00472356	0.00430054	0.00517595	0.00502723	0.0061458	0.00556218	0.00656607	0.00571982	0.00598717	0.008383	0.0104569	0.0186157	0.00971038	0.0267035	0.0255238	0.0212997	0.0301988	0.0367112	0.0304875	0.0135283	0.0161605	0.0118099	0.0107812	0.00895585	0.00612524	0.0084214	0.00984718	0.0136579	0.0184939	0.0294802	0.0190795	0.0425009	0.036723	0.0598217	0.0573825	0.0886572	0.131666
</S>	0.0260265	0.019756	0.020051	0.0175769	0.0171046	0.0156788	0.0145847	0.0130493	0.00788608	0.00761031	0.00832327	0.00702981	0.00501582	0.00721781	0.00557176	0.0047909	0.00667358	0.0082299	0.0108127	0.00606574	0.0348878	0.0331999	0.0198999	0.0240103	0.0576274	0.0417729	0.0172	0.0293206	0.0166454	0.0204748	0.0156258	0.0114965	0.0107229	0.013948	0.0185406	0.0279081	0.0229457	0.0259072	0.0249724	0.0245921	0.0382609	0.0576072	0.0581391	0.125239
