 	n	g	á	l	a	m	o	ó	p	i	á	m	b	ó	m	b	ó	k	ó	l	i	m	é	t	á	i	</S>
j'	0.177206	0.151145	0.143679	0.188581	0.0639135	0.0100007	0.00773978	0.00533931	0.00874623	0.0136954	0.0131655	0.0116773	0.01247	0.0113508	0.0124814	0.0119127	0.0132018	0.0128832	0.0143188	0.0151763	0.0120405	0.0138122	0.0146245	0.0162166	0.0149624	0.0144616	0.0151986
ai	0.0874544	0.0330719	0.0349903	0.0485499	0.0514584	0.10887	0.0617183	0.0578438	0.0574301	0.0516638	0.061439	0.0420658	0.027868	0.029102	0.0262842	0.0251849	0.0272089	0.0287241	0.0281009	0.0126016	0.0120623	0.0104345	0.00975486	0.00911997	0.0113024	0.0150068	0.030689
déjà	0.0319542	0.0174879	0.0164457	0.0226679	0.0312814	0.0496212	0.0470577	0.036372	0.0252092	0.0252295	0.0268111	0.0398146	0.061778	0.0738776	0.0801528	0.0629566	0.0792704	0.0549776	0.0513878	0.0219742	0.0218216	0.0209941	0.0215481	0.0155011	0.0194471	0.0230131	0.0213475
attrapé	0.00770937	0.00572703	0.00435472	0.0044676	0.00539077	0.0166531	0.0204814	0.0319183	0.0335002	0.0476141	0.0486294	0.0592244	0.0586891	0.0740672	0.0614958	0.0818847	0.0797224	0.0703224	0.0569048	0.0329788	0.032589	0.0267671	0.0224625	0.018239	0.0226908	0.0308961	0.0446202
un	0.00894291	0.00735953	0.00870196	0.0168959	0.0247619	0.0394391	0.0433212	0.0237465	0.0161057	0.0166269	0.0148083	0.0180483	0.0187488	0.0195345	0.0262267	0.0626955	0.076764	0.0737274	0.0667441	0.0553145	0.0707013	0.0806315	0.0335185	0.039207	0.0464944	0.0392528	0.0516808
barbu	0.00860428	0.00802535	0.0108019	0.0195523	0.0347575	0.0245085	0.0237344	0.0289657	0.0236625	0.0235525	0.0238537	0.0330696	0.0348132	0.0373617	0.0384338	0.0419502	0.0386995	0.0376859	0.0391256	0.0529121	0.0497574	0.0610155	0.0544008	0.0629909	0.0637752	0.0568922	0.0670979
à	0.0104251	0.00951462	0.00963462	0.0131198	0.020008	0.0170352	0.0156662	0.0200865	0.0185208	0.0206106	0.016611	0.0223146	0.0236246	0.0250563	0.0292142	0.0606758	0.0642842	0.0704618	0.0780696	0.0717693	0.0762877	0.0705694	0.0529132	0.0476073	0.0482826	0.0410933	0.0465437
diadème	0.0505299	0.0223576	0.0179162	0.0185252	0.0228543	0.0342191	0.0362243	0.03085	0.0290875	0.0235731	0.0243971	0.0246958	0.0262351	0.0344509	0.0348347	0.0352648	0.0308587	0.0297482	0.0259208	0.0331783	0.0342723	0.0420624	0.0432767	0.0483173	0.0671499	0.0704546	0.108745
dans	0.0186202	0.0160877	0.0128599	0.0152351	0.024475	0.0298241	0.0203	0.0202018	0.0213436	0.0158264	0.0117055	0.0107808	0.0118516	0.0127638	0.0127665	0.0236853	0.0349065	0.046819	0.0497053	0.043803	0.0385052	0.0597866	0.063273	0.0599105	0.0826515	0.086198	0.156114
le	0.0258994	0.0209735	0.0271637	0.038831	0.0517551	0.0343578	0.0292961	0.0247656	0.0251081	0.0186948	0.0150938	0.011445	0.0162545	0.0171823	0.0158158	0.0206388	0.0235943	0.0309895	0.0218604	0.018982	0.0299814	0.0357597	0.0567508	0.0591787	0.0823151	0.109001	0.138311
gluau	0.0186457	0.0160503	0.0184601	0.0271203	0.0306736	0.0174905	0.0123315	0.019694	0.0139056	0.0127011	0.0120713	0.010376	0.0108105	0.0208973	0.0164641	0.0176714	0.02175	0.0301518	0.0322159	0.0309658	0.0276009	0.0352913	0.0918678	0.0620242	0.0833884	0.12586	0.18352
</S>	0.0471793	0.0223298	0.0202618	0.0282939	0.0323088	0.0311392	0.0245351	0.0181123	0.0106516	0.0103938	0.00831905	0.00721412	0.00824457	0.0124196	0.0115225	0.0210822	0.0274248	0.0417432	0.0393843	0.0409759	0.0303245	0.0363548	0.065464	0.0378617	0.049257	0.0932697	0.223933
