 	o	d	i	m	í	b	ó	l	á	a	w	á	n	g	á	e	k	ú	t	s	í	n	a	t	á	á	á	p	έ	ε	n	g	á	m	b	ώ	n	g	ω	a	n	y	í	m	í	w	a	</S>
mon	0.00783808	0.00831332	0.0121819	0.0190353	0.0228251	0.0227121	0.0115093	0.0164335	0.0340824	0.0421929	0.0491661	0.042085	0.0460151	0.0438103	0.0305928	0.0289761	0.0196628	0.0202241	0.0232933	0.0118782	0.0101142	0.0156506	0.0154541	0.0166001	0.020614	0.0260148	0.0280027	0.0172967	0.022124	0.0162734	0.028899	0.0287026	0.0138797	0.0145912	0.00855423	0.00955145	0.00795031	0.0125564	0.00853237	0.00962508	0.0126164	0.015648	0.0239312	0.024163	0.0221612	0.0230454	0.0171532	0.0174671
cadet	0.0121758	0.0924249	0.123112	0.0843683	0.0648558	0.0410756	0.0313519	0.0257844	0.0158652	0.0190981	0.0184321	0.0194658	0.0254787	0.0124451	0.00989714	0.0355897	0.0134882	0.015782	0.00482005	0.00432519	0.00724055	0.00619888	0.0069564	0.00281867	0.00500792	0.00471491	0.00428302	0.00203797	0.00235217	0.00124568	0.000410948	0.00261661	0.00227933	0.00674465	0.00385657	0.00466908	0.0260392	0.00788796	0.0275824	0.0343445	0.0425094	0.0282195	0.0487477	0.0253702	0.0117687	0.0113669	0.00109957	0.00179474
est	0.0625503	0.0302083	0.0354059	0.0368508	0.0192284	0.0270496	0.0283175	0.0733428	0.0700269	0.00627511	0.00909882	0.0436178	0.0269169	0.0260649	0.0186253	0.018555	0.0132153	0.0168668	0.00904495	0.00708495	0.00869539	0.0142451	0.024251	0.0112757	0.0272562	0.0288102	0.0410542	0.0201057	0.0135159	0.00953208	0.0126243	0.0414107	0.0107423	0.0110964	0.0077132	0.0132646	0.0111765	0.0156598	0.00821285	0.0123747	0.0108322	0.00862967	0.0170471	0.0181368	0.00696254	0.00661445	0.00712227	0.00329135
jaloux	0.0127886	0.0205792	0.0348312	0.0385881	0.0300531	0.0293001	0.0243779	0.0209013	0.0235489	0.0105918	0.0163526	0.0213424	0.00798151	0.00856624	0.00604366	0.00979216	0.00776088	0.0125174	0.0170301	0.0165252	0.0197108	0.0215658	0.0297267	0.0261833	0.0477844	0.0408703	0.0608464	0.0355744	0.035674	0.0169775	0.0240683	0.0434411	0.0169911	0.00952539	0.011433	0.0182649	0.0100464	0.0135398	0.0124131	0.019286	0.0163892	0.0140091	0.0145418	0.0154918	0.00727739	0.00627609	0.0223434	0.0202762
de	0.00859102	0.0097238	0.0143457	0.0125263	0.0175244	0.0164364	0.0153508	0.011295	0.0147766	0.00818033	0.00773479	0.0161356	0.0142389	0.00551107	0.00462606	0.0044588	0.00452846	0.00462936	0.00575965	0.00736059	0.00946923	0.0136683	0.0198999	0.0268715	0.0236946	0.022908	0.0352437	0.038897	0.0235305	0.0376884	0.0480422	0.0328554	0.0229413	0.0185196	0.0688069	0.0467848	0.037753	0.048585	0.0257385	0.0269858	0.0274019	0.0294901	0.0317385	0.0145685	0.0123669	0.00916691	0.0193958	0.0232542
moi	0.00501618	0.00797961	0.00829062	0.0079656	0.00693383	0.0096927	0.0127495	0.0175734	0.0224494	0.0149513	0.0139792	0.0140986	0.0111947	0.00791016	0.00594348	0.00529858	0.00536206	0.00500922	0.00808182	0.00691888	0.0088084	0.0121421	0.0161498	0.0188566	0.0173958	0.0180881	0.0244037	0.0258808	0.0202186	0.0208644	0.0253027	0.0257387	0.023748	0.028648	0.0468812	0.049925	0.0488862	0.0513161	0.0452932	0.0470515	0.0374081	0.0368098	0.0308534	0.0296607	0.0295151	0.0208848	0.0216797	0.0201906
parce	0.0165793	0.0121671	0.0117999	0.0121775	0.0100097	0.012997	0.0129133	0.0113899	0.0144108	0.00807509	0.00699691	0.00749638	0.00696753	0.00458758	0.00550055	0.00609166	0.00603632	0.0115451	0.0110021	0.015165	0.0215943	0.0149383	0.0179471	0.026275	0.028953	0.030584	0.0374254	0.0361764	0.028066	0.0436997	0.0439178	0.0322348	0.0398665	0.0331184	0.055126	0.0422027	0.0383759	0.0419639	0.0266582	0.029754	0.0258105	0.0189514	0.0186879	0.0109084	0.0103278	0.0076938	0.0124516	0.0223828
que	0.0114164	0.0159221	0.0189794	0.0184876	0.0203773	0.0222423	0.0200269	0.0193204	0.0196092	0.0126603	0.0138307	0.00933077	0.0103448	0.00561007	0.0123058	0.0062188	0.00533682	0.00754267	0.00853886	0.0125798	0.0137817	0.0114669	0.018483	0.0350265	0.0281842	0.0226633	0.0410821	0.0386521	0.0233534	0.0399664	0.0474492	0.0316327	0.033343	0.0214962	0.0360575	0.038718	0.0289231	0.029204	0.0245029	0.0227115	0.0256432	0.0243431	0.0187913	0.0102029	0.00911894	0.00830136	0.0115738	0.0346466
notre	0.00873093	0.0120548	0.0137683	0.0125384	0.0124009	0.0118488	0.0107391	0.00733527	0.00702878	0.00413561	0.00427537	0.00526409	0.00598957	0.004504	0.00352019	0.00355955	0.00437974	0.00400594	0.00915948	0.0108374	0.00930171	0.011972	0.018919	0.0227145	0.0262107	0.0209515	0.034748	0.0327783	0.0265649	0.0394223	0.0448918	0.0371112	0.0415873	0.0402939	0.0454453	0.0419324	0.0460665	0.0331086	0.0414263	0.0359757	0.047622	0.0425494	0.0227672	0.0133723	0.0102334	0.00945236	0.0159673	0.0305378
père	0.0256147	0.0136106	0.0127503	0.010387	0.00702709	0.00566669	0.00352134	0.00238442	0.0053606	0.00394658	0.00374635	0.00373815	0.00571816	0.0038293	0.00617803	0.0101645	0.0140917	0.0157459	0.015557	0.01872	0.0259287	0.0181684	0.0207663	0.0202473	0.0125169	0.0186418	0.0164313	0.0143135	0.00914654	0.0192363	0.0174545	0.0247318	0.0372589	0.0471009	0.0819159	0.076944	0.0643491	0.055234	0.0386283	0.03337	0.0236696	0.0172169	0.0211301	0.0108264	0.00777463	0.0161616	0.0152883	0.0477894
m'	0.0408629	0.0185629	0.01309	0.010868	0.00564556	0.00285948	0.00205788	0.00263498	0.00480434	0.00230933	0.00186046	0.00172213	0.00215122	0.00229619	0.002334	0.00301529	0.00402736	0.00787892	0.0120588	0.0153715	0.0223201	0.0190073	0.0289609	0.044398	0.0353393	0.0462942	0.0367658	0.0517894	0.0339305	0.0674379	0.0493994	0.0333072	0.0448325	0.0286105	0.0231086	0.0236751	0.0265077	0.0170118	0.0284249	0.0150204	0.0168093	0.00802027	0.0174304	0.0119766	0.00791331	0.0154086	0.0296955	0.0601932
a	0.0760285	0.0241481	0.0110879	0.00782371	0.00394618	0.00406365	0.00432682	0.00448837	0.00669761	0.00607835	0.00522407	0.0038544	0.0051375	0.00535811	0.0039634	0.00569314	0.00605851	0.00963833	0.0191913	0.0229022	0.0337413	0.026987	0.0434935	0.051905	0.0410371	0.0420908	0.0374177	0.0515291	0.025411	0.0584434	0.04503	0.0221666	0.0406042	0.0208733	0.0209861	0.0248176	0.0205257	0.0117648	0.015069	0.00756279	0.00837571	0.00316652	0.00746612	0.00546163	0.00399073	0.0126134	0.0169272	0.0648327
donné	0.059368	0.0229865	0.00942205	0.00669703	0.00303227	0.00220378	0.00240382	0.00233039	0.00315173	0.0029602	0.00360354	0.00411084	0.00655059	0.00803537	0.00669172	0.00995834	0.00843062	0.0162213	0.0149057	0.0192731	0.0274662	0.0265343	0.0430046	0.0482974	0.0402273	0.0470604	0.0427422	0.0524801	0.0237889	0.0531342	0.0628758	0.0270736	0.0449051	0.0247938	0.0204489	0.0218603	0.0214314	0.0120051	0.0164688	0.00958583	0.0113861	0.0056791	0.00844369	0.00573314	0.00432205	0.00975874	0.0226951	0.0534607
de	0.0623241	0.0253751	0.0230904	0.0103755	0.00730566	0.00380336	0.00379311	0.00425764	0.00935669	0.0051983	0.00236266	0.00266936	0.00383026	0.00382759	0.00200154	0.00600247	0.00564749	0.0140331	0.0237445	0.022053	0.0220049	0.0379637	0.053063	0.0629831	0.0395667	0.0361184	0.0427844	0.0415329	0.025463	0.0447386	0.0457331	0.0253545	0.023538	0.0226242	0.0240659	0.0248611	0.021509	0.0168274	0.0156996	0.00998141	0.0107289	0.00839183	0.0162775	0.0138948	0.00785842	0.0165166	0.0227543	0.0261131
l'	0.0855108	0.0452838	0.0262633	0.0136274	0.0091768	0.00603914	0.00585251	0.00586985	0.00882231	0.00630899	0.00503935	0.00421955	0.00458648	0.00378789	0.00410501	0.00650571	0.00522678	0.0142702	0.0216916	0.0248759	0.0234404	0.036427	0.0491689	0.0514678	0.0358257	0.0453717	0.033547	0.0339993	0.0204658	0.0437712	0.0343059	0.0170768	0.0329626	0.0131378	0.0127672	0.0107851	0.011779	0.00885725	0.0108075	0.0082556	0.014453	0.0103835	0.0150784	0.0147171	0.00779793	0.0138366	0.0248534	0.0575974
argent	0.0342668	0.0198708	0.00922946	0.00522222	0.00388137	0.00203893	0.0017826	0.00193265	0.00275334	0.00318054	0.00822223	0.00704339	0.00640454	0.00664593	0.01029	0.00780315	0.00504976	0.0158039	0.00903109	0.0127398	0.0174941	0.0225381	0.0303454	0.0450052	0.0332435	0.0338687	0.0319774	0.0408227	0.0172835	0.0371607	0.0434091	0.019326	0.0473917	0.0188097	0.0164226	0.0203108	0.0232403	0.0160564	0.0233658	0.0140517	0.0189435	0.0143807	0.0199799	0.0200045	0.0138645	0.039007	0.0510181	0.0974859
et	0.049213	0.0217893	0.0106152	0.00584382	0.00678989	0.00534139	0.00630907	0.00624143	0.0135413	0.0125684	0.0138089	0.00736687	0.0104082	0.0111465	0.0102905	0.00766869	0.00446064	0.0111431	0.011204	0.0143461	0.0266667	0.0247961	0.0336167	0.0479882	0.0255805	0.0262896	0.0238067	0.0387334	0.0157488	0.0370492	0.0363991	0.0141992	0.0420471	0.0172491	0.0406922	0.0419433	0.0331742	0.0222537	0.0200864	0.0093047	0.00705046	0.00498059	0.0124775	0.0073037	0.00550669	0.0189847	0.0396571	0.0863182
lui	0.0818687	0.0325301	0.0218733	0.011233	0.00841695	0.00635559	0.00691312	0.00593156	0.0122204	0.0111292	0.00944838	0.00849258	0.0101485	0.00745801	0.00609364	0.0044068	0.00263198	0.00726133	0.00816254	0.0107584	0.0157143	0.0181902	0.0231588	0.0334258	0.032955	0.0295355	0.0309984	0.0279098	0.0159736	0.0307653	0.0342181	0.015475	0.036121	0.0134096	0.026216	0.0303339	0.0221231	0.0198375	0.0148764	0.00942545	0.00903067	0.00682467	0.014873	0.00922503	0.00807184	0.0295166	0.0550758	0.113386
en	0.0891107	0.0303054	0.0182573	0.0100852	0.00494229	0.00347811	0.00314455	0.00348605	0.00797828	0.00520585	0.00642366	0.00334854	0.00311381	0.00287251	0.00458519	0.00193081	0.00142069	0.00347802	0.00726587	0.0109241	0.0165643	0.0160117	0.0245377	0.0429021	0.0319781	0.0331655	0.0271267	0.0323267	0.0190918	0.0404081	0.0444659	0.016041	0.0433067	0.0137976	0.020332	0.0227064	0.0175122	0.0129158	0.0163764	0.0066543	0.00760894	0.00492852	0.00814672	0.00775922	0.00527336	0.0184629	0.0574079	0.170834
a	0.0500588	0.0203087	0.00827339	0.00464003	0.0037358	0.00211719	0.00215905	0.0031491	0.0064618	0.00594316	0.00875423	0.00757431	0.00683373	0.00561351	0.00979897	0.00690979	0.00511382	0.0113668	0.00663136	0.0110028	0.0217904	0.0207093	0.0264943	0.0469765	0.0366568	0.0386788	0.0374678	0.0359061	0.0157781	0.0491971	0.0405748	0.0182845	0.0344892	0.0164552	0.0244093	0.0234797	0.0238677	0.0174372	0.0178021	0.0115495	0.0135063	0.00969378	0.0183252	0.0123219	0.0111634	0.0288721	0.0453173	0.116349
refusé	0.0609303	0.0212174	0.0114995	0.00670049	0.00355602	0.00280902	0.00311798	0.00439068	0.010626	0.00665648	0.00918414	0.00472502	0.00457534	0.00444074	0.00623719	0.00256597	0.00186214	0.00408913	0.00554891	0.0086417	0.0151077	0.0154954	0.0224118	0.0358377	0.0242952	0.0255841	0.0236743	0.0312744	0.017876	0.0376262	0.049237	0.0162549	0.0465733	0.0215441	0.0361158	0.0368486	0.0337721	0.0212262	0.0311657	0.0114494	0.0105359	0.00700863	0.012016	0.00993152	0.00615205	0.0249547	0.0624685	0.130189
</S>	0.0838013	0.0428446	0.0449415	0.0325705	0.0238587	0.0346444	0.0508835	0.0587508	0.0900655	0.0370135	0.0152623	0.00941579	0.00949642	0.00759686	0.00903352	0.00569682	0.00444521	0.00667235	0.00967729	0.0106113	0.0128345	0.0104821	0.0124201	0.0143502	0.0151756	0.018214	0.0156667	0.0217579	0.0195207	0.0239882	0.0125131	0.0142723	0.018099	0.0113948	0.0155548	0.0131956	0.0136026	0.0127345	0.0119888	0.0110113	0.0136163	0.00955316	0.014976	0.00724051	0.00483742	0.00666271	0.0196827	0.0373721
