 	e	k	a	n	g	í	l	í	y	á	w	a	y	á	s	á	á	é	d	í	l	a	m	w	a	</S>
sa	0.00486525	0.00950814	0.0136693	0.0208448	0.00948502	0.00788221	0.00991263	0.0079169	0.0173659	0.0238577	0.0503932	0.042783	0.052036	0.042742	0.087562	0.0778897	0.128411	0.0905181	0.0807094	0.0495794	0.0461872	0.0435516	0.0262631	0.0211605	0.0188292	0.0160771
manière	0.0179272	0.0422895	0.138718	0.0525544	0.0128957	0.0115685	0.0248049	0.0173736	0.0172488	0.0209628	0.0540021	0.028141	0.0213976	0.0560766	0.0326596	0.0379583	0.0329285	0.0364916	0.0514111	0.0205636	0.0716762	0.0668358	0.0611052	0.0313558	0.0331664	0.00788707
de	0.144176	0.0891939	0.0485985	0.0440991	0.0397364	0.0466627	0.0235503	0.0285227	0.0150762	0.0286157	0.033206	0.0447289	0.0316565	0.0301656	0.041434	0.0379405	0.033438	0.0342567	0.0252318	0.0392683	0.023124	0.0192261	0.0192692	0.0355258	0.0201412	0.0231563
cuire	0.0404566	0.0666637	0.0365059	0.0887272	0.10061	0.0383146	0.0231934	0.0100745	0.0169133	0.0382968	0.0253192	0.028621	0.0190266	0.0162746	0.0202968	0.0151919	0.0253906	0.0237227	0.0245081	0.0292492	0.0395024	0.0427997	0.0451236	0.0481556	0.0359967	0.101065
le	0.0378055	0.0499968	0.0767286	0.0898731	0.135883	0.100436	0.096599	0.0524707	0.0258016	0.0133207	0.0130387	0.00733973	0.00858693	0.00912206	0.0130328	0.00631248	0.0114998	0.0116656	0.0100219	0.0129285	0.023236	0.0278624	0.0265799	0.0369453	0.02619	0.0767238
safou	0.0415093	0.0508573	0.104741	0.0743827	0.0797369	0.0453723	0.0481991	0.0234299	0.0281664	0.0208974	0.0236066	0.00559809	0.00537048	0.0045983	0.0121575	0.00779977	0.0228636	0.0321117	0.0418835	0.0186379	0.0342305	0.0592685	0.0557252	0.0515933	0.0524211	0.0548414
est	0.121735	0.13219	0.122777	0.102065	0.0962428	0.0591933	0.0354777	0.025244	0.016752	0.012158	0.0227601	0.0122862	0.00576542	0.0081597	0.00791037	0.0133512	0.0112555	0.0170497	0.0100555	0.0062644	0.00781502	0.0117541	0.0187639	0.0145971	0.0249474	0.0834288
hors	0.133543	0.0742275	0.0827459	0.0637532	0.0989617	0.0657987	0.0478237	0.039123	0.0316204	0.0242537	0.0193753	0.00923561	0.00590775	0.0047257	0.00800175	0.00301488	0.0103405	0.00706713	0.00718299	0.00366228	0.0195093	0.0290252	0.0313001	0.0421413	0.0292612	0.108398
du	0.153626	0.0750803	0.0559922	0.0369925	0.0680982	0.069204	0.0606286	0.0838522	0.0903729	0.0689195	0.0423833	0.0172772	0.00821525	0.00388486	0.00634191	0.00268304	0.00651392	0.00355095	0.00427908	0.00241805	0.00528836	0.0103804	0.00971958	0.0143249	0.0104917	0.0894815
commun	0.0827867	0.0706216	0.0524136	0.0483996	0.0457005	0.0459056	0.0481929	0.0284153	0.0240457	0.019232	0.0174824	0.0129898	0.00868826	0.00441256	0.0033175	0.00144069	0.00453314	0.00328677	0.00476325	0.00518746	0.0328167	0.0685246	0.0731607	0.0464106	0.0768237	0.170448
</S>	0.185281	0.12149	0.0835042	0.0503384	0.0557095	0.0544254	0.0523126	0.04114	0.029108	0.0211498	0.0228258	0.0197262	0.011804	0.00683678	0.00663677	0.002626	0.0106795	0.00599082	0.00530553	0.00364027	0.0121524	0.0202127	0.0192892	0.0167732	0.0286111	0.112431
