 	o	n	y	a	m	a	b	é	l	á	a	w	ώ	n	g	ώ	p	á	n	d	e	y	é	s	έ	έ	</S>
ognama	0.00822082	0.0102932	0.00953277	0.00681776	0.00694858	0.00879484	0.0132293	0.0373426	0.0545202	0.0636868	0.0626782	0.0504235	0.0605984	0.0570242	0.0577452	0.0585168	0.0561417	0.0589236	0.0512113	0.0508722	0.0359459	0.0347895	0.0333411	0.0305711	0.0292123	0.0274747	0.0251436
est	0.0998683	0.146297	0.107245	0.128735	0.0836044	0.025599	0.0559991	0.0435167	0.0552023	0.0670529	0.0334224	0.0477953	0.0196713	0.0236124	0.00546083	0.0073481	0.00591927	0.00704909	0.00559667	0.00353397	0.00417024	0.00578123	0.00315486	0.0040583	0.00211728	0.00278931	0.00539943
en	0.0899591	0.092218	0.0726123	0.0406486	0.0403612	0.032075	0.0749854	0.0645193	0.0633595	0.0312447	0.0205551	0.0249861	0.0595314	0.0498515	0.0549415	0.0241583	0.0227001	0.020009	0.0198349	0.0155066	0.0145662	0.01566	0.0117621	0.013071	0.00911016	0.0107925	0.0109806
train	0.0570845	0.0566919	0.0696348	0.0738727	0.083005	0.0504528	0.05257	0.0259484	0.027368	0.0221509	0.0149364	0.0152799	0.0305068	0.022328	0.0301491	0.0274155	0.0337534	0.0165729	0.0387106	0.0263843	0.044361	0.0354345	0.0271405	0.0324124	0.0239875	0.0249337	0.0369145
de	0.0401439	0.0474512	0.0423534	0.0436112	0.0387547	0.027362	0.0243608	0.0271875	0.0240675	0.0194912	0.0370882	0.0325741	0.0226596	0.0226796	0.0115418	0.0103018	0.012417	0.0126267	0.0120614	0.013403	0.0200583	0.0234202	0.0307101	0.0436062	0.0507605	0.0878839	0.221424
lisser	0.0770946	0.0630118	0.0335947	0.0380607	0.0540992	0.0743309	0.0601828	0.0745735	0.0595003	0.0529972	0.0324643	0.0303113	0.0393892	0.048925	0.0259566	0.0217095	0.0195944	0.0164423	0.0131994	0.0126778	0.0166264	0.0128949	0.0128076	0.0126531	0.0121441	0.0185136	0.0662447
le	0.104313	0.0612377	0.0513289	0.0440794	0.0496875	0.0454558	0.0340308	0.0243458	0.023542	0.0230226	0.0160817	0.0108905	0.0182758	0.0164053	0.0302099	0.024328	0.0388689	0.0163692	0.0159181	0.0145722	0.0223952	0.0213049	0.0231366	0.0272816	0.0331274	0.044329	0.165462
manche	0.0676543	0.0565943	0.0559226	0.0529041	0.0405728	0.0225093	0.0204565	0.028129	0.0324324	0.0235455	0.0198742	0.0164206	0.0101408	0.0152174	0.0139481	0.0124639	0.0165903	0.0138101	0.0144134	0.015398	0.0384196	0.0288181	0.0291492	0.0521996	0.0446883	0.0809449	0.176783
de	0.181388	0.133131	0.121914	0.086203	0.0675896	0.0228785	0.0148955	0.0164916	0.0153684	0.0134897	0.0117475	0.00582226	0.00645846	0.0051853	0.0217794	0.00810706	0.00935823	0.0022604	0.002375	0.00229353	0.00865365	0.00431857	0.00908741	0.0149327	0.017777	0.0361977	0.160297
la	0.106774	0.060929	0.0441028	0.0344444	0.0225608	0.0176227	0.0104414	0.0131186	0.0115871	0.00847944	0.00447738	0.00489682	0.00368436	0.00383116	0.0120506	0.0118971	0.0225245	0.0166774	0.0220773	0.0237486	0.0334068	0.0355095	0.0417501	0.0517845	0.0579789	0.0844301	0.239215
houe	0.0889323	0.0599407	0.0633323	0.0568928	0.02547	0.0106707	0.0064239	0.00657779	0.00630759	0.00642631	0.00476315	0.00557574	0.00572009	0.00583564	0.0109787	0.0144751	0.0263631	0.0158527	0.0366418	0.0181898	0.0527026	0.0444154	0.0501808	0.0683685	0.0729111	0.0966697	0.139382
</S>	0.0714904	0.0561204	0.0662222	0.0530526	0.040822	0.0454669	0.0382219	0.0441679	0.0362773	0.0173035	0.00938253	0.0103711	0.0115248	0.0110466	0.016668	0.0121659	0.0167749	0.0129616	0.0170891	0.0182091	0.0236842	0.0224556	0.0253841	0.0301895	0.0275008	0.0492643	0.216183
