 	é	m	i	b	v	u	á	l	a	w	a	o	b	v	ú	ω	p	ω	ώ	o	t	o	m	ó	i	w	á	a	</S>
il	0.0299349	0.0158417	0.0132281	0.0123933	0.0117141	0.0153693	0.0233722	0.023005	0.0410938	0.0500053	0.0893119	0.113058	0.114477	0.0467089	0.0689336	0.0344584	0.015845	0.0121463	0.0172077	0.00816768	0.00922889	0.0154848	0.020101	0.0168713	0.0249175	0.067505	0.0345245	0.031021	0.0240737
n'	0.0850755	0.054982	0.0382379	0.0335704	0.0506052	0.0494037	0.0599256	0.0601662	0.0328864	0.0197216	0.0353714	0.0606884	0.0670846	0.0407645	0.0488641	0.0273573	0.020428	0.0831187	0.0140563	0.0553159	0.0223379	0.00781094	0.00315478	0.0067827	0.0089556	0.00362913	0.00200715	0.00325457	0.00444347
a	0.0494377	0.0657802	0.0649369	0.0465912	0.0309641	0.0310493	0.0263767	0.036519	0.0382693	0.0215637	0.0361847	0.0309347	0.040248	0.0345079	0.0384844	0.0287874	0.0356095	0.0353677	0.0869883	0.097212	0.0297658	0.0163504	0.0107878	0.0105076	0.00783768	0.0132544	0.0112647	0.0112265	0.0131924
plus	0.0741397	0.0449914	0.033479	0.0194827	0.0163331	0.0166139	0.0174679	0.0151299	0.0152471	0.023308	0.0145112	0.0385524	0.0289806	0.0526988	0.0433108	0.0689358	0.0676919	0.068568	0.0819146	0.0695984	0.0662984	0.0295751	0.0241904	0.00863612	0.0120662	0.00655528	0.00782062	0.0103655	0.0235371
qu'	0.0177676	0.0203952	0.00969935	0.0135601	0.010813	0.0149367	0.0134614	0.0124215	0.010122	0.010423	0.0141325	0.0215655	0.0198562	0.0210029	0.0428828	0.0418423	0.0293269	0.0874908	0.0563091	0.158408	0.129621	0.0479106	0.0360768	0.0367792	0.0696994	0.0109719	0.0138563	0.0114327	0.0172346
un	0.0107026	0.0146293	0.0107634	0.0145259	0.0175693	0.0200926	0.0195976	0.0188477	0.0185711	0.0126449	0.017599	0.0248462	0.0318841	0.0242585	0.0310129	0.0343438	0.0275783	0.13849	0.0852905	0.135903	0.0732653	0.0471363	0.0242919	0.0198671	0.0469239	0.0140955	0.0136157	0.0123565	0.0392969
an	0.0429905	0.0390806	0.0611098	0.0668797	0.0620706	0.0553501	0.0493429	0.0383362	0.032696	0.0223617	0.0197855	0.0186344	0.039255	0.0206408	0.0330779	0.0334471	0.0277357	0.0275532	0.0120741	0.0320489	0.0320695	0.0271728	0.0140504	0.0178733	0.0275777	0.0289876	0.0344892	0.024616	0.0586928
à	0.03637	0.0272098	0.0299436	0.0295335	0.0318518	0.0315042	0.0311193	0.0275492	0.0286346	0.0209571	0.0289787	0.0296734	0.0530823	0.0264432	0.0573249	0.0493961	0.032019	0.0381911	0.0302522	0.056191	0.0551064	0.0355809	0.0244074	0.0177775	0.0322756	0.00993095	0.0248244	0.030171	0.0737006
vivre	0.0605852	0.0403695	0.0319091	0.0289306	0.0305671	0.0223051	0.0161344	0.0151624	0.0117472	0.00890385	0.00955596	0.0106676	0.0128878	0.0163208	0.0206634	0.0288566	0.0276052	0.0329732	0.014301	0.0353886	0.0435596	0.0389269	0.0354649	0.0521667	0.0704093	0.0632269	0.0715463	0.0697891	0.0790757
</S>	0.032121	0.0278116	0.0253582	0.0240381	0.0282691	0.0220116	0.0156729	0.0163303	0.0164532	0.0140032	0.0206778	0.0242698	0.0206643	0.0180312	0.0211376	0.0236181	0.0182899	0.031343	0.0466126	0.0449027	0.0552723	0.0567975	0.0578728	0.0692341	0.0558542	0.0590817	0.0470427	0.042405	0.0648235
