 	e	l	é	é	l	í	y	é	é	l	é	á	w	a	a	b	í	a	é	d	i	y	á	a	b	a	l	e	</S>
la	0.019451	0.0184611	0.0379386	0.0381512	0.0340198	0.0316148	0.0145541	0.0159519	0.0373228	0.0379239	0.0489597	0.0690519	0.0291454	0.0308033	0.0428134	0.0239454	0.0198169	0.0117093	0.0116396	0.0118582	0.0258447	0.0376145	0.0498332	0.0539523	0.0523393	0.055787	0.0387777	0.0412446	0.0594745
manière	0.0223426	0.0232007	0.0454588	0.033841	0.049533	0.0283746	0.0425523	0.0669059	0.0568289	0.0722593	0.0345022	0.0161988	0.00874541	0.0131736	0.012506	0.0116968	0.0150397	0.0139692	0.0271842	0.0338452	0.111133	0.0722712	0.0563017	0.0356224	0.055426	0.0129275	0.0142262	0.00602722	0.00790706
dont	0.126508	0.0601373	0.0529967	0.0408926	0.0527291	0.0155921	0.013923	0.0165688	0.0143672	0.0226807	0.0165332	0.0188257	0.0391714	0.0255866	0.0338695	0.0309526	0.0464356	0.024424	0.0296736	0.0449747	0.0378213	0.039797	0.052858	0.0292139	0.0363448	0.0180973	0.0115133	0.0158949	0.0316169
il	0.0474582	0.0651874	0.0816138	0.0730625	0.0795174	0.0432037	0.013015	0.0119612	0.0102666	0.013902	0.0111598	0.00919971	0.000986308	0.00256616	0.00233104	0.00555794	0.00737279	0.0135258	0.0285229	0.0532023	0.0618404	0.0990893	0.0988963	0.0282617	0.0351809	0.0189981	0.012007	0.0164813	0.0556324
monte	0.0562835	0.0564652	0.0316549	0.0312034	0.0687988	0.0452667	0.0360511	0.023302	0.0117607	0.0155825	0.012418	0.0112621	0.0141608	0.0147432	0.016003	0.0247571	0.0131755	0.0304131	0.0614891	0.0634882	0.0450355	0.0569678	0.0594622	0.0429848	0.0322912	0.0369729	0.0242077	0.0307006	0.0330981
sur	0.0303359	0.0540514	0.0548158	0.0844875	0.187394	0.0836391	0.0518495	0.0208845	0.0220363	0.0196275	0.0213527	0.0122306	0.020763	0.00866116	0.0129844	0.014061	0.0130445	0.015843	0.0224333	0.016713	0.0179254	0.020167	0.0226184	0.0221376	0.0173059	0.0254885	0.0267714	0.0387009	0.0416771
les	0.0882519	0.0931593	0.0651881	0.0685415	0.0802931	0.0652648	0.0709407	0.047178	0.0395955	0.0258786	0.0148606	0.0131631	0.0153631	0.00473465	0.0106029	0.00839883	0.00591236	0.0107676	0.019704	0.0114709	0.0130345	0.0182692	0.0154778	0.0190362	0.0159118	0.025478	0.0321757	0.0384604	0.0628867
palmiers	0.0753368	0.0884508	0.0655841	0.0944264	0.0977529	0.0504936	0.0640394	0.0411973	0.0278498	0.0284405	0.00902869	0.00869979	0.00490607	0.0041196	0.00386333	0.00435856	0.00155603	0.00349724	0.00489194	0.00174047	0.00619758	0.00967298	0.00877642	0.0143473	0.0183652	0.0395172	0.0586846	0.0578687	0.106337
est	0.134004	0.174137	0.0995354	0.0898071	0.108737	0.0803205	0.0858083	0.0726059	0.0399616	0.0225068	0.0181816	0.0080812	0.000743103	0.00465552	0.00186675	0.00568598	0.0012893	0.000837172	0.000902308	0.000768917	0.00117277	0.00261046	0.000999819	0.00133417	0.00154532	0.00370607	0.007731	0.00874777	0.0217166
celle	0.140743	0.126367	0.0777126	0.0594929	0.0500495	0.0294874	0.0217809	0.0199695	0.0183097	0.0142704	0.0146507	0.00621255	0.000532859	0.00474898	0.00275202	0.00742068	0.00280398	0.00294346	0.00209028	0.00116466	0.00347517	0.00593547	0.00600671	0.0134295	0.0255862	0.0518475	0.0980652	0.079369	0.112782
